subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Java,General,JDK stands for ____.,Java development kit,Java deployment kit,JavaScript deployment kit,None of these,A,JDK stands for Java Development Kit. It is a platform to develop and run Java applications.,medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,JRE stands for ___.,Java run ecosystem,JDK runtime Environment,Java Runtime Environment,None of these,C,JRE stands for Java Runtime Environment which provides an environment to run a java program.,medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,What makes the Java platform independent?,Advanced programming language,It uses bytecode for execution,Class compilation,All of these,B,"In Java, programs are compiled into byte code and that byte code is platform-independent.",medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,What are the types of memory allocated in memory in java?,Heap memory,Stack memory,Both A and B,None of these,C,"Memory allocation in java occurs in two ways, mainly, stack and heap space.",medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,Multiline comment is created using ___.,//,/* */,<!-- -- >,All of these,B,Multi-line comments start with /* and ends with */. Any text between /* and */ will be ignored by Java.,medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,What is the entry point of a program in Java?,main() method,The first line of code,Last line of code,main class,A,"Generally, the main() method is treated as the point where the flow of code starts.",medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,Which keyword in java is used for exception handling?,exep,excepHand,throw,All of these,C,the throw is a keyword introduced in java for exception handling.,medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,Which class in Java is used to take input from the user?,Scanner,Input,Applier,None of these,A,"The Scanner class is used to get user input, and it is found in the java. util package.",medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,Method used to take a string as input in Java?,next(),nextLine(),Both A. and B.,None of these,B,"The next() method can read the input only till the space. It can't read two words separated by space, while the nextLine() reads input including space between the words (that is, it reads till the end of line \n).",medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
Java,List of Java,Which of the following is the correct syntax to create a variable in Java?,var name;,int name;,var name int;,All of these,B,Read here: Java variable declarations,medium,web:Includehelp.com https://www.includehelp.com/mcq/java-multiple-choice-questions-mcqs.aspx,
