subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,General,PHP is an acronym for ____.,Prefix Hypertext Preprocessor,Prototype Hypertext Preprocessor,Hypertext Preprocessor,PHP: Hypertext Preprocessor,D,"PHP is an acronym for ""PHP: Hypertext Preprocessor"". (Read: Introduction of PHP programming.)",medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,Which is/are statement(s) true about PHP?,It is an open-source scripting language,PHP scripts execute on the server,It is used for developing dynamic & interactive websites,All of the above,D,All of the above-mentioned statements are true about PHP. (Read: Advantages & Disadvantages of PHP),medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,What is the extension of a PHP file?,.php,.ph,.phpfile,All of the above,A,The extension of a PHP file is .php.,medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,Who developed PHP?,Guido van Rossum,Rasmus Lerdorf,Jesse James Garrett,Douglas Crockford,B,Rasmus Lerdorf developed PHP.,medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,In which year PHP was developed?,1993,1994,1995,1996,B,PHP was developed in 1994.,medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,A PHP script starts with ____ and ends with ___.,<?php and ?>,<php> and </php>,<?php and /?php>,</php and />,A,"A PHP script starts with <?php and ends with ?>.
 Read: Syntax of writing code in PHP",medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,Single line comments can be placed in PHP script by using which symbol?,//,#,$,Both A. and B.,D,"In PHP, the single-line comment tells the interpreter to ignore everything that occurs on that line to the right of the comment. To place a single line comment type // or # and all text to the right will be ignored by the PHP interpreter.
 Read: How to write comments in PHP?",medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,Multi-line comments can be written within the ____.,// and //,## and ##,/* and */,/// and ///,C,"In PHP, the multi-line comments can be written within the /* and */.",medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,PHP statements end with a ______.,semicolon (;),colon (:),dot (.),"comma (,)",A,PHP statements end with a semicolon (;).,medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,1) PHP Basics,Which sign is used to declare variables in PHP?,@,&,$,_,C,"The dollar ($) sign is used to declare variables in PHP.
 Read: PHP Variables",medium,web:Includehelp.com https://www.includehelp.com/mcq/php-multiple-choice-questions-mcqs.aspx,
