subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Fundamentals & Systems,Software types,Which of the following is system software?,"Operating system (e.g. Ubuntu, Windows)",Word processor,Spreadsheet,Web browser,A,"System software manages hardware and provides a platform (OS, device drivers, compilers, utilities). Application software does user tasks.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),system software;application software;OS
Computer Fundamentals & Systems,Firmware,What is firmware?,Software permanently stored in read-only memory (ROM/Flash) controlling hardware,A type of application for accounting,Temporary files in RAM,Cloud-hosted documents,A,"Firmware (BIOS/UEFI, router firmware) is software embedded in non-volatile memory, typically updated rarely via flashing.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),firmware;ROM;embedded software
Computer Fundamentals & Systems,I/O devices,Which of the following is an input device?,Scanner,Monitor,Printer,Speaker,A,"A scanner feeds data in (input). Monitors, printers and speakers are output devices. Touchscreens act as both input and output.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),input device;scanner;I/O
Computer Fundamentals & Systems,Memory types,Which statement about RAM vs ROM is correct?,RAM is volatile and used for running programs; ROM is non-volatile and stores boot/startup instructions,Both are volatile,ROM stores user files,RAM retains data after power off,A,RAM loses contents on power-off (volatile); ROM keeps firmware/boot code permanently (non-volatile).,easy,PGIMER CP-047 prep bank - original practice (Batch 1),RAM;ROM;volatile;memory types
Computer Fundamentals & Systems,Memory types,"Which memory is non-volatile, rewritable, and commonly used in USB drives and SSDs?",Flash memory,DRAM,SRAM cache,Registers,A,"Flash (EEPROM-based) persists without power and is erasable in blocks, used in USB drives, memory cards and SSDs. DRAM/SRAM are volatile.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),flash memory;SSD;non-volatile
Computer Fundamentals & Systems,CPU buses,Which bus carries the memory address being accessed by the CPU?,Address bus,Data bus,Control bus only,Power bus,A,The address bus carries addresses (its width limits addressable memory); the data bus transfers data; the control bus carries control signals.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),buses;address bus;system bus
Computer Fundamentals & Systems,Buses,An 8-bit CPU with a 16-bit address bus can address how many memory locations?,"65,536 (2^16)",256,"16,384","1,048,576",A,"With n address lines the CPU can address 2^n locations. 2^16 = 65,536 bytes (64 KB) in byte-addressable machines.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),address bus;memory capacity;2^16
Computer Fundamentals & Systems,Cache basics,Why is cache memory placed between the CPU and main memory?,To bridge the CPU-main memory speed gap by storing frequently used data close to the CPU,To increase disk capacity,To print documents,To replace the operating system,A,"Caches exploit locality to serve most accesses at near-register speed, hiding main memory latency.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),cache;CPU;performance
Computer Fundamentals & Systems,Troubleshooting basics,A computer turns on but shows nothing on the monitor. Which basic check should come first in systematic troubleshooting?,"Verify power and video connections, then POST indicators (beeps/LEDs)",Replace the processor immediately,Format the hard disk,Reinstall the operating system blindly,A,"Start with the cheapest/simplest checks: power, cables, monitor input and POST beep codes before swapping hardware or reinstalling software.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),troubleshooting;POST;basics
Computer Fundamentals & Systems,Number system,What is the decimal value of the octal number 17?,15,17,13,23,A,Octal 17 = 1 x 8 + 7 = 15 decimal. Each octal digit covers three binary bits.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),number system;octal;conversion
Computer Fundamentals & Systems,System concept,Which combination forms the basic working of a computer (von Neumann stored-program concept)?,"Input, storage/processing (CPU), output, with program and data both stored in memory",Only output devices,"Keyboard, printer and speaker only",Network alone,A,"The von Neumann model stores both instructions and data in memory and processes them through the CPU, with input/output subsystems.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),von Neumann;architecture;stored program
Computer Fundamentals & Systems,Interfaces,Which interface is commonly used to connect modern SSDs at high speed (NVMe) to a computer?,PCIe (Peripheral Component Interconnect Express),LPT parallel port,VGA,PS/2,A,"NVMe SSDs attach over PCIe lanes, offering far higher bandwidth and lower latency than SATA. LPT, VGA and PS/2 are legacy interfaces.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),interfaces;PCIe;NVMe;SSD
Computer Fundamentals & Systems,File systems,"Which file system is native to modern Windows, and which to Linux ext4 respectively?",NTFS and ext4,FAT32 and NTFS,ext4 and APFS,APFS and FAT32,A,"Windows defaults to NTFS, Linux distributions to ext4; macOS uses APFS. FAT32 is a legacy cross-platform filesystem.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),file system;NTFS;ext4
Computer Fundamentals & Systems,Booting,The first software that runs when a modern PC is powered on is typically:,"Firmware (UEFI/BIOS), which initializes hardware and loads the bootloader/OS",The web browser,A spreadsheet program,The antivirus scanner only,A,"UEFI/BIOS firmware runs POST, initializes devices, then hands control to the bootloader which loads the kernel.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),boot;UEFI;BIOS;firmware
