subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,Internet basics,What is the difference between the Internet and the World Wide Web?,The Internet is the global network infrastructure; the Web is a service (HTTP pages) running on it,They are exactly the same,The Web is the hardware cables,The Internet only carries email,A,"The Internet is the physical/logical network connecting computers; the WWW is one application over it (HTTP/HTML), along with email, FTP, DNS etc.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),internet;WWW;concepts
Web Technologies & Internet / PHP,HTTP methods,Which HTTP method should be used to submit data that creates a new resource on the server?,POST,GET,PUT only,HEAD,A,POST sends data in the body for processing/creation. GET retrieves; PUT replaces a resource at a URL (idempotent); HEAD returns headers only.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),HTTP;POST;methods
Web Technologies & Internet / PHP,HTTP status,HTTP status code 301 indicates:,Permanent redirect (resource moved),OK,Unauthorized,Internal server error,A,"301 Moved Permanently redirects clients to a new URL. 200 OK, 401 unauthorized, 500 server error.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),HTTP;301;status codes
Web Technologies & Internet / PHP,HTTP status,"A status code starting with 5 (e.g. 500, 503) means:",The server failed to fulfil a valid request (server-side error),The resource is found,Client request was malformed,Redirect required,A,"5xx = server errors; 4xx (400, 401, 404) = client errors; 3xx = redirects; 2xx = success.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),HTTP;5xx;server error
Web Technologies & Internet / PHP,HTML,Which HTML element creates a multi-line text input control?,<textarea>,<input type='text'>,<select>,<div>,A,textarea is a multi-line input; input type=text is single-line; select is a dropdown list.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),HTML;textarea;forms
Web Technologies & Internet / PHP,CSS,What does CSS specificity mean?,Rules with higher specificity override lower-specificity rules for the same element,Later files always win regardless,Only inline styles are ignored,Styles apply randomly,A,Specificity ranks selectors (id > class/attribute/pseudo-class > type). Higher specificity wins on conflict; ties go to the later rule.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),CSS;specificity;cascade
Web Technologies & Internet / PHP,JavaScript,"What is printed by:
let x = 10;
console.log(x == '10', x === '10');",true false,false true,true true,false false,A,== performs loose (type-coercing) equality: 10 == '10' is true. === is strict: number 10 vs string '10' is false.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),JavaScript;equality;== vs ===;output
Web Technologies & Internet / PHP,JavaScript,Which method adds an event listener to a DOM element?,addEventListener,getElementByTag only,createElement,querySelectorAll,A,"element.addEventListener('click', fn) registers handlers. createElement builds nodes; querySelectorAll selects nodes.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),JavaScript;DOM;events
Web Technologies & Internet / PHP,Cookies & sessions,"Compared with a cookie, a server-side session has which property?",Session data stays on the server; the client holds only a session identifier (usually a cookie),Session data is stored entirely in the browser,Sessions cannot track state,Sessions are slower to read on the server always,A,Sessions keep state server-side keyed by an ID the client sends (in a cookie or URL). Cookies can hold data client-side and are size/security limited.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),session;cookie;state management
Web Technologies & Internet / PHP,REST APIs,"In a REST API, using the correct combination, which mapping is conventional?","GET /users (read list), POST /users (create), PUT /users/1 (update), DELETE /users/1 (remove)",GET creates users,DELETE lists resources,POST must always return HTML pages,A,"REST uses HTTP verbs on resources: GET read, POST create, PUT/PATCH update, DELETE remove. Responses are usually JSON.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),REST;API;HTTP verbs
Web Technologies & Internet / PHP,Server vs client side,Which statement correctly distinguishes server-side from client-side processing?,"Server-side code runs on the web server (e.g. PHP, Node); client-side code runs in the browser (e.g. JavaScript)",PHP always runs in the browser,JavaScript always runs on the server,HTML is processed by the server only,A,Server-side executes on the server before the response is sent; client-side executes in the user's browser after the page loads.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),server-side;client-side;PHP;JavaScript
Web Technologies & Internet / PHP,PHP,"In PHP, which symbol starts every PHP statement/echo inside HTML?",<?php ... ?>,<% ... %>,<script> ... </script>,{{ ... }},A,<?php ... ?> (short tag <? ?> optional) delimits PHP code. echo/print output text. Script tags are HTML/JavaScript.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),PHP;syntax;tags
Web Technologies & Internet / PHP,Web security,What is an SQL injection attack?,Injecting malicious SQL via user input that is concatenated into queries without sanitization,Stealing cookies via XSS only,Overloading a server with traffic,Renaming database tables,A,SQLi occurs when untrusted input is embedded in SQL. Prepared statements/parameterized queries prevent it. XSS and DoS are different attacks.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),SQL injection;web security;prepared statements
Web Technologies & Internet / PHP,XSS,Which defence is most effective against stored Cross-Site Scripting (XSS)?,Output-encoding/escaping user content and validating input before rendering,Using HTTP GET for everything,Disabling JavaScript only in the admin panel,Storing passwords in plain text,A,XSS injects scripts via unescaped output. Encode untrusted data on output (context-aware) and validate on input; use CSP as defense in depth.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),XSS;output encoding;web security
