subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Linux/Unix & Troubleshooting,General,Who founded Linux Kernel?,Ken Thompson and Dennis Ritchie,Linus Torvalds,Linus Torvalds and Ken Thompson,Richard Stallman,B,Linus Torvalds founded Linux Kernel.,medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,What is the core of the Linux operating system?,Vi Editor,Command Line,Terminal,Kernel,D,The kernel is the core of the Linux operating system.,medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which symbol represents the top-level directory?,~,@,#,/,D,"The symbol ""/"" represents the top-level directory.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which symbol represents the user's home directory?,~,@,#,/,A,"The symbol ""~"" represents the user's home directory.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,"Which Linux command is used to count the total number of lines, words, and characters contained in a file?",count,wcount,wc,countw,C,"The ""wc"" command is used to count the number of lines, words, characters, and bytes of each given file or standard input and print the result.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command is used to remove files?,remove,rm,delete,del,B,"The ""rm"" command is used to remove files in Linux.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command with vi Editor is used to delete a single character?,d,r,x,c,C,"The command ""x"" is used to delete a single character in vi Editor.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command is used to know which directory you are in?,know,help,cwd,pwd,D,"To know which directory you are in, the ""pwd"" command can be used. The ""pwd"" command stands for ""Present Working Directory"". This command gives us the absolute path, which means the path that starts from the root.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command is used to see all the hidden files?,ls,ls -h,ls -a,dir -a,C,"The ""ls"" command with argument ""-a"" can be used to see all the hidden files.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command is used to give a full listing?,ls -F,ls -h,ls -a,dir -a,A,"The ""ls -F"" command is used to see a full listing, indicating what type files are by putting a slash after directories and a star after executable files.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command is used to go back from a folder to the folder before that?,cd..,cd,cd/,chdir,A,"To go back from a folder to the folder before that, we can use the Linux command ""cd .."" . Here, the two dots (..) represent back.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,"If you want to create a new directory named XYZ, which command will be used for this purpose?",cd XYZ,chdir XYZ,mkdir XYZ,md XYZ,C,"To create a new directory named XYZ, we can use ""mkdir XYZ"". The ""mkdir"" command is used to make a directory in Linux.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command is used to create a new file?,create,file,tch,touch,D,"The ""touch"" command is used to create a file.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command is used to copy files through the command line?,cp,copy,fcp,filecopy,A,"The ""cp"" command is used to copy files through the command line.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
Linux/Unix & Troubleshooting,List of Linux,Which Linux command is used to move files through the command line?,move,mv,ren,loc,B,"The ""mv"" command is used to move files through the command line.",medium,web:Includehelp.com https://www.includehelp.com/mcq/linux-mcqs.aspx,
