subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Fundamentals & Systems,General,What is a computer?,device that transforms data into information,Input processor,Electronic devices,All of these,D,"A computer is a digital electronic machine or device that performs processes, calculations and operations based on instructions provided by a software or hardware program.",medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,"On the basis of data handling capabilities, which of these are valid types of computers?",Analogue computer,Digital computer,Hybrid computer,All of these,D,"Based on data handling capabilities, computer are of these types :
 Analogue computer
 Digital computer
 Hybrid computer",medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,"Based on the size of the computer, how many types of computers are present?",7,5,3,4,B,"Based on the size of computer, these are 5 types of computers:
 Supercomputer
 Mainframe computer
 Minicomputer
 Workstation
 PC (Personal Computer)",medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,An analog computer operates on which type of data?,Text Files,Analog data,Digital Data,None of these,B,Analog computer is a special type of computer which operates on analog data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,Which type of computer can handle analog as well as digital data?,Digital,Analog,Hybrid,All of these,C,Hybrid computers can be used to handle analog data as well as digital data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,Which computer works on data in 0's and 1's.,Digital computer,Hybrid computer,Physical computer,Analog computer,A,"Digital computer works on digital data i.e., 0's and 1's.",medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,Which of these is not a type of computer?,PC,Workstation,Logical computer,Supercomputer,B,"Pc, Workstation, supercomputer are valid types of computers.",medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,Which of these statements are TRUE about a supercomputer?,It is used for scientific research,IT has very high computation speed,It is very expensive,All of these,D,"Supercomputer is a device which has a very high computation speed. This is very expensive and is used in scientific research, weather forecast, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,The first super computer was created in?,1954,1976,1796,1989,B,The first supercomputer was created in 1976 by Roger Cray.,medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
Computer Fundamentals & Systems,List of Types of Computers,What is the name given to huge computers with large computation speeds?,Workstation computer,Server computer,Supercomputer,None of these,C,A supercomputer is a huge computer with large computation speed.,medium,web:Includehelp.com https://www.includehelp.com/mcq/types-of-computers-mcqs.aspx,
