subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,List of CSS,What CSS describes?,CSS describes how calculation perform on button click.,"CSS describes how HTML elements are to be displayed on screen, paper, or in other media",Both A. and B.,None of the above,B,"CSS describes how HTML elements are to be displayed on screen, paper, or in other media.",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,What is the correct syntax for referring an external CSS?,"<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"">","<stylesheet rel=""stylesheet"" type=""text/css"" href=""mystyle.css"">","<style rel=""stylesheet"" type=""text/css"" href=""mystyle.css"">",All of the above,A,"The correct syntax to include (refer) an external CSS in an HTML document is,
<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"">
 Here,
 rel defined the relationship.
 href is the CSS filename.
 type is the type of the file, for CSS – the type is ""text/css""",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,What is a CSS selector?,A CSS selector is the CSS class name,A CSS selector is the set of properties that are going to be applied on HTML elements,A CSS selector is name of CSS file.,A CSS selector is the first part of a CSS Rule. It may an HTML element or pattern of elements.,D,A CSS selector is the first part of a CSS Rule. It may an HTML element or pattern of elements and other terms that tell the browser which HTML elements should be selected to have the CSS property values inside the rule applied to them.,medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,"In a CSS file, there is a CSS rule for paragraphs tags – what does p can be called?",Selector,Attribute,Property,Tag,A,"In a CSS rule, the HTML element(s) for them we are writing the CSS is known as ""CSS Selector"".",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Internal styles are written within the _____ element.,<style>…</style>,<css>…</css>,<stylesheet>…</stylesheet>,Both A. and B.,A,"Internal styles are defined within the <style> element, inside the <head> section of an HTML page.",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Inline styles are written within the _____ attribute.,style,css,stylesheet,Both A. and B.,A,"Inline styles are defined within the style attribute of the relevant element.
 Example:
<h1 style=""color:blue;text-align:center;"">This is a heading</h1>
<p style=""color:red;"">This is a paragraph.</p>",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,CSS comments are placed within the ______.,//,/* and */,<* and *>,<! And !>,B,"A CSS comment is placed inside the <style> element, and starts with /* and ends with */.",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Which property is used to define the text color?,text-color,color,font-color,Both A. and B.,B,The color property is used to define the text color in CSS.,medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Which property is used to define the background color?,bgcolor,bg-color,background,background-color,D,The background-color property is used to define the background color in CSS.,medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,From the given options which is/are the valid way to represent a color?,"A valid color name like ""blue""","HEX code like ""#0000ff""","RGB Value like ""rgb(0,0,255)",All of the above,D,All of the given options are valid to define/represent the color name.,medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Which property is used to define the font of the element's text?,font,font-family,font-style,All of the above,B,"The font-family property is used to define the font of the element's text.
 Example:
p
{
 font-family: ""Times New Roman"", Times, serif;
}",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,"To make a text italic, which CSS property is used?",font,font-family,font-style,All of the above,C,"The font-style property is used to define the font style i.e., to make the text bold. To make the text italic, italic value is used.
 Example:
p
{
font-style: italic;
}",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,What are the valid values of font-style property?,"italic, bold, bolder","normal, bold, italic","underline, bold, italic","inherit, italic, normal, oblique",D,"The following are the valid values of the font-style property,
 inherit
 italic
 normal
 oblique",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Why font-weight property is used?,Sets how thick or thin characters in text should be displayed.,Sets the size of the font,Both A. and B.,None of the above,A,The font-weight property sets how thick or thin characters in text should be displayed.,medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,What is/are the correct value(s) of font-weight property?,"bold, italic, underline","normal, bold, italic","normal, bold, bolder, lighter, initial, and inherit",None of the above,C,"The valid values of the font-wight property:
 normal,
 bold
 bolder
 lighter
 initial
 inherit",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Which is the correct inline CSS for p tag to define paragraph's text and background colors?,"<p css=""color: red; background-color: yellow;"">","<p cssstyle=""color: red; background-color: yellow;"">","<p inline=""color: red; background-color: yellow;"">","<p style=""color: red; background-color: yellow;"">",D,"The correct inline CSS style is,
<p style=""color: red; background-color: yellow;"">Paragraph Text.</p>",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,What is the correct syntax of border property in CSS?,border: border-width border-style border-color,border: border-color border-width border-style,border: border-style border-width border-color,All of the above,A,"The correct syntax to define element's border using the border property
border: border-width border-style border-color
 Example:
<p style=""border: 2px solid red;"">
This is some text in a paragraph.
</p>",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Which of the following is the correct syntax to display the hyperlinks without any underline?,a {text-decoration : underline;},a {text-decoration : none;},a {text-decoration : block;},None of the above,B,"The correct syntax to display the hyperlinks without any underline is,
a {text-decoration : none;}",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Which of the following is the correct syntax to remove the underline on hyperlinks and visited hyperlinks?,"a {text-decoration : underline;}, a:visited {text-decoration : underline;}","a {text-decoration : block;}, a:visited {text-decoration : block;}","a {text-decoration : none;}, a:visited {text-decoration : none;}",None of the above,C,"The correct syntax to display the hyperlinks without any underline is,
a {text-decoration : none;}, a:visited {text-decoration : none;}",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of CSS,Which CSS property is used to style the hyperlinks on hover (Mouse over)?,a:mouseover,a:move,a:mover,a:hover,D,"The a:hover property is used to define the style on mouse over event,
a:hover{
// styles
}",medium,web:Includehelp.com https://www.includehelp.com/mcq/css-multiple-choice-questions-mcqs.aspx,
