subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Networks,Computer Network MCQs with Answers,What is the full form of NIC?,Network ID card,Network interface card,National interface card,New interface card,B,NIC stands for Network interface card.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,How many types of NIC are there?,5,4,3,2,D,There are two types of NIC: Wireless NIC and Wired NIC.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,A ____ is a central device that divides a network connection among several devices.,Switch,Hub,Router,Modem,B,A hub is a central device that divides a network connection among several devices.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,A ____ is a networking device that connects all of the devices on the network to transport data to another device.,Switch,Hub,Router,Modem,A,A switch is a networking device that connects all of the devices on the network to transport data to another device.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,How many types of cables are there?,5,4,3,2,C,"There are 3 types of cables:
 Twisted pair cables
 Coaxial cable
 Fibre optic cable",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,How many types of network architecture are used?,4,3,2,1,C,"The two types of network architecture are used:
 Peer-To-Peer network
 Client/Server network",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,Peer-To-Peer network has ____ dedicated servers.,1,2,3,None,D,Peer-To-Peer network has no dedicated server.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,A computer network is mainly of how many types?,2,3,4,5,C,"A computer network is mainly of four types:
 LAN(Local Area Network)
 PAN(Personal Area Network)
 MAN(Metropolitan Area Network)
 WAN(Wide Area Network)",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,How many types of personal area networks are there?,5,4,3,2,D,There are two types of Personal Area Networks: Wireless Personal Area Networks and wired Personal Area Networks.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,How many types of internetworking are there?,2,3,4,5,B,"Mainly there are three types of internet working:
 Extranet
 Intranet
 Internet",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,The ____ topology is designed such that all stations are linked by a single cable known as a backbone cable.,Ring,Tree,Mesh,Bus,D,The bus topology is designed such that all stations are linked by a single cable known as a backbone cable.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,What is the full form of CSMA?,Carrier senses marginal access,Carrier system multiple access,Carrier sense multiple access,Carrier sense mostly access,C,CSMA stands for carrier sense multiple access.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,Mesh topology can be created using which of the following formula?,Number of cables = (n*(n-1))/2,Number of cables = (n*(n-1))*2,Number of cables = (n*(n+1))/2,Number of cables = (n*(n+1))*2,A,Mesh topology can be created using the following formula:Number of cables = (n*(n-1))/2.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,Mesh topology is divided into how many categories?,3,4,5,2,D,"Mesh topology is classified into two types:
 Fully connected mesh topology
 Partially connected mesh topology",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,What is the other name of the transmission mode?,Parallel node,Series node,Communication node,Feedback node,C,The transmission mode is also known as the communication mode.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,The transmission node is defined in which layer?,Physical layer,Data link layer,Transport layer,Session layer,A,The transmission mode is defined at the physical layer.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
Computer Networks,Computer Network MCQs with Answers,How many types of transmission nodes are there?,5,4,3,2,C,"There are three types of transmission modes:
 Simplex mode
 Half-duplex mode
 Full-duplex mode",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-network-mcqs.aspx,
