subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Organization & Architecture,CPU components,"Which component of the CPU performs arithmetic and logical operations (addition, AND, comparison)?",ALU,Program Counter,Memory Management Unit only,Cache controller,A,The Arithmetic Logic Unit (ALU) executes arithmetic and logic operations. The PC holds the next instruction address; control unit directs the datapath.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),CPU;ALU;components
Computer Organization & Architecture,Instruction cycle,The correct sequence of the basic instruction cycle is:,"Fetch, decode, execute (and store results)","Execute, fetch, decode","Decode, fetch, execute","Fetch, execute, decode",A,"The CPU fetches the instruction from memory, decodes it to determine the operation, then executes it, possibly writing results back.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),instruction cycle;fetch-decode-execute
Computer Organization & Architecture,Registers,Which register holds the address of the next instruction to be fetched and executed?,Program Counter (PC),Instruction Register (IR),Accumulator,Status/flag register,A,The PC stores the memory address of the next instruction. The IR holds the currently fetched instruction being decoded/executed.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),registers;program counter;IR
Computer Organization & Architecture,Addressing modes,In which addressing mode is the operand's address given directly as part of the instruction (e.g. LOAD 5000)?,Direct addressing,Immediate addressing,Register addressing,Indirect addressing,A,Direct addressing: instruction contains the effective address of the operand. Immediate: operand value itself is in the instruction.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),addressing modes;direct addressing
Computer Organization & Architecture,Immediate addressing,"MOV R1, #25 (ARM-style) uses which addressing mode?",Immediate (operand constant embedded in instruction),Direct memory,Register indirect,Indexed,A,#25 is an immediate constant encoded in the instruction itself; no memory access is needed to obtain the value.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),addressing modes;immediate
Computer Organization & Architecture,CPU performance,"CPU time = (Instruction count x CPI) / clock rate. A program has 10^9 instructions, average CPI = 2, clock = 2 GHz. What is the execution time?",1 second,0.5 seconds,2 seconds,4 seconds,A,Time = (10^9 x 2) / (2 x 10^9) = 1 second. Using CPU time = IC x CPI x (1/clock rate).,medium,PGIMER CP-047 prep bank - original practice (Batch 1),CPU time;CPI;performance;calculation
Computer Organization & Architecture,Memory hierarchy,Which is the correct ordering of memory from fastest to slowest in the hierarchy?,"Registers, cache, RAM (main memory), SSD/disk","Cache, registers, disk, RAM","RAM, cache, registers, disk","Disk, RAM, cache, registers",A,Speed decreases and capacity/cost-per-bit increases down the hierarchy: registers -> cache (L1/L2/L3) -> main memory -> secondary storage.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),memory hierarchy;cache;registers
Computer Organization & Architecture,Cache,A cache hit means:,The requested data was found in the cache,The data had to be fetched from main memory,The CPU crashed,The page table was updated,A,Hit ratio = fraction of accesses satisfied by the cache. Temporal and spatial locality make caches effective.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),cache;hit;locality
Computer Organization & Architecture,I/O & interrupts,"Compared with programmed I/O polling, interrupt-driven I/O improves efficiency because:",The CPU is notified only when the device needs attention instead of busy-waiting,It disables the CPU,It never transfers data,It uses no device drivers,A,Polling wastes CPU cycles checking device status. Interrupts let the CPU do useful work until the device raises an interrupt.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),interrupts;I/O;polling vs interrupt
Computer Organization & Architecture,DMA,What is the main benefit of Direct Memory Access (DMA)?,Data transfers between I/O devices and memory happen without CPU intervention for each byte,The CPU performs every transfer step,It increases interrupt frequency,It replaces the cache,A,"A DMA controller moves data blocks directly between device and memory, interrupting the CPU only at the start and end of the transfer.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),DMA;I/O;transfer
Computer Organization & Architecture,RISC vs CISC,Which is a characteristic of RISC architecture?,"Large number of simple, fixed-length instructions executed in few cycles",Many complex variable-length instructions,Heavy reliance on microcode,Few registers,A,"RISC uses simple fixed-length instructions, load/store design, many registers and pipelines. CISC packs complex instructions in variable lengths.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),RISC;CISC;instruction set
Computer Organization & Architecture,Pipelining,"In an instruction pipeline, a 'hazard' that arises when one instruction needs a result not yet produced by a previous instruction is called a:",Data hazard,Structural hazard only,Cache miss,Interrupt,A,Data hazards are dependencies on not-yet-computed results; structural hazards are resource conflicts; control hazards come from branches.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),pipelining;hazards;data hazard
Computer Organization & Architecture,Number systems,What is the decimal value of the binary number 101101?,45,35,53,47,A,"101101 = 32 + 8 + 4 + 1 = 45 (bits for 32,16,8,4,2,1: 1,0,1,1,0,1).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),number system;binary;conversion
Computer Organization & Architecture,Number systems,The hexadecimal representation of decimal 255 is:,FF,EF,FE,0F0,A,255 decimal = 1111 1111 binary = FF hex. Each hex digit covers 4 bits.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),number system;hexadecimal;conversion
