subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Networks,OSI model,"In the OSI model, which layer is responsible for routing packets between different networks?",Data link layer,Network layer,Transport layer,Session layer,B,The network layer (Layer 3) handles logical addressing and routing. The data link layer handles frames within one link.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),OSI;network layer;routing
Computer Networks,TCP/IP model,"In the TCP/IP model, which layer combines the functions of the OSI session and presentation layers?",Application layer,Transport layer,Internet layer,Network access layer,A,"TCP/IP's application layer covers OSI application, presentation and session functionality (HTTP, DNS, SMTP, etc.).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),TCP/IP;application layer;OSI mapping
Computer Networks,Addressing / MAC,How many bits are there in an Ethernet MAC address and in an IPv4 address respectively?,48 and 32,32 and 48,64 and 128,24 and 48,A,"MAC addresses are 48-bit (6 bytes, shown as 12 hex digits). IPv4 addresses are 32-bit (4 octets).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),MAC;IPv4;address bits
Computer Networks,Subnetting,"Given IP 192.168.10.0/28, how many usable host addresses are available per subnet?",14,16,30,62,A,/28 means 4 host bits: 2^4 = 16 addresses minus network and broadcast = 14 usable hosts per subnet.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),subnetting;CIDR;usable hosts
Computer Networks,Subnetting,Which subnet mask corresponds to a /26 prefix?,255.255.255.128,255.255.255.192,255.255.255.224,255.255.255.240,B,"/26 has 26 network bits; the last octet's top 2 bits are on: 11000000 = 192, so the mask is 255.255.255.192.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),subnetting;subnet mask;/26
Computer Networks,IPv4 special addresses,The address 127.0.0.1 is used for:,Automatic Private IP Addressing (APIPA),IPv4 loopback (the local host itself),Broadcast to all hosts,Public web hosting,B,The entire 127.0.0.0/8 block is loopback; 127.0.0.1 is the local host. APIPA uses 169.254.0.0/16.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),IPv4;loopback;127.0.0.1
Computer Networks,Protocols,Which protocol resolves IP addresses to MAC (hardware) addresses on a local network?,ARP,DNS,DHCP,ICMP,A,ARP maps an IPv4 address to a MAC address on the same link. DNS maps names to IPs; DHCP assigns IP configuration; ICMP reports errors.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),ARP;protocols;mapping
Computer Networks,Protocols,"Which protocol is connectionless and is typically used for live streaming, VoIP, and DNS queries?",TCP,UDP,HTTP/3 quic only,SMTP,B,"UDP is a connectionless, best-effort datagram protocol: low overhead and low latency, suited to real-time media; DNS uses UDP by default.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),UDP;transport;streaming
Computer Networks,TCP,The three-way handshake of TCP establishes a connection using which sequence?,"SYN, SYN-ACK, ACK","ACK, SYN, FIN","SYN, ACK, RST","FIN, FIN-ACK, ACK",A,"Client sends SYN, server replies SYN-ACK, client confirms with ACK. FIN is used for connection termination.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),TCP;three-way handshake;SYN
Computer Networks,Ports,Which well-known port number is used by HTTPS by default?,80,443,25,53,B,"HTTPS (HTTP over TLS) uses 443; plain HTTP uses 80, SMTP 25, DNS 53.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),ports;HTTPS;443
Computer Networks,HTTP,Which HTTP status code means 'Not Found'?,200,301,403,404,D,"404 = resource not found. 200 OK, 301 moved permanently, 403 forbidden. 5xx are server errors.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),HTTP;status codes;404
Computer Networks,Devices,Which network device operates at the data link layer and forwards frames based on MAC addresses?,Hub,Switch,Router,Repeater,B,A switch forwards frames by MAC address (Layer 2). Hubs/repeaters work at the physical layer; routers at the network layer.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),devices;switch;layer 2
Computer Networks,IPv6,How many bits make up an IPv6 address?,32,64,128,256,C,"IPv6 addresses are 128 bits, normally written as 8 groups of 4 hex digits separated by colons.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),IPv6;128 bits;addressing
Computer Networks,Error detection,Cyclic Redundancy Check (CRC) is used primarily for:,Detecting bit errors in transmitted frames,Encrypting data,Compressing packets,Routing between networks,A,CRC is an error-detecting code computed over a frame; the receiver recomputes it to detect corruption during transmission.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),CRC;error detection;data link
Computer Networks,Flow vs congestion,What is the difference between flow control and congestion control in TCP?,Flow control protects the receiver's buffer; congestion control protects the network from overload,Both protect the receiver only,Congestion control uses the receiver window only,They are the same mechanism,A,Flow control uses the advertised receiver window (rwnd); congestion control manages the congestion window (cwnd) based on network loss/delay signals.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),TCP;flow control;congestion control
Computer Networks,DHCP / DNS,What is the primary purpose of DHCP?,"Automatically assign IP configuration (address, mask, gateway, DNS) to hosts",Resolve domain names,Translate MAC to IP addresses,Secure web traffic,A,DHCP dynamically leases IP configuration to clients. DNS does name resolution; ARP does IP-to-MAC mapping.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),DHCP;IP assignment;protocols
Computer Networks,Security basics,A firewall primarily operates by:,"Filtering traffic based on rules (ports, IPs, protocols, state)",Encrypting every file on disk,Compressing network traffic,Renaming hosts on the network,A,Firewalls inspect and filter packets according to policy. Deep packet inspection and stateful filtering are advanced firewall capabilities.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),firewall;security;filtering
Computer Networks,Topologies,"In which network topology does every device connect to a single central device (e.g., a switch), so a central failure disables the network?",Star topology,Ring topology,Bus topology,Mesh topology,A,Star: all nodes attach to a central hub/switch. Failure of the center isolates all nodes; the switch failure is the single point of failure.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),topology;star
Computer Networks,Network layer / routing,Which protocol allows routers to exchange and compute routes dynamically within an autonomous system?,OSPF (a link-state interior gateway protocol),ARP,DHCP,HTTP,A,OSPF is a dynamic interior gateway protocol. Static routing needs manual tables; ARP/DHCP/HTTP are not routing protocols.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),routing;OSPF;interior gateway
