subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
C++ / OOP,introduction to c plus plus,What is the extension of a C++ source file?,.cpp,.cc,.cxx,.c,A,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,Which of the following is not a fundamental data type in C++?,char,float,boolean,double,C,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,What does the 'cin' object in C++ represent?,File output stream,File input stream,Standard output stream,Standard input stream,D,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,What keyword is used to define a class in C++?,struct,interface,class,object,C,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,"In C++, what operator is used to allocate dynamic memory?",alloc,new,allocate,None of the above,B,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,What is the syntax for a single-line comment in C++?,--,#,//,/* */,C,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,What function is used to output data to the console in C++?,print,display,write,cout,D,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,Which header file is needed to use the 'cin' and 'cout' objects in C++?,<iostream>,<stdio.h>,<conio.h>,<fstream>,A,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,What does the 'endl' manipulator do in C++?,Ends the program,Moves the cursor to the start,Clears the screen,Inserts a new line,D,,medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
C++ / OOP,introduction to c plus plus,"What is the output of the following code: cout << (5 > 2) ? ""True"" : ""False"";",TRUE,FALSE,5,2,A,"The given code uses the ternary operator to evaluate a condition and print a result based on that evaluation. 

The code is: cout << (5 > 2) ? ""True"" : ""False""; 

The expression (5 > 2) evaluates to true because 5 is greater than 2. 

When the condition is true, the ternary operator returns the first value after the question mark (?). In this case, it returns ""True"". 

Therefore, the correct output of the code is True. 

Correct Answer: Option A: TRUE
 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 1
2
3
4
5
6
7
8
9
10

 
 
 
 
 
 
 
 
 Read More Section(Introduction to C plus plus)
 Each Section contains maximum 100 MCQs question on Introduction to C plus plus. To get more questions visit other sections.
 
 Introduction to C plus plus - Section 2
 
 


 
 
 
 

 
 

 -->
 
 
 


 

-->
 
 
 Copyright © 2026 Examveda.com
 
 
 
 
 
 
 
 
 
 About Us |
 Terms & Condition |
 Privacy Policy |
 Contac",medium,web:Examveda.com https://www.examveda.com/c-plus-plus-programming/practice-mcq-question-on-introduction-to-c-plus-plus/,
