subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),What does PL/SQL stand for?,PL/SQL stands for Procedural Language Extension of SQL,PL/SQL stands for Primary Language Extension of SQL,PL/SQL stands for Pattern Language Extension of SQL,PL/SQL stands for Private Language Extension of SQL,A,PL/SQL stands for Procedural Language Extension of SQL.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),What is TRUE about PL/SQL functionalities?,Conditions and loops are fundamental elements of procedural languages like PL/SQL.,"Various types and variables can be declared, as can procedures and functions, as well as types and variables of those types.",Arrays can be used with it as well as handling exceptions (runtime errors).,All of the above,D,"TRUE about PL/SQL functionalities –
 Conditions and loops are fundamental elements of procedural languages like PL/SQL.
 Various types and variables can be declared, as can procedures and functions, as well as types and variables of those types.
 Arrays can be used with it as well as handling exceptions (runtime errors).",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),Oracle Database's ____ are inherited in PL/SQL.,Portability,Robustness,Security,All of the above,D,"Oracle Database's portability, robustness and security are inherited in it.",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),"PL/SQL text is made up of lexical units, which are groups of characters and can be classified as –",Delimiters,Identifiers,Literals,All of the above,D,"PL/SQL text is made up of lexical units, which are groups of characters and can be classified as Delimiters, Identifiers, Literals and Comments.",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),A Variable in PL/SQL should not exceed –,10,20,30,40,C,A Variable in PL/SQL should not exceed 30 characters.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),Which of the following is/are TRUE about PL/SQL Variables?,Variables serve as a means for programmers to temporarily store data during code execution.,PL/SQL programs benefit from its use.,There is nothing special about it other than being the name of a storage area.,All of the above,D,"In the case of PL/SQL Variables –
 Variables serve as a means for programmers to temporarily store data during code execution.
 PL/SQL programs benefit from its use.
 There is nothing special about it other than being the name of a storage area.",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),PL/SQL Variables are by default –,Case Sensitive,Upper Case Sensitive,Lower Case Sensitive,Not Case Sensitive,D,PL/SQL Variables are by default not case sensitive.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),PL/SQL Variable needs to be declared in the –,Variable Section,Declaration Section,Initialization Section,None of the above,B,PL/SQL Variable needs to be declared in the Declaration Section.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),The correct syntax to declare PL/SQL variable is –,variable_name [CONSTANT] datatype [NOT NULL] [:= | DEFAULT initial_value],datatype [CONSTANT] variable_name [NOT NULL] [:= | DEFAULT initial_value],variable_name [CONSTANT] datatype [NULL] [:= | DEFAULT initial_value],datatype [CONSTANT] variable_name [NULL] [:= | DEFAULT initial_value],A,"The correct syntax to declare PL/SQL variable is –
variable_name [CONSTANT] datatype [NOT NULL] [:= | DEFAULT initial_value]",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),"The term ____ refers to a declaration with a size, scale, or precision limit.",Constant declaration,Constrained declaration,Constant decision,Constrained decision,B,"The term constrained declaration refers to a declaration with a size, scale, or precision limit.",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),Which of the following is TRUE about Constrained Declaration?,An unconstrained declaration requires more memory than a constrained declaration.,An unconstrained declaration requires less memory than a constrained declaration.,An unconstrained declaration requires equal memory to a constrained declaration.,None of the above,A,An unconstrained declaration requires more memory than a constrained declaration.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),What is/are the Naming Rules for the PL/SQL Variables?,An ASCII letter must be the first letter in the variable name.,"In the case of variables, make sure you use easy to read, easy to understand characters after the first character, such as underscore (_) or dollar sign ($).","Optionally, the variable can be specified as NOT NULL.",All of the above,D,"The Naming Rules for the PL/SQL Variables states that –
 An ASCII letter must be the first letter in the variable name.
 In the case of variables, make sure you use easy to read, easy to understand characters after the first character, such as underscore (_) or dollar sign ($).
 Optionally, the variable can be specified as NOT NULL.",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),"In order to initialize a variable with the value other than NULL, it can be done using which method?",The Assignment Operator,The DEFAULT Keyword,Both A. and B.,None of the above,C,"In order to initialize a variable with the value other than NULL, it can be done using the Assignment Operator and the DEFAULT Keyword both.",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),What is the name of the two variable scopes in PL/SQL?,Local & Grind Variable,Letter & Grind Variable,Local & Global Variable,Letter & Global Variable,C,The two variable scopes in PL/SQL are Local & Global Variables.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),What is the difference between Local & Global Variables?,Variables in an outer block are defined as local variables since they cannot be accessed from the outside whereas the innermost block declares global variables.,Variables in an inner block are defined as global variables since they cannot be accessed from the outside whereas the outermost block declares local variables.,Variables in an outer block are defined as global variables since they can be accessed from the outside and the innermost block also declares global variables.,Variables in an inner block are defined as local variables since they cannot be accessed from the outside whereas the outermost block declares global variables.,D,Variables in an inner block are defined as local variables since they cannot be accessed from the outside whereas the outermost block declares global variables.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),"PL/SQL Constants, Literals, and If MCQs",Variables,Constants,Functions,Cursor,B,Constants are values used in PL/SQL blocks that do not change during execution.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),PL/SQL Constant is a/an ____ literal value.,In-built,User-defined,Both a and b,None of the above,B,PL/SQL Constant is a User-defined literal value.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),Choose the correct syntax to declare a constant.,constant_name CONSTANT datatype := VALUE;,datatype CONSTANT constant_name := VALUE;,constant_name CONST datatype =: VALUE;,datatype CONSTANT constant_name =: VALUE;,A,"The correct syntax to declare a constant is –
constant_name CONSTANT datatype := VALUE;",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),What is TRUE about constant_name in PL/SQL Constant?,"Exactly like a variable name, it is a name for a constant.",A constant word doesn't change its value and is a reserved word.,Both A. and B.,None of the above,C,"In case of constant_name in PL/SQL Constant –
 Exactly like a variable name, it is a name for a constant.
 A constant word doesn't change its value and is a reserved word.",medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
DBMS & SQL,Top 130 PL/SQL Multiple-Choice Questions (MCQs),A value is assigned to a constant in PL/SQL at the time of –,Initialization,Declaration,Valuation,Numeralization,B,A value is assigned to a constant in PL/SQL at the time of Declaration.,medium,web:Includehelp.com https://www.includehelp.com/sql/pl-sql-multiple-choice-questions-mcqs.aspx,
