subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Digital Logic,Logic gates,Which gate outputs 1 only when both inputs are 1?,AND,OR,NAND,XOR,A,AND: output 1 iff all inputs 1. OR gives 1 if any input 1; NAND inverts AND; XOR gives 1 when inputs differ.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),logic gates;AND;truth table
Digital Logic,Logic gates,A two-input XOR gate outputs 1 when:,The two inputs are different,Both inputs are 1,Both inputs are 0,Only when inputs are equal,A,XOR = exclusive OR: 1 when exactly one input is 1 (inputs differ). It is the sum output of a half adder.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),XOR;gate;difference
Digital Logic,Universal gates,Which gates are called universal gates because any Boolean function can be implemented using only that gate type?,NAND and NOR,AND and OR,NOT and XOR,XOR and XNOR,A,"NAND alone (and NOR alone) can implement NOT, AND, OR and any Boolean function, hence universal.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),universal gates;NAND;NOR
Digital Logic,Boolean algebra laws,Which Boolean law states A + (B . C) = (A + B) . (A + C)?,Distributive law,Absorption law,De Morgan's law,Identity law,A,OR distributes over AND (and AND over OR): A + BC = (A+B)(A+C). De Morgan: (AB)' = A' + B'.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),boolean algebra;distributive law
Digital Logic,De Morgan,"By De Morgan's theorem, (A + B)' equals:",A' . B',A' + B',A . B,A + B,A,De Morgan: complement of a sum is the product of complements: (A+B)' = A'B'. Also (AB)' = A' + B'.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),De Morgan;complement;boolean
Digital Logic,Number conversions,What is the binary equivalent of decimal 13?,1101,1011,1110,1001,A,"13 = 8 + 4 + 1 = 1101 in binary (8,4,2,1 place values: 1,1,0,1).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),binary conversion;number system
Digital Logic,Octal / hex,The octal representation of binary 110010 is:,62,50,32,74,A,Group binary in 3s from the right: 110 010 = 6 2 => octal 62.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),octal;binary grouping;conversion
Digital Logic,Complements,What is the 2's complement of 8-bit binary 00101100?,11010100,11010011,10110100,01010011,A,"Invert bits: 11010011, add 1: 11010100. Two's complement is used for signed arithmetic in digital systems.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),two's complement;binary arithmetic
Digital Logic,Adders,A half adder produces sum and carry using which gates respectively?,XOR (sum) and AND (carry),OR and NOT,NAND only for both,AND for both,A,"Half adder: Sum = A XOR B, Carry = A AND B. A full adder additionally handles a carry input from the lower stage.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),half adder;full adder;XOR AND
Digital Logic,Multiplexer,How many select lines are needed for a multiplexer with 16 inputs?,4,2,8,16,A,A 2^n:1 mux needs n select lines. 16 inputs -> 4 select lines (2^4 = 16).,medium,PGIMER CP-047 prep bank - original practice (Batch 1),multiplexer;select lines
Digital Logic,Encoder / decoder,A decoder with 3 input lines produces how many output lines?,8,3,6,9,A,An n-to-2^n decoder: 3 inputs activate exactly one of 8 outputs (3-to-8 decoder).,easy,PGIMER CP-047 prep bank - original practice (Batch 1),decoder;3 to 8
Digital Logic,Flip-flops,Which flip-flop has no invalid/indeterminate state and behaves as: Q(next) = T XOR Q(current)?,T flip-flop,SR flip-flop,JK flip-flop with J=K=1 toggles,D flip-flop only,A,The T (toggle) flip-flop complements its state when T=1: Q+ = T XOR Q. D stores input; JK avoids the SR invalid state; JK with J=K=1 toggles.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),flip-flop;T flip-flop;toggle
Digital Logic,Sequential vs combinational,Which circuit is sequential (output depends on history/clock) rather than combinational?,A D flip-flop based register,A simple AND gate,A half adder,An encoder,A,"Flip-flops, registers and counters are sequential - they store state using a clock. Gates, adders, encoders and muxes are combinational.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),sequential circuit;register;clock
Digital Logic,Registers/counters,A 'mod-N counter' counts through N distinct states before repeating. A 3-bit binary counter is a:,Mod-8 counter,Mod-3 counter,Mod-16 counter,Mod-4 counter,A,"3 bits give 2^3 = 8 states (000..111), so it is a mod-8 counter.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),counter;mod-N;3-bit
Digital Logic,Karnaugh map,A 4-variable Karnaugh map is arranged as a grid of how many cells?,16,4,8,32,A,"A K-map for n variables has 2^n cells, so 4 variables -> 16 cells, arranged 4x4 with Gray-code ordering.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),K-map;minimization;cells
