subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Data Structures,Stacks,A stack is best described by which principle?,"First In, First Out (FIFO)","Last In, First Out (LIFO)","First In, Last Out is false; random access",Elements can be accessed only from the middle,B,A stack follows LIFO: the element pushed most recently is the first one popped. A queue follows FIFO.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),stack;LIFO;ADT
Data Structures,Queues,What is the main advantage of a circular queue over a simple linear array queue?,It removes the need for a rear pointer,It reuses the vacated front slots so no false 'queue full' condition occurs,It always uses less memory,It supports O(1) search,B,"In a linear array queue, after deletions the front moves forward and empty slots at the start appear as 'full'. A circular queue wraps the rear to reuse those slots.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),queue;circular queue;implementation
Data Structures,Linked lists,"To delete a given non-tail node X from a singly linked list when only the pointer to X (not its predecessor) is given, the standard technique is to:",Traverse from the head to find X's predecessor,"Copy the next node's data into X, then unlink the next node",Set head = X->next,Free X directly without any adjustment,B,"Copy next->data into X, make X->next point to next->next, then free the old next node. This works in O(1) for a non-tail node.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),linked list;deletion;singly linked list
Data Structures,Trees / traversals,The inorder traversal of a binary tree visits nodes in what order?,"Root, left subtree, right subtree","Left subtree, root, right subtree","Left subtree, right subtree, root","Right subtree, root, left subtree",B,"Inorder = Left, Root, Right. Preorder = Root, Left, Right; Postorder = Left, Right, Root.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),binary tree;traversal;inorder
Data Structures,Binary search tree,"In a Binary Search Tree, the in-order traversal always visits nodes in:",Reverse sorted (descending) order,Sorted (ascending) order,Level order,An arbitrary order,B,The BST property (left < node < right) guarantees that in-order traversal yields keys in ascending sorted order.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),BST;inorder;sorted order
Data Structures,Heaps,"In a min-heap of n elements implemented in an array, what is the worst-case time to find the minimum element?",O(1),O(log n),O(n),O(n log n),A,"The minimum is always at the root, i.e. array index 0, so it is O(1) to find (O(log n) to extract it after reheapification).",medium,PGIMER CP-047 prep bank - original practice (Batch 1),heap;min heap;complexity
Data Structures,Hashing,"In hashing with separate chaining, a 'collision' occurs when:",The hash table is full,Two different keys map to the same bucket/slot,The hash function returns a negative value,A key is deleted,B,Collision = two distinct keys produce the same hash index. Separate chaining stores colliding entries in a linked list at that bucket.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),hashing;collision;chaining
Data Structures,Graphs,"Which representation is most space-efficient for a sparse graph (few edges, many vertices)?",Adjacency matrix,Adjacency list,Incidence matrix for dense graphs,Both matrix forms equally,B,"An adjacency matrix needs V^2 entries regardless of edges. An adjacency list uses V + E entries, so it wins when E << V^2 (sparse graphs).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),graph;adjacency matrix;adjacency list;space
Data Structures,Graph traversal,Which data structure is most natural for implementing Breadth First Search (BFS) of a graph?,Stack,Queue,Priority queue,Hash set only,B,"BFS processes vertices level by level in the order discovered, which is exactly FIFO behaviour, so a queue is used. DFS uses a stack.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),BFS;queue;graph traversal
Data Structures,Applications,Which data structure is typically used to evaluate a postfix expression and to convert infix to postfix?,Queue,Stack,Deque,Binary search tree,B,Stacks naturally handle operator precedence (infix-to-postfix) and operand evaluation of postfix expressions.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),stack;postfix;expression evaluation
Data Structures,AVL trees,"For an AVL tree, which statement is TRUE?",The height difference between any node's two subtrees is at most 1,Every internal node has exactly two children,It is always a complete binary tree,Search takes O(n) even in the worst case,A,"An AVL tree keeps the balance factor (height of left minus right subtree) in {-1, 0, +1} for every node, guaranteeing O(log n) height.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),AVL;balanced tree;rotation
Data Structures,Deque / priority queue,Which structure supports deletion of the maximum element in O(log n) and insertion in O(log n)?,Sorted array,Binary heap (max-heap),Singly linked list,Hash table,B,A max-heap offers O(log n) insert and extract-max. A sorted array gives O(n) insertion; linked lists and hash tables give O(n) or worse for max.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),priority queue;heap;complexity
Data Structures,Doubly linked list,"Compared with a singly linked list, the main advantage of a doubly linked list is:",It uses less memory per node,It allows efficient backward traversal and O(1) deletion of a node when only its pointer is known,It is always sorted,It needs no head pointer,B,"The 'prev' link enables backward traversal and makes deletion of a node with only its own pointer O(1), at the cost of one extra pointer per node.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),doubly linked list;advantage
Data Structures,Complexity of operations,What is the average time complexity of searching for a key in a hash table with a good hash function and load factor kept low?,O(1),O(log n),O(n),O(n log n),A,"With uniform hashing and low load factor, lookups average O(1); worst case (all keys colliding) degrades to O(n).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),hashing;complexity;average case
Data Structures,Array vs linked list,Which operation is generally O(1) for an array but O(n) for a singly linked list?,Inserting at the head,Accessing the k-th element by index,Deleting the head,Traversing all elements,B,"Arrays give O(1) random access by index; a singly linked list must walk from the head to reach the k-th node, which is O(n).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),array;linked list;random access
