subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,List of HTML,HTML stands for_______.,Hyperactive Text Markup Language,Hyper Text Markup Language,Hyper Text Machine Language,None of these,B,"HTML stands for ""Hyper Text Markup Language"".",medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,Which is the correct syntax to include comment in an HTML document?,//,/* Comment */,// Comment //,<!-- Comment -->,D,"You can add comments to your HTML source by using the following syntax,
<!-- Write your comments here -->",medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,Which element/tag defines a paragraph?,<p>,<pre>,<panel>,None of the above,A,The <p> tag/element defines a paragraph.,medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,Which tag/element defines the HTML document's body?,<HTML>,<HTMLbody>,<bdy>,<body>,D,The <body> element defines the HTML document's body.,medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,Which tag contains the meta information about the HTML page?,<html>,<title>,<head>,<body>,C,The <head> tag contains the meta information about the HTML page.,medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,Which tag is the root element of an HTML page?,<html>,<title>,<head>,<body>,A,The <html> tag is the root element of an HTML page.,medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,Who invented HTML?,Dave Raggett,Tim Berners-Lee,Denis Ritchie,All of the above,B,Tim Berners-Lee invented HTML in 1991.,medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,HTML tags with no content are called _____.,Special tags,Advanced tags,Empty tags,Other tags,C,"HTML tags with no content are called empty tags. For example, the <br> tag, <hr> tag.",medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,HTML headings are defined with the _____ tags.,<head1> to <head6>,<p1> to <p6>,<h1> to <h6>,<h1> to <h3>,C,HTML headings are defined with the <h1> to <h6> tags.,medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
Web Technologies & Internet / PHP,List of HTML,Which tag is used to display a horizonal rule (horizonal line)?,<br>,<hr>,<hr>...</hr>,<line>,B,The <hr> tag is used to display a horizontal rule.,medium,web:Includehelp.com https://www.includehelp.com/mcq/html-multiple-choice-questions-mcqs.aspx,
