subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Software Engineering,General,What is agile methodology?,Agile methodology is a sequential approach to software development.,Agile methodology is an iterative approach to software development.,Agile methodology is a circular approach to software development.,Agile methodology is a prototype approach to software development.,B,An agile methodology is an iterative approach to software development.,medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,When agile methodology was introduced?,2001,2009,2000,2004,A,Agile methodology was introduced in the year 2001.,medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,How much time does each iteration in agile methodology take?,1-2 weeks,2-3 weeks,1-4 weeks,1-2 months,C,Agile methodology's each iteration takes approx. 1-4 weeks of the time interval.,medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,How many roles are there in agile methodology?,3,2,4,5,B,Agile methodology consists of two roles: Scrum master and Product owner.,medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,Which of the following are the responsibilities of a Scrum master role in agile methodology?,Scrum master is a team leader.,Scrum master helps other members included in the project to work with agile methodology.,Scrum master is responsible for planning meetings regularly.,All of the above.,D,"In Agile methodology, a scrum master is a team leader who is responsible for cooperating with the customer as well as the team members so that project meets the requirement. The scrum master is also responsible for planning regular meet-ups, reviewing the agile process, daily calls, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,Which of the following are the responsibilities of a Product owner role in agile methodology?,Product owner explains the requirements of the project.,Product owner also takes part in meetings and daily stand-up calls.,Product owners fix the final release date of the project.,All of the above.,D,"In Agile methodology, the Product owner is the one who wants his application to be built. It explains his project requirement, also in every iteration product owner plays a huge role. It is the project owner who sets the deadline according to his business requirement.",medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,Which of the following is/are the advantages of using agile methodology?,Customer is satisfied.,Application’s development is rapid.,Last-moment changes are also accepted.,All of the above.,D,"Following are the advantages of agile methodology: Customer is satisfied, Application's development is rapid, Last moment changes are also accepted, and regular meet-ups.",medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,Agile project management is classified into how many frameworks?,2,3,4,5,A,Agile project management is classified into 2 frameworks: Scrum and Kanban.,medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,How many components does the Kanban board have?,3,4,5,6,C,"Kanban board has 5 components: Visual signals, columns, work-in-progress limits, a commitment point, and a delivery point.",medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,What do you mean by FDD in agile methodology?,Feature development driven,Feature-driven development,Feature dynamic development,Feature development dynamic,B,FDD stands for feature-driven development which mainly focuses on the designing and building features of the project.,medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,How many phases does DSDM consist of?,3,4,5,7,D,"DSDM projects consist of seven phases: Pre-project, Feasibility Study, Business Study, Functional Model Iteration, Design and build Iteration, Implementation, and Post-project.",medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,Which of the following consist of the rapid explanation of all the functionalities desired in the product?,User manual,Documentation,Product backlog,All of the above,C,Agile product backlog consists of the rapid explanation of all the functionalities desired in the product.,medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
Software Engineering,List of Agile Methodology,Which of the following frameworks are used in agile methodology?,FDD,Kanban,Scrum,All of the above,D,"Kanban, scrum, and FDD are the most popular framework which is used in agile methodology.",medium,web:Includehelp.com https://www.includehelp.com/mcq/agile-methodology-mcqs.aspx,
