subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Storage / RAID / Data Organization,File organization,"In which file organization are records stored one after another, and reading record N requires scanning all previous records?",Sequential file organization,Indexed organization,Direct (hashed/random) organization,Heap with pointers,A,Sequential files store records in order; access is inherently serial. Indexed files use an index for faster lookup; direct uses hashing for O(1) access.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),file organization;sequential;access
Storage / RAID / Data Organization,Indexing,A primary index is built on:,The ordering key field of a sorted file,Any random column,A foreign key only,Compressed data,A,A primary index is constructed on the key/ordering field of a sequentially sorted data file; secondary indexes use other fields.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),indexing;primary index;file organization
Storage / RAID / Data Organization,B+ tree index,Why are B+ trees preferred over binary search trees for database indexes on disk?,"Their high fan-out reduces tree height, so far fewer disk accesses are needed",They store no keys,They are always stored in memory,They disallow range scans,A,"Wide B+ tree nodes (many keys per node) keep depth small (typically 3-4 levels), minimizing slow disk I/O, and leaves are linked for range scans.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),B+ tree;index;disk I/O
Storage / RAID / Data Organization,RAID concepts,"In RAID terminology, what does 'striping' mean?",Splitting data across multiple disks in blocks to improve throughput,Copying identical data to every disk,Encrypting each disk separately,Compressing blocks before writing,A,Striping distributes data across disks so reads/writes can happen in parallel. Mirroring duplicates data for redundancy.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),RAID;striping;concepts
Storage / RAID / Data Organization,RAID 0,RAID 0 (striping) offers which property?,Better performance but no fault tolerance,Full redundancy and safety,Parity with two-disk minimum,Automatic backups to tape,A,RAID 0 stripes data for speed but has zero redundancy - one failed disk loses all data on the array.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),RAID 0;striping;no redundancy
Storage / RAID / Data Organization,RAID 1,RAID 1 (mirroring) with 2 disks provides:,"Fault tolerance - data survives one disk failure, at the cost of 50% usable capacity",Maximum usable capacity,Parity recovery with no duplication,No protection at all,A,"Mirroring writes the same data to both disks: read performance improves and one disk can fail without data loss, but capacity is halved.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),RAID 1;mirroring;fault tolerance
Storage / RAID / Data Organization,RAID 5,RAID 5 uses distributed parity. What is the minimum number of disks required and how many disk failures can it survive?,Minimum 3 disks; survives 1 disk failure,Minimum 2 disks; survives 1 failure,Minimum 4 disks; survives 4 failures,Minimum 5 disks; survives 2 failures,A,RAID 5 stripes data and parity across 3+ disks; it tolerates a single disk failure and rebuilds from parity.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),RAID 5;parity;minimum disks
Storage / RAID / Data Organization,RAID 6 vs 10,Which RAID level tolerates two simultaneous disk failures using double distributed parity?,RAID 6,RAID 0,RAID 1 with 2 disks,RAID 5 always,A,RAID 6 stores two parity blocks per stripe (minimum 4 disks) and survives up to two disk failures. RAID 10 mirrors striped sets.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),RAID 6;double parity
Storage / RAID / Data Organization,RAID 10,RAID 10 (1+0) combines which two techniques?,Mirroring and striping (striped mirrors),Parity and compression,Two independent parity sets only,Encryption and hashing,A,RAID 10 mirrors then stripes: performance of striping plus fault tolerance of mirroring; needs 4 disks minimum and can lose one disk per mirror pair.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),RAID 10;mirroring + striping
Storage / RAID / Data Organization,Backup types,Which backup strategy copies only files changed since the last FULL backup?,Incremental (relative to full) - depends on definition,Differential (changes since last full backup),Mirroring to a second site only,Snapshot only,B,"A differential backup captures all changes since the last full backup, growing each time; incremental captures changes since the last backup of any type.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),backup;differential;incremental
Storage / RAID / Data Organization,Storage media,Which is generally the fastest and most common primary/secondary trade-off for a database server's working data?,"NVMe SSD for hot data, HDD/object storage for cold/archival data",Magnetic tape for all online queries,Floppy disks for production,"Only in-memory databases, no disk",A,"Tiered storage matches media to access: flash for performance-sensitive data, HDD/tape/object stores for capacity and archival.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),storage media;SSD;tiering
Storage / RAID / Data Organization,Reliability trade-offs,"When choosing a RAID level, the fundamental trade-off is between:",Capacity/performance versus redundancy/fault tolerance (and rebuild cost),RAM size and CPU speed only,Backup frequency only,There is no trade-off,A,More redundancy (parity/mirroring) consumes capacity and write bandwidth; striping without redundancy maximizes space/speed but risks data loss.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),RAID;trade-offs;reliability
