subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
C++ / OOP,Classes & objects,Which keyword controls access so that members are accessible only inside the class and its friend functions?,public,private,protected differs,static,B,private members are accessible only within the class (and friends). protected adds access for derived classes; public is open to all.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),access control;private;encapsulation
C++ / OOP,Constructors,Which constructor creates an object as a copy of another object of the same class?,Default constructor,Copy constructor,Parameterized constructor,Move constructor only,B,"A copy constructor initializes a new object from an existing one, e.g. MyClass b = a; If not defined, the compiler generates one that copies members.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),constructor;copy constructor
C++ / OOP,Inheritance,"In C++, which access specifier makes the inherited public and protected members of the base class protected in the derived class?",public inheritance,protected inheritance,private inheritance,virtual inheritance only,B,"Under protected inheritance, base public and protected members become protected in the derived class; under private inheritance they become private.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),inheritance;access specifier
C++ / OOP,Polymorphism,Which mechanism enables runtime (dynamic) polymorphism in C++?,Function overloading,Virtual functions called through base-class pointers/references,Operator overloading,Templates,B,"virtual functions + base pointer/reference produce dynamic dispatch. Overloading, operator overloading and templates resolve at compile time (static polymorphism).",medium,PGIMER CP-047 prep bank - original practice (Batch 1),polymorphism;virtual functions;dynamic dispatch
C++ / OOP,Virtual functions,Why should a base class destructor be declared virtual?,So derived destructors run when deleting a derived object through a base pointer,To make the class abstract,To prevent copying,It is only for performance,A,"A virtual destructor ensures the derived class destructor is invoked during delete through a base-class pointer, avoiding resource leaks and undefined behaviour.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),virtual destructor;polymorphism;RAII
C++ / OOP,Overloading,Function overloading in C++ allows:,Multiple functions with the same name but different parameter lists,Changing the return type alone to overload,Two functions differing only in return type,Redefining built-in operators without signatures,A,Overloads differ in parameter type/count (possibly const). Changing only the return type is not a valid overload.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),overloading;signature
C++ / OOP,Operator overloading,Which operator CANNOT be overloaded in C++?,+,:: (scope resolution),[],<< (as stream operator),B,"Scope resolution (::), . (member access), .* and ?: cannot be overloaded in C++.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),operator overloading;scope resolution
C++ / OOP,Templates,A class or function that works with a generic type supplied at instantiation time is called a:,Template,Virtual class,Friend class,Namespace,A,Templates (template <typename T>) enable generic programming; the compiler generates concrete instantiations at compile time.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),templates;generic programming
C++ / OOP,STL,"Which STL container offers O(1) average insertion, lookup and deletion by key (hash based) but does NOT keep keys sorted?",std::map,std::unordered_map,std::vector,std::list,B,"unordered_map is a hash table: O(1) average per operation, unsorted. map is a balanced tree (O(log n)) keeping keys sorted.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),STL;unordered_map;hash
C++ / OOP,STL,Which container is designed for fast insertion/removal at both ends (and also acts as a double-ended queue)?,std::deque,std::stack,std::array,std::map,A,std::deque (double-ended queue) supports O(1) push/pop at both ends and random access.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),STL;deque
C++ / OOP,Exceptions,Which statements form C++ exception handling?,"try, catch, throw","try, except, finally","raise, rescue, ensure","if, else, throw",A,"C++ uses try/catch/throw. 'try, except, finally' is Python-style syntax; 'raise/rescue' is Ruby-style.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),exceptions;try-catch;syntax
C++ / OOP,References,What is a key difference between a reference and a pointer in C++?,A reference must be initialized at declaration and cannot be reseated; a pointer can be reassigned,References can be NULL always,Pointers cannot be dereferenced,References consume more memory than pointers,A,References are aliases bound once at initialization (no NULL reference). Pointers are variables holding addresses and can be reassigned.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),references;pointers;differences
C++ / OOP,Output tracing,"class A { public: virtual void show() { cout << ""A""; } };
class B : public A { public: void show() override { cout << ""B""; } };
A* p = new B(); p->show(); What prints?",A,B,Compile error,Nothing,B,"show is virtual and p points to a B object, so dynamic dispatch calls B::show() printing 'B'. Without virtual it would print 'A'.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),output;virtual;override;dynamic dispatch
C++ / OOP,Encapsulation / abstraction,Which OOP pillar hides internal implementation details and exposes only a public interface?,Abstraction,Encapsulation only via data hiding,Inheritance,Polymorphism,A,Abstraction hides complexity behind an interface; encapsulation bundles data + methods and uses access specifiers to protect state. Both closely related; abstraction is the interface-hiding concept asked here.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),abstraction;OOP pillars
C++ / OOP,RAII,RAII (Resource Acquisition Is Initialization) means:,Resources like memory/files are acquired in a constructor and released in the matching destructor,Resources are freed by the garbage collector,All resources are static,Resources are acquired on demand by the OS only,A,"RAII ties resource lifetime to object lifetime: acquire in constructor, release in destructor, so exceptions and scope exit clean up automatically (smart pointers).",medium,PGIMER CP-047 prep bank - original practice (Batch 1),RAII;resource management;smart pointers
C++ / OOP,Namespaces,What is the purpose of a namespace in C++?,To group identifiers and avoid name collisions,To allocate heap memory,To overload operators,To create virtual tables,A,"Namespaces group declarations so names from different libraries do not clash, e.g. std::. The 'using namespace' directive brings names into scope.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),namespace;scope;name collision
