subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Software Engineering,General,What are the processes included in the Linear sequential model?,Requirement definition > system and software design > implementation and unit testing > integration and unit testing > operation and maintenance,Requirement definition > system and software design > integration and unit testing > implementation and unit testing > operation and maintenance,Analysis > design > code > test,Analysing > implement > design > code > testing > integration > Maintenance,A,Linear sequential model is called the waterfall model and the stages of the waterfall model are as follows: Requirement definition > system and software design > implementation and unit testing > integration and unit testing > operation and maintenance.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,Among the phases given below of the waterfall model which phase takes the longest time?,Integrating phase,Analysis and requirement phase,Testing phase,Maintenance,D,Normally operation and maintenance phase is the longest life cycle phase. Maintenance involves correcting errors that were not detected in the early stage.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,Which of the following is the biggest disadvantage of using a linear sequential model?,It is not easy to understand,It takes a lot of documentation,It does not allow us to make the changes in later phases,All of the above,C,The biggest disadvantage of using a linear sequential model AKA waterfall model is that changes of requirements in later phases of the model cannot be done. This implies that once the application is in the testing phase you cannot go incorporate changes.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,"In which condition waterfall model, you are suggested to use the waterfall model?",When you know all the requirements,When there is no time limit,When there is no relation between the customer,When the project is highly complex,A,Waterfall model should be used only when you know all the requirements clearly without any doubt and also when the length of the project to be made is quite small.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,Which kind of software development model should you use when your requirements are not clear and when you are clueless about the project you want to create?,Waterfall model,Rapid application development model,Incremental model,Prototype model,D,When your customer has a legitimate need but is clueless about the details in such case it is suggested to work with a prototype model as it helps to identify the requirements.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,How many types of prototype models are there?,3,4,2,5,B,"In total there are total four types of prototype models that are used in the organization according to the need and requirements of the project. The four prototype models are- Rapid throwaway prototyping, evolutionary prototyping, incremental prototyping, and Extreme prototyping.",medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,"Among the four types of prototype models which model fulfills the following conditions: ""Is useful for exploring ideas, and getting instant feedback and the prototype developed is not accepted as the final prototype.""",Rapid throwaway prototyping,Evolutionary prototyping,Incremental prototyping,Extreme prototyping,A,"In the rapid throwaway prototyping model a developed prototype is not accepted as a final prototype, also this model is useful for exploring ideas and getting instant feedback from the customer.",medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,"In this prototyping model, A prototype is incrementally enhanced based on feedback from the customer until it is finally approved.",Rapid throwaway prototyping,Evolutionary prototyping,Incremental prototyping,Extreme prototyping,B,"In the evolutionary prototyping model, a prototype is incrementally enhanced based on feedback from the customer until it is finally approved.",medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,In which prototyping model the final product is decimated into a series of small prototypes and each prototype is developed separately.,Rapid throwaway prototyping,Evolutionary prototyping,Incremental prototyping,Extreme prototyping,C,"In the Incremental prototyping model, the final product is decimated into a series of small prototypes and each prototype is developed separately.",medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,Which prototyping model is used for web development?,Rapid throwaway prototyping,Evolutionary prototyping,Incremental prototyping,Extreme prototyping,D,Extreme prototyping model is mostly used in web development.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,Which of the following is the disadvantage of the prototype model?,The cost of developing a prototype is a waste,The prototype model is a slow process model,This type of model includes many changes from the customer,All of the above,D,"The disadvantages of the prototype model are- Cost of developing a prototype is a total waste, the prototype model is a slow process model, and this type of model includes many changes from the customer.",medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,What are the phases of the Rapid application development model?,Business Modelling > Data Modelling > Process Modelling > Application Generation > Testing and Turnover,Business Modelling > Application Generation > Data Modelling > Process Modelling > Testing and Turnover,Data Modelling > Process Modelling > Business Modelling > Application Generation > Testing and Turnover,Application Generation > Testing and Turnover > Data Modelling > Process Modelling > Business Modelling >,A,The phases of Rapid application development models are as follows- Business Modelling > Data Modelling > Process Modelling > Application Generation>Testing and Turnover.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,In which condition you will suggest the client use the Rapid application development model?,When the project is out of technical risk,When the project is to be completed in 2-3 months,When the client is crystal clear about the requirements of the project,All of the above,D,You should use the Rapid application development model when the project is out of technical risk When the project is to be completed in 2-3 months When the client is crystal clear about the requirements of the project.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,What are the phases of the incremental model?,"Requirement analysis, Design, and development, Coding, and maintenance","Requirement analysis, Design and development, Coding, Testing","Requirement analysis, Design, development, Coding, integration, and maintenance","Requirement analysis, Design, and development, Coding, maintenance, and feedback",B,"The phases of the incremental model are as follows: -Requirement analysis, Design, and development, Coding, and Testing.",medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
Software Engineering,List of Software Architecture,Which software model is the combination of the waterfall model and iterative model?,RAD model,Prototype Model,Incremental Model,Spiral Model,D,Spiral Model is the combination of the waterfall model and iterative model.,medium,web:Includehelp.com https://www.includehelp.com/mcq/software-architecture-mcqs.aspx,
