subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Fundamentals & Systems,General,What is computer memory?,device used to store information in computer,device to print output to screen,device to process data,None of these,A,"Computer memory is a device that is used to store information in a computer. Some common computer memories are RAM, SSD, and cache.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these are not memory devices of a computer?,Screen,Cache,Floppy,All of these,A,"The screen is an output device, it's not a computer memory. The cache and floppy are the memories, they are used to store the information.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these memory devices can be removed from the computer?,Floppy,RAM,Hard disk,Register,A,"Computer memory is a device that is used to store information in a computer. Some memory devices can be removed from the computer too. Some removable memory devices are floppy, flash drives, CDs, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is a storage device?,CD ROM,Resistor,Cache Memory,All of these,D,"Storage devices are devices that can store data on a computer. Some storage devices are CD ROM, Resistor, Cache, RAM, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,How many types of computer memory are present?,5,2,3,7,C,"Computer memory is a device that stores data in the computer. There are 3 types of memories present in the computer. They are :
 Primary Memory: like RAM, ROM
 Secondary Memory: hard disk, CD's
 Cache Memory",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these are considered as primary memory?,RAM,ROM,Cache,Both A and B,D,"Primary memory is a memory present in a computer that can be directly accessed by the processor.
 Primary memory consists of RAM and ROM.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is not a feature of primary memory?,It is fast,It holds instructions for computer,It is volatile,All of these,C,"Primary memory is a memory present in a computer that can be directly accessed by the processor.
 Primary memory consists of RAM and ROM.
 ROM is a non-volatile memory. Hence primary memory is a volatile memory is a wrong statement.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What does RAM stand for?,Read and write memory,Random Access Memory,Random Access Module,Read According Message,B,RAM stands for Random Access Memory is a primary memory that stores data at a random memory location. It is a volatile memory in which both read and write operations are possible.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What is RAM in a computer?,Primary memory that stores data at random memory location,Primary memory that stores data at contiguous memory location,Detachable memory to upgrade computer's storage,All of these,A,RAM is a primary memory that is used to store data at random memory locations. It is a volatile memory used to store computers that can be accessed faster.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is a category of RAM?,Erasable RAM,Dynamic RAM,Programmable RAM,None of these,B,"RAM is a primary memory that stores data directly accessible by the processor. This memory has the following subcategories:
 DRAM, Dynamic Random Access Memory
 SRAM, Static Random Access Memory",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What does SRAM stand for?,Strong Random Access Memory,Serialized Random Access Memory,Static Random Access Memory,All of these,D,SRAM stands for Static Random Access Memory is a type of RAM that holds data in a static form. It is made of transistors hence it does not need refreshing.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these statements are correct for SRAM?,It needs refreshing,It uses capacitors to store data,It uses transistor to store data,None of these,C,SRAM stands for Static Random Access Memory is a type of RAM that holds data in a static form. It is made of transistors hence it does not need refreshing.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these devices use capacitors to store data?,SRAM,DRAM,ERAM,PRAM,B,DRAM or dynamic RAM used capacitors to store data. It is a type of RAM that stores data dynamically as it stores data in capacitors and hence requires refreshing.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,DRAM has which of these features?,It needs refreshing,It uses capacitors to store data,It is less expensive,All of these,D,DRAM stands for Dynamic Random Access Memory is a type of RAM that stores data in capacitors that need refreshing.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,DRAM stands for?,Degenerative Random Access Memory,Data Random Access Memory,Dynamic Random Access Memory,None of these,C,DRAM stands for Dynamic Random Access Memory is a type of RAM that stores data in capacitors that need refreshing.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What does ROM stand for?,Random Orientation Memory,Read Only Memory,Recover Only Memory,None of these,B,ROM stands for Read-Only Memory. It is a volatile memory that is used to store permanent data. It offers only read operation.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What is ROM?,It is a memory device used to store data permanently,It is a volatile memory,It is a type of Secondary memory,All of these,A,ROM stands for Read-Only Memory which is a non-volatile memory device. It is a write-once-read-many device that is used to store important instructions directly by the processor.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is a type of ROM?,PROM,EPROM,EEPROM,All of these,D,"ROM stands for Read-Only Memory which is a non-volatile memory device. It is a write-once-read-many device that is used to store important instructions directly by the processor. There are the following types of ROMs:
 PROM
 EPROM
 EEPROM",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What does PROM stand for?,Pasted Read Only Memory,Programmable Read Only Memory,Predictive Read Only Memory,Primary Read Only Memory,B,PROM stands for Programmable Read-Only Memory. It is a non-volatile primary memory that can be programmed once after which it becomes read-only.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these are features of PROM?,It can be coded by the user,It is volatile memory,It can be erased,None of these,A,PROM stands for Programmable ROM is a non-volatile memory that is provided blank to the user who can code it after which it becomes read-only.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,EPROM stands for?,Electronically Programmable Read Only Memory,Erasable Programmable Read Only Memory,Electronically Primary Read Only Memory,Erasable Primary Read Only Memory,B,EPROM stands for Erasable Programmable ROM is a non-volatile memory that can be erased after programming to reprogram once again. The process of erasing is done by using high voltage UV light.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is a feature of EPROM?,It can be programmed by user,It is a non-volatile memory,It can be erased using UV light,All of these,D,EPROM stands for Erasable Programmable ROM is a non-volatile memory that can be erased after programming to reprogram once again. The process of erasing is done by using high voltage UV light.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,EPROM's data can be erased using ___.,It can be directly reprogrammed,Heat,High Voltage Ultraviolet light,All of these,C,EPROM stands for Erasable Programmable ROM is a non-volatile memory that can be erased after programming to reprogram once again. The process of erasing is done by using high voltage UV light.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,EEPROM stands for?,Erasable External Programmable Read Only Memory,External Erasable Programmable Read Only Memory,Electronically Erasable Programmable Read Only Memory,Electronically Erasable Primary Read Only Memory,C,EEPROM stands for Electronically Erasable Programmable Read-Only Memory is a non-volatile memory that can be erased after programming using an electric charge.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is not a feature of EEPROM?,Its data can be erased using electric charge,It can be programmed by user,It is a volatile memory,It is a primary memory,C,EEPROM stands for Electronically Erasable Programmable Read-Only Memory is a non-volatile memory that can be erased after programming using an electric charge.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is a volatile memory?,EPROM,Hard Disk,RAM,All of these,C,Volatile memory is a type of memory in which the data is erased once the power is turned off. RAM is a volatile memory.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these are uses of ROM?,Embedded system,Coding for home appliances,Coding for calculator,All of these,D,"ROM stands for Read-Only Memory which has found usage in many places. Some of them are:
 Embedded systems
 Electronic devices like DVDs, digital watches, etc.
 Home Appliances like TV, microwave, refrigerator, washing machine, and more
 In chips of cars and other vehicles
 It devices like calculator, printer, Fax Machine",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these memories acts as a buffer between CPU and main memory?,ROM,RAM,Cache,Hard disc,C,Cache memory is a semiconductor memory that is a buffer between CPU and main memory. It stores frequent data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is an expensive memory?,RAM,CD,Cache,ROM,C,Cache memory is a semiconductor memory that is a buffer between CPU and main memory. As it is the fastest memory it is the most expensive.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is an advantage of cache memory?,It is faster than main memory,It stores data for temporary use,It stores programs to be executed,All of these,D,"The advantages of cache memory are,
 It is fast memory than the main memory
 It stores data for temporary use 
 It stores data for programs to be executed 
 It is a semiconductor device close to a processor",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What does SSD stand for?,Small Storage Device,Solid State Drive,Simple Storage Drive,None of these,B,SSD stands for Solid State Drive which is faster secondary storage.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What is secondary memory?,It is a non-volatile memory storing data permanently,It is a volatile memory storing data,It is a memory that connects directly to CPU,None of these,A,Secondary memory is a non-volatile memory that stores large amounts of data permanently.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,The speed of secondary memory is?,Fastest,Faster than primary,Slower than primary,None of these,C,The secondary memory is slower than primary memory which can store large amounts of data permanently.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is a type of secondary memory?,HHD,CD,Magnetic Tapes,All of these,D,"Secondary memory is a non-volatile memory that stores large amounts of data permanently. There are many secondary memory devices, they are HHD, SSD, CD, DVD, floppy disc, magnetic tapes, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What does HDD stand for?,High Speed Disc Drive,High Performance Drive disc,Hard disc drive,None of these,C,HDD stands for Hard Disc Drive is a type of secondary memory used to store data. It is commonly found in computers.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What is magnetic tape?,Strip of plastic film used to store data,Magnetic used to store data,Fastest memory storage,All of these,A,Magnetic tape is a strip of plastic film with a magnetic coating used to store data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these is a circular plate with magnetic coating used to store data?,Magnetic Tape,Magnetic Disc,Cache,All of these,B,A magnetic Disc is a secondary storage device that is used to store data. It is a circular plate with a magnetic coating used to store data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,Which of these secondary devices are removable?,Magnetic discs,HD,DVD,All of these,C,"Some secondary devices are removable from the computer. Devices like DVDs, CDs, flash drives, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,WORM stands for?,Write Once Read Many,Write Only Random Memory,Write Only Read Many,None of these,A,WORM stands for Write Once Read Many is a removable secondary memory used to store data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,The diameter of CD’s is ___.,10 inches,2.2 inches,4.75 inches,4 inches,C,"CDs also known as Compact discs are removable secondary storage devices that can be detached.
 The diameter of a CD is generally about 4.75 inches.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
Computer Fundamentals & Systems,List of Computer Memory,What does DVD stand for?,Duplicate visual Disc,Digital Versatile Device,Digital Versatile Disc,Duplicate Visual Device,C,DVD stands for Digital Versatile Disc. It is an optical memory used to store data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-memory-mcqs.aspx,
