subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,basic html,Choose the correct statement of HTML,In traditional XHTML close tag for some elements is optional but not encouraged,In traditional HTML close tag for some elements is optional but not encouraged,None of the mentioned,In both traditional XHTML and HTML close tag for some elements is optional,B,"Option B is the correct answer. 

In traditional HTML, the closing tag for certain elements is optional according to the HTML specification. For example, elements such as <li>, <p>, <tr>, and <td> may omit their closing tags because browsers can infer where the element ends. However, omitting closing tags is generally not encouraged since explicitly closing elements improves code readability, maintainability, and compatibility. 

Why Option A is incorrect: 

In XHTML, every element must be properly closed because XHTML is based on XML. Omitting a closing tag results in an invalid XHTML document. Therefore, it is incorrect to say that closing tags are optional in traditional XHTML. 

Why Option C is incorrect: 

Option C states ""None of the mentioned"". This is incorrect because Option B correctly describes the behavior of traditional HTML regarding optional closing tags. 

Why Option D is",medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/,
Web Technologies & Internet / PHP,basic html,Which of the following is not a difference between HTML and XHTML,Charset in html is “text/html” where as in xhtml it is “application/xml+xhtml”,None of the mentioned,Tags and attributes are case-insensitive in HTML but not in XHTML,Special characters must be escaped using character entities in XHTML unlike HTML,A,"Option A is the correct answer. 

The question asks for the statement that is not a valid difference between HTML and XHTML. Option A is incorrect because it contains factual errors. It refers to text/html and application/xml+xhtml as character sets (charsets), whereas they are actually MIME (Content) Types. In addition, the correct MIME type for XHTML is application/xhtml+xml, not application/xml+xhtml. Since the statement itself is incorrect, it cannot be considered a valid difference between HTML and XHTML. 

Why Option B is incorrect: 

Option B states ""None of the mentioned"", which would be correct only if all the other options described valid differences. However, Option A is factually incorrect, so not all the listed statements are valid differences. Therefore, Option B cannot be the correct answer. 

Why Option C is incorrect: 

Option C states that tags and attributes are case-i",medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/,
Web Technologies & Internet / PHP,basic html,What indicates the content in file is HTML when delivered on the network.,The extension of the file “.html”,The “content-type” header,Both “.html” extension and “content-type” header,None of the mentioned,B,Content-type: header indicates the content in file is html.,medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/,
Web Technologies & Internet / PHP,basic html,HTML and XHTML stands for,Hyper Text Markup Language and EXtensible HyperText Markup Language,Hyper Text Markup Language and EXtensible HyperText Marking Language,Hyper Text Marking Language and EXtensible HyperText Marking Language,None of the mentioned,A,HTML and XHTML are abbreviated as mentioned in the correct option.,medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/,
Web Technologies & Internet / PHP,basic html,Choose the correct tag for largest heading in HTML.,h6,heading,h1,head,C,h1 is the largest while h6 is the smallest by convention for headings in HTML.,medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/,
Web Technologies & Internet / PHP,basic html,Which of the following are table tags?,"table, thead, tr, td","colspan, table, tr","table, tt, tr, td",none of the mentioned,A,"Table tags in HTML are used to create and structure tables. They include various tags to define the table structure, rows, headers, and data cells.
 
Option A: table, thead, tr, td - This is the correct answer. These tags are all used in defining a table in HTML:
 
table - Defines the table itself.
 
thead - Defines the header section of the table.
 
tr - Defines a table row.
 
td - Defines a table data cell.
 
Option B: colspan, table, tr - This is incorrect. While table and tr are table tags, colspan is an attribute, not a tag.
 
Option C: table, tt, tr, td - This is incorrect. While table, tr, and td are table tags, tt is not a table tag; it represents teletype text.
 
Option D: none of the mentioned - This is incorrect because Option A correctly lists table tags.",medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/,
Web Technologies & Internet / PHP,basic html,"Which of the following options follows content model in HTML?
i.<ul>
 <p>Option one </p>
 </ul>
ii.<ul>
 <li>Option two </li>
 </ul>",i,ii,i and ii,None of the mentioned,B,"Option B is the correct answer. 

According to the HTML content model, the <ul> (unordered list) element can contain only <li> (list item) elements as its direct children. Each <li> element may then contain text, paragraphs, images, links, or other valid HTML content. 

Why Option i is incorrect: 

In Option i, the <ul> element directly contains a <p> element. This violates the HTML content model because a paragraph cannot be a direct child of an unordered list. The correct structure is to place the paragraph inside an <li> element if needed. 

Why Option ii is correct: 

In Option ii, the <ul> element directly contains an <li> element, which is the required and valid structure for an unordered list. This follows the HTML specification for list elements. 

Why Option A is incorrect: 

Option A selects only i, which does not follow the HTML content model because the <ul> element contains ",medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/,
Web Technologies & Internet / PHP,basic html,"Which of the following markup is correct?
i. <b><i>is in error as tags cross</b></i>
ii. <b><i>is not since tags nest</i></b>",i,ii,i and ii,None of the mentioned,B,Tags in HTML are always nested.,medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/?page=2,
Web Technologies & Internet / PHP,basic html,Which of the following is not a correct (X)HTML rule?,Attributes should be quoted,Tags should nest not tag,Unused elements may be minimized,Unknown attributes are ignored by the browser,D,Browser ignores unknown attributes.,medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/?page=2,
Web Technologies & Internet / PHP,basic html,"Identify the count of mistakes in the following markup.
<html>
<head>
</head>
<body>
 <li>
 <ul><p>Hello</p></ul>
 </li>
 <br>
 <hr>
</body>
</html>",2,3,1,0,B,"<p> should not be in <li> ,<br> and <hr> shpuld be closed.",medium,web:Examveda.com https://www.examveda.com/html/practice-mcq-question-on-basic-html/?page=2,
