subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Java,JVM / bytecode,Java source code (.java) is first compiled by javac into:,Machine code,Bytecode (.class files) executed by the JVM,Assembly code,Executable .exe files,B,"javac produces platform-independent bytecode. The JVM interprets/compiles (JIT) bytecode at runtime, giving portability.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),JVM;bytecode;JIT
Java,Inheritance,"In Java, a class can inherit from at most one superclass, but can implement:",Multiple interfaces,Only one interface,No interfaces,Only abstract classes,A,Java has single inheritance of classes but allows a class to implement many interfaces (multiple inheritance of type).,medium,PGIMER CP-047 prep bank - original practice (Batch 1),inheritance;interface;multiple
Java,Interfaces / abstract classes,What distinguishes an abstract class from an interface in modern Java?,An abstract class can hold state (instance fields) and concrete methods; an interface traditionally declares abstract contracts (with static/default methods allowed),Interfaces can have fields with values,Abstract classes cannot be extended,There is no difference,A,"Abstract classes may have instance variables, constructors and concrete methods. Interfaces declare contracts; since Java 8 they may contain default and static methods.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),abstract class;interface;differences
Java,Encapsulation,Which keyword makes a class member accessible only within the same class (classic encapsulation tool)?,private,public,protected,final,A,private restricts access to the declaring class only. public is global; protected allows package and subclass access.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),encapsulation;private;access modifiers
Java,final / static,What does the final keyword mean when applied to a method in Java?,The method cannot be overridden by subclasses,The method is abstract,The method returns nothing,The method is static,A,A final method cannot be overridden. final on a class prevents subclassing; final on a variable makes it a constant.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),final;method;overriding
Java,Strings,"String a = ""PGI""; String b = ""PGI""; Which is TRUE about a == b in Java?","true, because both refer to the same interned string literal in the constant pool","false, always",Compilation fails,true only if using new String,A,"String literals are interned: identical literals share one object, so == (reference equality) returns true. new String(""PGI"") would create a distinct object.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),strings;interned;equals vs ==
Java,String immutability,Why is String immutable in Java?,"For security, caching/hash-code stability, thread safety and reuse in the string pool",Strings are actually mutable,To make == compare contents,Only to save memory in one case,A,"Immutability gives safe sharing, reliable hashCode, thread safety and pool reuse. StringBuilder/StringBuffer exist for mutable text.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),String;immutability
Java,Exceptions,Checked exceptions in Java must be:,Handled with try/catch or declared with throws,Ignored always,Only caught at runtime,Thrown by the JVM automatically,A,Checked exceptions (e.g. IOException) are enforced at compile time: the caller must catch or declare them. Runtime exceptions need no declaration.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),exceptions;checked;throws
Java,Exceptions,"What is printed?
try { throw new ArithmeticException(""div""); }
catch (ArithmeticException e) { System.out.print(""A ""); }
finally { System.out.print(""F ""); }",A F,F A,A only,F only,A,"The catch block runs first printing 'A', then the finally block always executes printing 'F'. Order: catch then finally.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),exceptions;finally;output
Java,Collections,Which interface represents an ordered collection that allows duplicates and supports indexed access (e.g. ArrayList)?,List,Set,Map,Queue,A,"List preserves insertion order, allows duplicates, and supports positional access. Set disallows duplicates; Map stores key-value pairs.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),collections;List;Set;Map
Java,Collections,Which implementation guarantees that keys are stored in sorted order?,HashMap,TreeMap,Hashtable,LinkedHashMap only,B,"TreeMap is a red-black tree that keeps keys sorted. HashMap gives O(1) average access, unordered; LinkedHashMap keeps insertion order.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),collections;TreeMap;sorted keys
Java,Multithreading,"When you call start() on a Thread object, the JVM:",Creates a new thread and invokes run() in it,Directly calls run() in the current thread,Does nothing,Throws an exception always,A,"start() spawns a new thread of execution that runs run(). Calling run() directly executes it synchronously in the calling thread, not in a new thread.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),threads;start vs run;multithreading
Java,Garbage collection,"In Java, garbage collection:",Automatically reclaims memory of objects no longer reachable,Must be invoked manually with delete,Runs only at program exit,Never happens in modern JVMs,A,The JVM identifies unreachable objects via reachability analysis and reclaims them. System.gc() only suggests a collection.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),garbage collection;memory;JVM
Java,Generics,What is the purpose of generics in Java collections?,Compile-time type safety (avoid ClassCastException) by binding collections to element types,To make collections slower on purpose,To remove all type information,Only to support primitives,A,Generics let you write List<String> so the compiler checks element types; this catches type errors at compile time instead of runtime casts.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),generics;type safety
Java,this / super,"In a subclass constructor, the statement super(...) must be:",The first statement of the constructor,Called after other statements,Never used,Called only in the main method,A,"super(...) invokes the superclass constructor and must be the first statement in a constructor. If omitted, the no-arg super constructor is called implicitly.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),super;constructor;first statement
Java,static keyword,A static method in Java:,Belongs to the class and can be called without an instance,Can access instance variables directly,Must be overridden,Runs only on the main thread,A,"Static members belong to the class, not an instance. A static method cannot directly access non-static (instance) members.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),static;class method
