subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Python Programming,introduction to python,What is Python primarily used for?,Web browsing,Data analysis,Video editing,Game development,B,"Python is primarily used for data analysis, among other things. It provides powerful libraries such as NumPy, Pandas, and Matplotlib, which are widely used in the field of data science and analytics. These libraries offer tools for data manipulation, analysis, and visualization, making Python a popular choice for tasks such as statistical analysis, machine learning, and data mining. While Python can be used for a variety of purposes including web development, automation, and scripting, its versatility and rich ecosystem make it particularly well-suited for data-related tasks.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,Who developed Python Programming Language?,Wick van Rossum,Rasmus Lerdorf,Guido van Rossum,Niene Stom,C,"Python Programming Language was developed by Guido van Rossum. 
He initiated the development of Python in the late 1980s and released the first version in 1991. Since then, Python has grown into one of the most popular programming languages worldwide, known for its simplicity, readability, and versatility.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,Which of the following is an advantage of Python?,It compiles to machine code,It enforces strict typing,It has a large standard library,It requires extensive memory management,C,"The question asks about an advantage of Python. An advantage is something that makes Python good or easy to use compared to other programming languages.
 Correct Answer: Option C: It has a large standard library
 
 This is the correct answer because Python comes with a huge collection of pre-written code called the ""standard library"". Think of it like a toolbox that comes packed with all sorts of useful tools already inside.
 
 Want to work with files? There's a tool for that. Want to work with dates and times? There's a tool for that. Want to send emails or build a website? There are tools for those too!
 
 This means you don't have to write everything from scratch, which saves a lot of time and effort when you're building programs. It makes Python very powerful and versatile for many different types of projects.
 Why other options are incorrect:
 
 Option A: It compiles to machine code",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,What is the role of the Python interpreter?,To convert Python code to assembly language,To manage memory allocation,To execute Python code line by line,To compile Python code into bytecode,C,"Option C is the correct answer. 

The Python interpreter is responsible for reading and executing Python programs. It processes the source code, translates it into an intermediate form (bytecode in CPython), and executes the instructions. From a programmer's perspective, the interpreter executes the program line by line, allowing errors to be detected during execution and making Python an interpreted language. 

Why Option A is incorrect: 

The Python interpreter does not convert Python code directly into assembly language. Assembly code is generated by low-level language compilers, whereas Python uses an interpreter that works with Python source code and bytecode. 

Why Option B is incorrect: 

Although the Python runtime automatically manages memory using mechanisms such as reference counting and garbage collection, memory allocation is not the primary role of the Python interpreter. I",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,Which programming paradigm is supported by Python?,Only imperative,Only functional,Only logical,Multiple paradigms,D,"Python supports multiple paradigms. 
Python is a versatile language that accommodates different programming styles and paradigms, including imperative, functional, and object-oriented programming. This flexibility allows programmers to choose the most suitable approach for solving a particular problem. While Python is primarily an imperative language, it also incorporates features from other paradigms, such as support for higher-order functions and lambda expressions, making it suitable for functional programming. Additionally, Python's object-oriented features enable the creation of classes and objects, facilitating object-oriented programming. Overall, Python's support for multiple paradigms contributes to its widespread adoption and popularity among developers.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,What is the syntax used to write comments in Python?,// Comment,/* Comment */,# Comment,<!-- Comment -->,C,"In Python, the syntax used to write comments is # Comment. 
Comments in Python are indicated by the pound sign (#) followed by the text of the comment. Anything following the # symbol on a line is considered a comment and is ignored by the Python interpreter during execution. Comments are used to add explanatory notes or annotations within the code to make it more readable and understandable for other programmers or for future reference.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,Which type of Programming does Python support?,object-oriented programming,structured programming,functional programming,all of the mentioned,D,"Python supports all of the mentioned programming types. 
Python is a multi-paradigm programming language, which means it supports various programming styles, including object-oriented programming, structured programming, and functional programming. This versatility allows developers to choose the most appropriate paradigm for their specific needs and preferences. Python's support for multiple programming paradigms contributes to its flexibility and popularity among programmers for a wide range of applications.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,Is Python case sensitive when dealing with identifiers?,no,yes,machine dependent,none of the mentioned,B,"Python is case sensitive when dealing with identifiers. 
Identifiers in Python, such as variable names, function names, and class names, are case-sensitive. This means that Python considers uppercase and lowercase letters as distinct characters. For example, variables ""myVar"" and ""myvar"" would be treated as two separate identifiers in Python. It's essential to maintain consistency in the casing of identifiers throughout the code to avoid errors related to undefined or misinterpreted identifiers.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,Which of the following is the correct extension of the Python file?,.python,.pl,.py,.p,C,"The correct extension of a Python file is .py. 
Python files typically have the extension "".py"", which indicates that they contain Python code. When you save a Python script, you should use the "".py"" extension at the end of the file name to ensure that it's recognized as a Python file by the interpreter and text editors. Using the correct file extension also helps maintain organization and clarity in your project directory.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,How is a variable defined in Python?,define x = 10,variable x = 10,x = 10,x := 10,C,"In Python, a variable is defined by using the syntax x = 10. 
To define a variable in Python, you simply write the variable name followed by an equal sign (=) and then the value you want to assign to that variable. This process binds the variable name to the specified value. Unlike some other programming languages, Python does not require explicit declaration of variable types. Instead, variables are dynamically typed based on the value assigned to them. 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 1
2
3
4
5
6
7
8
9

 
 
 
 
 
 
 
 
 
 

 
 

 -->
 
 
 


 

-->
 
 
 Copyright © 2026 Examveda.com
 
 
 
 
 
 
 
 
 
 About Us |
 Terms & Condition |
 Privacy Policy |
 Contact Us",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/,
Python Programming,introduction to python,Is Python code compiled or interpreted?,Python code is both compiled and interpreted,Python code is neither compiled nor interpreted,Python code is only compiled,Python code is only interpreted,A,"Python code is both compiled and interpreted. 
When you run a Python script, the source code is first compiled into bytecode by the Python interpreter. This bytecode is then executed by the Python Virtual Machine (PVM). Thus, Python combines elements of both compilation and interpretation. The compilation step translates the human-readable source code into bytecode, while the interpretation step executes the bytecode instructions. This hybrid approach allows Python to achieve a balance between performance and flexibility.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/?page=2,
Python Programming,introduction to python,All keywords in Python are in . . . . . . . .,Capitalized,lower case,UPPER CASE,None of the mentioned,B,"All keywords in Python are in lower case. 
Python's keywords, such as ""if,"" ""else,"" ""for,"" ""while,"" and others, are reserved words that have special meanings and purposes within the language. By convention, Python's keywords are all written in lowercase letters. This consistent style helps maintain readability and consistency across Python codebases",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/?page=2,
Python Programming,introduction to python,Which of the following character is used to give single-line comments in Python?,//,#,!,/*,B,"In Python, the character used to give single-line comments is #. 
Any text that comes after the # symbol on a line is treated as a comment and is ignored by the Python interpreter during execution. Single-line comments are commonly used for adding explanations, notes, or reminders within the code to improve readability and understanding.",medium,web:Examveda.com https://www.examveda.com/python-program/practice-mcq-question-on-introduction-to-python/?page=2,
