subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Data Structures,List of Data Structure and Algorithms (DSA),What is the worst-case time complexity?,Minimum time required for program execution,Average time required for program execution,Maximum time required for program execution,None of the above,C,Time complexity of a program represents the time required for a program to run to completion. Worst case time complexity is the maximum time required for program execution.,medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),What is the best-case time complexity?,Minimum time required for program execution,Average time required for program execution,Maximum time required for program execution,None of the above,A,Time complexity of a program represents the time required for a program to run to completion. Best case time complexity is the minimum time required for program execution.,medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),Which of the following correctly defines the worst-case time complexity of Linear Search Algorithm?,O(n),O(1),O(nlogn),O(n2),A,"Linear Search, searches an element sequentially in a list. In the worst case, where an element is not present, the linear search algorithm has to scan all elements leading to O(n).",medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),Which of the following data structures is used for breadth first traversal of a graph?,Stack,Graph,Queue,Tree,C,"For breadth first traversal of a graph, queue is used whereas for depth first traversal of a graph, stack is used.",medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),Which of the following data structures is used for depth first traversal of a graph?,Stack,Graph,Queue,Tree,A,"For breadth first traversal of a graph, queue is used whereas for depth first traversal of a graph, stack is used.",medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),The below formula is used by which tree?,Red Black Tree,AVL Tree,Binary Search Tree,B+ Tree,A,"In Binary Search tree, nodes exhibit the following properties:
Value of left tree node is less than the root node
Value of root tree node is greater or more than the root node",medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),What is the minimum number of spanning tree(s) in a connected graph?,1,n,nxn,0,A,Every connected graph must have at least one spanning tree.,medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),How to find if two vertices A and B of a graph have a path in between them?,"Using Breadth First Search, BFS","Using Depth First Search, DFS",Both of the above,None of the above,C,"Both BFS and DFS, we can find if two vertices A and B have a path in between them.",medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),What is the time required to merge two sorted lists of size m and n respectively?,O(m),O(n),O(m + n),None of the above,C,Time required to merge two sorted lists of size m and n is O(m+n).,medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
Data Structures,List of Data Structure and Algorithms (DSA),Queue can be used for?,Parsing expression,Recursion,Resource Allocation,None of the above,C,Queue is generally used for limited resources allocation. Stack is used for other operations.,medium,web:Includehelp.com https://www.includehelp.com/mcq/data-structure-and-algorithms-dsa-mcqs.aspx,
