subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Operating Systems,Operating System (Examveda),If there are multiple recycle bin for a hard disk,You can set different size for each recycle bin,You can choose which recycle bin to use to store your deleted files,You can make any one of them default recycle bin,None of above,A,"If there are multiple recycle bins for a hard disk, you can set the size for each recycle bin. There is one recycle bin for each partition.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),Identify false statement,You can find deleted files in recycle bin,You can restore any files in recycle bin if you ever need,You can increase free space of disk by sending files in recycle bin,You can right click and choose Empty Recycle Bin to clean it at once,C,"In Windows operating system, the recycle bin is temporary storage for files or folders that have been deleted but are not yet permanently erased from the system. A user can open the recycle bin and restore deleted file if need.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),"If the displayed system time and date is wrong, you can reset it using",Write,Calendar,Write file,Control panel,D,"The Control Panel is a component of Microsoft Windows that provides the ability to view and change system settings. It consists of a set of applets that include adding or removing hardware and software, controlling user accounts, changing accessibility options, and accessing networking settings.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),You should save your computer from?,Viruses,Time bombs,Worms,All of the above,D,"The correct answer is D: All of the above 
Let's understand why: 
Viruses: These are malicious programs that can replicate themselves and spread to other files or computers. They can corrupt data, slow down your computer, or even steal your personal information. 
Time bombs: These are pieces of code that are designed to execute at a specific time or when a certain condition is met. They can cause damage to your system when they activate. 
Worms: These are similar to viruses, but they can spread automatically across networks without needing human interaction. They can consume network bandwidth and cause system slowdowns. 
Since viruses, time bombs, and worms are all harmful to your computer, you should protect your system from all of them.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),World Wide Web is being standard by,Worldwide corporation,W3C,World Wide Consortium,World Wide Web Standard,B,"The correct answer is B: W3C 
Let's break down why: 
 
W3C stands for the World Wide Web Consortium. 
This organization is the main international standards organization for the World Wide Web. 
They develop and maintain the standards that ensure websites work consistently across different browsers and devices. 
 
Why the other options are incorrect: 
* A: Worldwide corporation: This is too general; no specific corporation oversees web standards. 
* C: World Wide Consortium: While similar to W3C, the correct and officially recognized acronym is W3C. 
* D: World Wide Web Standard: This is a description, not the name of the organization responsible. 
 
Therefore, W3C is the definitive body responsible for standardizing the World Wide Web.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),A co-processor,Is relatively easy to support in software,Causes all processor to function equally,Works with any application,Is quite common in modern computer,D,"In the context of computer fundamentals and operating systems, a co-processor (or coprocessor) is a specialized processing unit that assists the main processor (CPU) in executing certain operations, such as mathematical or graphical tasks, more efficiently. Co-processors are designed to work in conjunction with the main processor to enhance overall system performance. 
Therefore, the correct answer is Option D: Is quite common in modern computers.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),A Microsoft Windows is a(n),Operating system,Graphic program,Word Processing,Database program,A,"Microsoft Windows is a group of Operating Systems manufactured by Microsoft. Windows is available in 32 and 64-bit versions and offers a graphical user interface (GUI), multitasking functionalities, virtual memory management capabilities, and support for several peripheral devices. Windows Operating Systems constitute client as well as server versions.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),Which of the following is program group?,Accessories,Paint,Word,All of above,A,"A paint program is a software graphics program that allows the user to draw, color, or paint bitmapped images on a computer. Though most are discontinued, examples include: KolourPaint, XPaint, Deluxe Paint, MacPaint, and Microsoft Paint, which is shown in the picture.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),Which is not application software?,Windows NT,Page Maker,WinWord XP,Photoshop,A,Windows NT is a family of operating systems produced by Microsoft.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),The ...... program compresses large files into a smaller file,WinZip,WinShrink,WinStyle,None of above,A,"WinZip is a Windows program that lets you archive and compress files so that you can store or distribute them more efficiently. 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 1
2
3
4
5
6
7
8
9
10

 
 
 
 
 
 
 
 
 Read More Section(Operating System)
 Each Section contains maximum 100 MCQs question on Operating System. To get more questions visit other sections.
 
 Operating System - Section 2
 Operating System - Section 3
 Operating System - Section 4
 Operating System - Section 5
 Operating System - Section 6
 
 


 
 
 
 

 
 

 -->
 
 
 


 

-->
 
 
 Copyright © 2026 Examveda.com
 
 
 
 
 
 
 
 
 
 About Us |
 Terms & Condition |
 Privacy Policy |
 Contact Us",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/,
Operating Systems,Operating System (Examveda),Which of the following is an example of a real time operating system?,Lynx,MS DOS,Windows XP,Process Control,D,"A real-time operating system (RTOS) is an operating system (OS) intended to serve real-time applications that process data as it comes in, typically without buffer delays. Processing time requirements (including any OS delay) are measured in tenths of seconds or shorter increments of time.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),Which of the following operating system does not implement the multitasking truly?,Windows 98,Windows NT,Windows XP,MS DOS,D,"Multitasking, in an operating system, is allowing a user to perform more than one computer task (such as the operation of an application program) at a time. The operating system is able to keep track of where you are in these tasks and go from one to the other without losing information. 
MS DOS does not implement the multitasking.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),Which of the following windows version support 64 bit processor?,Windows 98,Windows 2000,Windows XP,Windows 95,C,"Microsoft Windows XP Professional x64 Edition, released on 25th April 2005, is an edition of Windows XP for x86-64 personal computers. It is designed to use the expanded 64 bit memory address space provided by the x86-64 architecture. 
The primary benefit of moving to 64 bit is the increase in the maximum allocatable random-access memory (RAM).",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),What program runs first after computer is booted and loading GUI?,Desktop Manager,File Manager,Windows Explorer,Authentication,D,It is the mechanism of associating an incoming request with a set of identifying credentials. The credentials provided are compared to those on a file in a database of the authorized user's information on a local operating system or within an authentication server.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),Which of the following operating system do you choose to implement a client server network?,MS DOS,Windows,Windows 98,Windows 2000,D,"Windows 2000 is a major release of the Windows NT operating system developed by Microsoft and oriented towards businesses. It was the direct successor to Windows NT 4.0, and was released to manufacturing on 15th December 1999, and was officially released to retail on 17th February 2000.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),Which of the following Operating systems is better for implementing a Client-Server network,MS DOS,Windows 95,Windows 98,Windows 2000,D,It is the main hub for configuring Windows 2000 network services. Windows 2000 is a major release of the Windows NT operating system developed by Microsoft and oriented towards businesses.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),My Computer was introduced from,Windows 3.1,Windows 3.11,Windows 95,Windows 98,C,My Computer is a Microsoft Windows feature first found in Windows 95 and included with all later versions that allows you to explore and manage the contents of your computer drives.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),Which of the following Windows do not have Start button,Windows Vista,Windows 7,Windows 8,None of above,C,"Windows 8 drew criticism from a lot of PC users for Microsoft's decision in removing the Start button. With no option to bring it back, users are forced to bring up the new Start screen by pressing the Windows key on your keyboard or by clicking the bottom left corner of your screen.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),Which is the latest version of MS Windows?,Windows 2007,Windows 7,Windows 11,Windows 10,C,"Still, numbers for server use of Windows (that are comparable to competitors) show one third market share, similar to that for end user use. As of October 2021, the most recent version of Windows for PCs and tablets is Windows 11, version 21H2. The most recent version for embedded devices is Windows 10, version 21H1.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),Which operating system doesn't support networking between computers?,Windows 3.1,Windows 95,Windows 2000,Windows NT,A,"Windows 3.1 is the GUI-based operating system from Microsoft that made personal computers easier and more fun to use. In 1992, Microsoft released Windows 3.1, which included additional enhancements and utilities. 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 
1
2
3
4
5
6
7
8
9
10

 
 
 
 
 
 
 
 
 Read More Section(Operating System)
 Each Section contains maximum 100 MCQs question on Operating System. To get more questions visit other sections.
 
 Operating System - Section 2
 Operating System - Section 3
 Operating System - Section 4
 Operating System - Section 5
 Operating System - Section 6
 
 


 
 
 
 

 
 

 -->
 
 
 


 

-->
 
 
 Copyright © 2026 Examveda.com
 
 
 
 
 
 
 
 
 
 About Us |
 Terms & Condition |
 Privacy Policy |
 Contact Us",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=2,
Operating Systems,Operating System (Examveda),Which of the following does not support more than one program at a time?,DOS,Linux,Windows,Unix,A,DOS is a family of disk operating systems. DOS primarily consists of MS-DOS and a rebranded. Only one program at a time can use them and DOS itself has no functionality to allow more than one program to execute at a time.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),Which of the following is not an operating system?,DOS,Linux,Windows,Oracle,D,Oracle database (Oracle DB) is a relational database management system (RDBMS) from the Oracle Corporation.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),Linux is a(n) ....... operating system,Open source,Microsoft,Windows,Mac,A,"Linux is a family of free and open-source software operating systems built around the Linux kernel. Typically, Linux is packaged in a form known as a Linux distribution for both desktop and server use.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),Which operating system can you give smallest file name?,Ps/2,Dos,Windows,Windows NT,B,"DOS (Disk Operating System) is an operating system that runs from a hard disk drive. The term can also refer to a particular family of disk operating systems, most commonly MS-DOS (Microsoft Disk Operating System).",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),Which one is not operating system?,P11,OS/2,Windows,Unix,A,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Early computers were built to perform a series of single tasks, like a calculator. Basic operating system features were developed in the 1950s, such as resident monitor functions that could automatically run different programs in succession to speed up processing.",medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
Operating Systems,Operating System (Examveda),Which of the following is not a multitasking operating system?,Windows,Linux,Win NT,DOS,D,DOS is not a multitasking operating system. DOS did however provide a Terminate and Stay Resident (TSR) function which allowed programs to remain resident in memory.,medium,web:Examveda.com https://www.examveda.com/computer-fundamentals/practice-mcq-question-on-operating-system/?page=3,
