subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,The primary approach used by the Merge Sort algorithm is ____.,Dynamic programming,Greedy approach,Divide-and-conquer,Backtracking,C,"Merge Sort follows the divide-and-conquer approach.
Divide-and-conquer - This approach divides the array into smaller subarrays, sorts each subarray, and then merges them back together.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,What is the best-case time complexity of the Merge Sort algorithm?,O(n),O(n log n),O(n^2),O(log n),B,"Merge Sort has a best-case time complexity of O(n log n), the same as its average and worst-case complexities.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,Which of the following is a disadvantage of the Merge Sort algorithm?,It is not stable.,It has a worst-case time complexity of O(n^2).,It is not an in-place sorting algorithm.,It cannot handle large datasets.,C,"Merge Sort requires additional memory to store the merged subarrays. So, it is not an in-place sorting algorithm.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,What is the space complexity of Merge Sort?,O(1),O(log n),O(n),O(n^2),C,"Merge Sort requires additional space proportional to the size of the array being sorted, leading to a space complexity of O(n).",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,Which of the following is a real-world application of Merge Sort?,Prim's algorithm,Sorting large datasets,Depth-first search,None of the above,B,Merge Sort is particularly useful for sorting large datasets.,medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,What type of graph edges does Dijkstra's Algorithm not handle correctly?,Parallel edges,Negative weights,Zero-weight edges,All of the above,C,"Dijkstra's Algorithm fails with graphs with negative weight edges because it assumes that once a node's shortest path is found, it cannot be improved, which is not true in the presence of negative weights.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,The data structure primarily used to implement Dijkstra's Algorithm is ____.,Stack,ArrayList,Priority Queue,Linked List,C,A Priority Queue efficiently extracts the minimum distance vertex and updates the shortest paths in Dijkstra's Algorithm.,medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,The best-case time complexity of Dijkstra's Algorithm is ______.,O(V^2),O(E + V),O(V + E log V),O(E log V),D,"When using an adjacency list along with a priority queue, the time complexity of Dijkstra's Algorithm is O (E log V), where:
E is the number of edges
V is the number of vertices.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,One of the best applications of Dijkstra's Algorithm is_____.,Google Maps,Predicting weather patterns,Sorting a list of numbers,None of the above,A,Dijkstra's algorithm finds shortest paths in Google Maps.,medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,Which of the following problems cannot be solved using Dijkstra's Algorithm?,Shortest path in a city map,Optimal network routing,Handling graphs with negative weight cycles,Efficient airline route planning,C,Dijkstra's Algorithm does not work correctly with graphs with negative weight cycles.,medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,What is the primary goal of Kruskal's Algorithm?,To find the shortest path between two vertices,To find the minimum spanning tree for a connected weighted graph,To sort all edges of a graph in descending order,To traverse a graph using a depth-first search,B,"Kruskal's Algorithm is designed to find a subset of the edges that form a tree including every vertex, where the total weight of all the edges in the tree is minimised.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,"In Kruskal's algorithm, first sort all graph edges in increasing order.",True,False,Can't say anything,Your choice,A,"In Kruskal's algo, the first step is sorting all the edges of the graph in increasing order.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,The time complexity of Kruskalâ€™s algorithm is ____.,O (E log E),O (V log V),O (VE),None of the above,A,"The time complexity of Kruskalâ€™s algorithm is O (E log E) , where E stands for edges.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,Kruskal algorithm is considered a _____.,Greedy algorithm,Brute force approach,Two-pointer approach,None of the above,A,Kruskal's Algorithm is considered a greedy algorithm because it makes decisions at each step based on the immediate best choice without considering the global optimal solution.,medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,What happens if adding an edge creates a cycle in the spanning tree?,The edge is added to the spanning tree,The algorithm restarts,The edge is discarded,The edge's weight is increased,C,"If an edge creates a cycle in the spanning tree, it is discarded to ensure the tree remains acyclic.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,Which data structure is primarily used in Breadth-First Search (BFS) to keep track of the vertices to be visited?,Stack,Queue,Priority Queue,Linked List,B,BFS uses a queue data structure to maintain the order in which nodes are to be visited.,medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,What is the time complexity of Breadth-First Search (BFS) in a graph with ð‘‰V vertices and EE edges?,O(V^2),O(E + V),O(V + E),O(E * V),C,The time complexity of BFS is O(V + E) because it visits each vertex and each edge once.,medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,"In BFS, what condition indicates the presence of a cycle in an undirected graph?",If a node is visited twice during traversal.,If the graph is connected.,If the graph has more edges than vertices.,If a node has no adjacent nodes.,A,"In an undirected graph, if BFS encounters a node that has already been visited (and it is not the immediate parent node), it indicates the presence of a cycle.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,Fill in the blank: BFS is particularly useful for finding the ____ in an unweighted graph.,Shortest path,Longest path,Minimal spanning tree,Maximum flow,A,"BFS is used to find the shortest path in an unweighted graph because it explores all nodes at the present ""depth"" level before moving on to nodes at the next depth level.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,Which of the following is NOT an application of Breadth-First Search (BFS)?,Shortest path finding in an unweighted graph,Topological sorting in a directed acyclic graph,Level order traversal of a binary tree,Finding the minimum spanning tree,D,BFS is not used to find the minimum spanning tree. Algorithms like Kruskal's and Prim's are used for finding the minimum spanning tree.,medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,What is the time complexity of the Karatsuba algorithm for multiplying two binary strings?,O(n^2),O(n^1.59),O(n log n),O(n),B,"The Karatsuba algorithm uses divide-and-conquer to reduce the number of required multiplications, leading to an O time complexity (n^1.59).",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,"True or False: The Karatsuba algorithm can be applied to any numerical base, not just binary.",True,False,Can't say,None,A,"The Karatsuba algorithm is a general multiplication technique that can be applied to numbers in any base, though it's often demonstrated with binary numbers.",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
Algorithms & Complexity,Algorithms MCQs with Answers and Explanations,The classical method of binary multiplication has a time complexity of ____.,O(n log n),O(n^2),O(n),O(n^1.59),B,"The classical method of binary multiplication involves iterating through each bit of the second number and performing shifts and additions, so a time complexity of O(n^2).",medium,web:Includehelp.com https://www.includehelp.com/mcq/algorithms-multiple-choice-questions.aspx,
