subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,basic php,"What does PHP stand for? 
1. Personal Home Page 
2. Hypertext Preprocessor 
3. Pretext Hypertext Processor 
4. Preprocessor Home Page",Both 1 and 3,Both 2 and 4,Only 2,Both 1 and 2,D,PHP previously stood for Personal Home Page now stands for Hypertext Preprocessor.,medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,PHP files have a default file extension of_______.,.html,.xml,.php,.ph,C,,medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,"Which of the following is/are a PHP code editor? 
1. Notepad 
2. Notepad++ 
3. Adobe Dreamweaver 
4. PDT",Only 4,All of the mentioned,"1, 2 and 3",Only 3,B,Any of the above editors can be used to type php code and run it.,medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,"Which of the following must be installed on your computer so as to run PHP script? 
1. Adobe Dreamweaver 
2. PHP 
3. Apache 
4. IIS",All of the mentioned.,Only 2,2 and 3,"2, 3 and 4",D,"To run PHP code you need to have PHP and a web server, both IIS and Apache are web servers.You can choose either one according to your platform.",medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,Which version of PHP introduced Try/catch Exception?,PHP 4,PHP 5,PHP 5.3,PHP 6,B,Version 5 added support for Exception Handling.,medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,"We can use _________ to comment a single line? 
1. /? 
2. // 
3. # 
4. /* */",Only 2,"1, 3 and 4","2, 3 and 4",Both 2 and 4,C,/* */ can also be use to comment just a single line although it is used for paragraphs. // and # are used only for single line comment.,medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,"Which of the following php statement/statements will store 111 in variable num? 
1. int $num = 111; 
2. int mum = 111; 
3. $num = 111; 
4. 111 = $num;",Both 1 and 2,All of the mentioned,Only 3,Only 1,C,You need not specify the datatype in php.,medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,"What will be the output of the following php code?

<?php
$num = 1;
$num1 = 2;
print $num . ""+"". $num1;
?>",3,1+2,1.+.2,Error,B,.(dot) is used to combine two parts of the statement. Example ( $num . “Hello World” ) will output 1Hello World.,medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,"What will be the output of the following php code?

<?php
$num = ""1"";
$num1 = ""2"";
print $num+$num1;
?>",3,1+2,Error,12,A,"The numbers inside the double quotes are considered as integers and not string, therefore the value 3 is printed and not 1+2.",medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
Web Technologies & Internet / PHP,basic php,"Which of following variables can be assigned a value to it? 
1. $3hello 
2. $_hello 
3. $this 
4. $This",All of the mentioned,Only 2,"2, 3 and 4",2 and 4,D,"A variable can’t start with a number. Also $this is a special variable that can’t be assigned, but $This can be assigned. 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 1
2
3
4
5
6

 
 
 
 
 
 
 
 
 
 

 
 

 -->
 
 
 


 

-->
 
 
 Copyright © 2026 Examveda.com
 
 
 
 
 
 
 
 
 
 About Us |
 Terms & Condition |
 Privacy Policy |
 Contact Us",medium,web:Examveda.com https://www.examveda.com/php/practice-mcq-question-on-basic-php/,
