subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
DBMS & SQL,Keys,Which statement about keys in the relational model is TRUE?,A primary key can contain NULL values,A candidate key is a minimal super key,A foreign key must be unique,A super key must be minimal,B,Candidate keys are minimal super keys (no proper subset is a key). Primary keys cannot be NULL; foreign keys may repeat and may reference non-unique sets only when referencing a key.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),keys;candidate key;super key;primary key
DBMS & SQL,ER model,"In an ER diagram, a 'weak entity' is one that:",Has no attributes,Cannot be uniquely identified by its own attributes alone and depends on an identifying owner entity,Is never related to any other entity,Contains only composite attributes,B,"A weak entity has no full key of its own; it is identified through a partial key combined with its owner (strong) entity, and is drawn with a double rectangle.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),ER model;weak entity;double rectangle
DBMS & SQL,Normalization,A relation is in BCNF if and only if:,It is in 3NF and has no transitive dependencies,"For every non-trivial functional dependency X -> A, X is a super key",Every attribute is atomic and all keys are single,It contains no foreign keys,B,BCNF tightens 3NF: every non-trivial functional dependency must have a super key on its left-hand side. 3NF additionally allows dependencies where the determinant is not a key.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),BCNF;functional dependency;normalization
DBMS & SQL,Functional dependency,"Given FDs: A -> B and B -> C, which closure conclusions are valid?",A -> C (transitivity),C -> A,B -> A,AC -> B is invalid,A,"By transitivity, if A -> B and B -> C then A -> C. The other arrows do not follow from the given dependencies.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),functional dependency;transitivity;closure
DBMS & SQL,SQL DDL,Which SQL clause is used to remove the entire structure of a table including its definition and data?,DELETE FROM table,DROP TABLE table,TRUNCATE TABLE table,REMOVE TABLE table,B,"DROP TABLE removes both the schema and data (DDL). DELETE removes rows (DML), TRUNCATE removes all rows but keeps the table structure.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),SQL;DDL;DROP
DBMS & SQL,SQL grouping,"SELECT dept, COUNT(*) FROM emp GROUP BY dept HAVING COUNT(*) > 5; What does HAVING do here?",Filters rows before grouping,Filters groups after grouping by aggregate value,Sorts the groups by count,Joins the departments,B,HAVING filters groups (rows already aggregated by GROUP BY); WHERE filters individual rows before grouping. Only departments with more than 5 employees appear.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),SQL;GROUP BY;HAVING;aggregates
DBMS & SQL,SQL joins,Tables A(2 rows) and B(3 rows) are joined with a CROSS JOIN. How many rows does the result contain?,2,3,5,6,D,A CROSS JOIN (Cartesian product) pairs every row of A with every row of B: 2 x 3 = 6 rows.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),SQL;cross join;cartesian product
DBMS & SQL,SQL joins,An employee table (20 rows) is joined to itself using a self-join on manager_id = emp_id. What does a self-join compute here?,Pairs of employees who are managers of each other,Each employee together with his/her manager's row,All possible employee pairs,A Cartesian product of the table with itself only,B,"A self join treats the table as two copies and matches employees to their manager, e.g. E.manager_id = M.emp_id. It is a normal join, not a cross product.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),SQL;self join
DBMS & SQL,SQL subqueries,Which comparison operator is correct to test whether a value is present in the result of a subquery returning multiple rows?,= (equals),IN,LIKE,IS NULL,B,IN tests membership against a multi-row subquery. '=' expects a single value; LIKE is for patterns; IS NULL tests nullability.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),SQL;subquery;IN
DBMS & SQL,SQL output,"Table T has column s with values 'C', 'A', 'B', 'A'.
SELECT DISTINCT s FROM T ORDER BY s DESC; What rows are returned?","C, B, A","A, B, C","C, A, B, A","B, A, C",A,"DISTINCT removes duplicates (only one A), and ORDER BY ... DESC sorts descending: C, B, A.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),SQL;output;DISTINCT;ORDER BY
DBMS & SQL,SQL aggregates,"SELECT AVG(salary) FROM emp; If the salary column contains one NULL, what does AVG return?",NULL,Average ignoring the NULL row,0,An error,B,"Aggregate functions like AVG, SUM, MIN, MAX ignore NULL values. COUNT(*) counts rows but COUNT(col) ignores NULLs too.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),SQL;aggregates;NULL
DBMS & SQL,Transactions / ACID,Which ACID property ensures that a transaction is either fully executed or not at all (no partial effects)?,Atomicity,Consistency,Isolation,Durability,A,"Atomicity = all-or-nothing. Consistency keeps valid state, isolation separates concurrent transactions, durability makes committed changes permanent.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),ACID;atomicity;transaction
DBMS & SQL,Transactions,Two transactions read the same value and then each add 10 and write it back. The lost update problem occurs because:,The transactions are too long,A read-write interleaving lets one transaction overwrite the other's update without locking,The database cannot store two values,Logs were disabled,B,"Without locking, T1's write can overwrite T2's write, losing one update. Proper locking or serializable isolation prevents this.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),transaction;concurrency;lost update
DBMS & SQL,Concurrency control,"In 2PL (two-phase locking), a transaction:",Acquires locks only after releasing any,Has a growing phase (only acquire locks) followed by a shrinking phase (only release locks),Never releases locks,Uses only shared locks,B,Strict/two-phase locking separates lock acquisition from release. This ensures conflict-serializable schedules and helps avoid deadlock only if combined with ordering policies.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),concurrency;2PL;locking
DBMS & SQL,Isolation phenomena,"A transaction reads a row, another transaction updates and commits that row, and the first transaction reads it again getting a different value. Which anomaly is this?",Dirty read,Non-repeatable read,Phantom read,Lost update,B,Non-repeatable read: the same row read twice within one transaction returns different committed values. Phantom read involves new rows appearing in a range.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),isolation;non-repeatable read;anomaly
