subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Organization & Architecture,List of Computer Organization and Architecture,The ____ unit is often known as the computer system's nerve center.,Input unit,Output unit,Arithmetic and logic unit,Control unit,D,The control unit is often known as the computer system's nerve center.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,Which of the following register keeps track of how instructions are being executed?,Instruction registers,Memory address registers,Program counter register,Memory and memory data register,C,The Programme counter keeps track of how instructions are being executed.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,Which of the following register is used to store the currently executed instruction?,Instruction registers,Memory address registers,Program counter register,Memory and memory data register,A,The instruction register IR is used to store the currently executed instruction.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,How many types are there of instructions code?,2,3,4,5,B,"A simple computer has three types of instruction code formats:
 Memory - command for referencing
 Register - instruction for referencing
 Instruction for Input-Output",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,The control unit is specified into how many categories?,2,3,4,5,A,"The Control Unit is divided into two categories:
 Hardwired Control
 Microprogrammed Control",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,How many types of basic logic gates are there?,6,8,7,10,C,"The seven basic logic gates include: AND, OR, XOR, NOT, NAND, NOR, and XNOR.",medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,The ____ gate is a type of electrical circuit that produces a high output if all of its inputs are high.,OR,XOR,NAND,AND,D,The AND gate is a type of electrical circuit that produces a high output if all of its inputs are high.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,How do we represent AND operation?,Dot (.),Multiply (*),Plus (+),Minus (-),A,A dot (.) symbol represents the AND operation.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,A ____ sign represents the operation performed by an OR gate.,Dot (.),Multiply (*),Plus (+),Minus (-),C,A plus (+) sign represents the operation performed by an OR gate.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
Computer Organization & Architecture,List of Computer Organization and Architecture,Which of the following gate is also known as an inverter?,NOR,XOR,NAND,NOT,D,The NOT gate is an electrical circuit that outputs an inverted version of the input. It is additionally referred to as an inverter.,medium,web:Includehelp.com https://www.includehelp.com/mcq/computer-organization-and-architecture-mcqs.aspx,
