subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Programming in C,Data types / sizeof,"In standard C, which statement about sizeof(char) is always TRUE?",It is exactly 1 byte by definition,It is always 8 bits,It is always equal to sizeof(int),It is 2 bytes on 32-bit systems,A,The C standard defines sizeof(char) as exactly 1 (the size of a byte). The number of bits in a byte is not guaranteed by the standard (CHAR_BIT is usually 8).,easy,PGIMER CP-047 prep bank - original practice (Batch 1),sizeof;char;data types
Programming in C,Operators / precedence,"Given int a = 10, b = 3; what does printf(""%d"", a - a / b * b); print?",1,0,3,9,A,"a / b is integer division = 3, then 3 * b = 9, and finally 10 - 9 = 1. *, / have higher precedence than - and bind left to right.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),operators;integer division;precedence;output
Programming in C,Control flow / switch,"What is printed by the following code?
int i = 2, s = 0;
switch (i) { case 1: s += 1; case 2: s += 2; case 3: s += 3; break; default: s += 5; }
printf(""%d"", s);",2,3,5,6,C,"i = 2 enters case 2 (s = 2). Because case 2 has no break, control falls through into case 3 giving s = 5, where the break stops further execution.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),switch;fall through;break;control flow;output
Programming in C,Functions / recursion,"What does the call f(5) return given:
int f(int n) { return (n <= 1) ? 1 : n * f(n - 1); }",15,24,120,720,C,The function computes n! (factorial): f(5) = 5 * f(4) = 5 * 4 * f(3) ... = 5*4*3*2*1 = 120.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),functions;recursion;factorial
Programming in C,Strings,"char str[] = ""Exam""; What value does sizeof(str) give (in bytes)?",4,5,6,Compile error,B,"sizeof(str) includes the terminating null character: 'E','x','a','m','\0' = 5 bytes. strlen(str) would give 4.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),strings;sizeof;null terminator
Programming in C,Pointers / pointer arithmetic,"int arr[] = {10, 20, 30, 40}; int *p = arr + 2; printf(""%d"", *p); What is printed?",20,30,40,Address of arr[2],B,p points to arr[2] because pointer arithmetic advances by element size; *p dereferences to the value 30.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),pointers;pointer arithmetic;arrays
Programming in C,Arrays / decay to pointer,"On a 64-bit machine, what does the following print?
void fun(int a[]) { printf(""%zu"", sizeof(a)); }
int main(void) { int arr[5]; fun(arr); return 0; }",5,20,8,40,C,"In a function parameter, int a[] adjusts to int *a. sizeof(a) is therefore the size of a pointer, which is 8 bytes on a 64-bit system.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),arrays;array to pointer decay;sizeof;function parameter
Programming in C,Dynamic memory,Which function allocates memory and initializes every byte to zero?,malloc,calloc,realloc,alloca,B,"calloc(n, size) allocates n*size bytes and zero-initializes them. malloc leaves the memory uninitialized.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),memory allocation;calloc;malloc
Programming in C,Structures and unions,"union U { char c; int i; double d; }; On a typical 64-bit compiler, what is sizeof(union U)?",1,4,8,13,C,"All members of a union share the same storage. The union is at least as large as its largest member (double = 8 bytes), so sizeof is 8.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),union;struct vs union;memory layout
Programming in C,Storage classes / static,int count(void) { static int c = 0; return ++c; } What is returned by the first call to count()?,0,1,Garbage value,Compile error,B,A static local is initialized once before program start and retains its value between calls. The first call increments c from 0 to 1 and returns 1.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),storage classes;static;lifetime
Programming in C,Preprocessor / macros,"#define SQR(x) x * x
What does printf(""%d"", SQR(3 + 2)); print?",11,25,13,17,A,"Macros substitute text literally: 3 + 2 * 3 + 2. Multiplication binds first, so it evaluates as 3 + 6 + 2 = 11. Parenthesize macro parameters as ((x)*(x)).",medium,PGIMER CP-047 prep bank - original practice (Batch 1),preprocessor;macros;output
Programming in C,File handling,Which mode string opens a file for reading in binary mode?,r,rb,r+,w,B,"""rb"" opens an existing file for binary reading. ""r"" is text mode, ""w"" truncates/creates for writing, and ""r+"" opens for reading and writing.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),file handling;fopen;modes
Programming in C,Bit manipulation,Which expression sets bit number 3 of integer variable flags to 1 without affecting the other bits?,flags = flags | 8;,flags = flags | (1 << 3);,flags = flags & (1 << 3);,flags = flags ^ (1 << 3);,B,"(1 << 3) is binary 1000 (value 8). OR-ing sets bit 3 to 1. AND would clear/keep only bit 3, and XOR toggles it.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),bitwise;masks;set bit
