subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Networks,networking miscellaneous,Protocols are,Agreements on how communication components and DTE,Logical communication channels used for transferri,Physical communication channels used for transferr,None of the above,A,,medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,"The method of communication in which transmission takes place in both directions, but only one direction at a time is called",Simplex,Four wire circuit,Full Duplex,Half Duplex,D,"A. Simplex: 
Simplex communication is a method of communication where transmission occurs in only one direction. It does not support two-way communication. 
B. Four wire circuit: 
A four-wire circuit refers to a communication channel that uses separate wires for transmission and reception, allowing for simultaneous two-way communication. However, this option does not describe the scenario where only one direction is allowed at a time. 
C. Full Duplex: 
Full duplex communication is a method where transmission can occur simultaneously in both directions. It allows for two-way communication simultaneously, which is not the case in the given scenario. 
D. Half Duplex: 
Half duplex communication is the correct answer. In this method, transmission can take place in both directions, but only one direction can occur at a time. The communication switches between the two directions, allowing commu",medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,Error detection at the data link level is achieved by,Bit Stuffing,Cyclic Redundancy Code,Hamming Code,Equalization,B,,medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,Which of the following is a wrong example of network layer?,Internet Protocol (IP) - ARPANET,X.25 Packet Level Protocol (PLP)-ISO,Source routing and domain naming-USENet,X.25 level 2-ISO,D,,medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,The topology with highest reliability is:,Bus topology,Star topology,Ring topology,Mesh topology,D,"Mess Topology is a network setup where each computer and network device is interconnected with one another, allowing for most transmissions to be distributed, even if one of the connections go down. This topology is not commonly used for most computer networks as it is difficult and expensive to have redundant connection to every computer. However, this topology is commonly used for wireless networks.",medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,"""BAUD"" rate means",The number of bits transmitted per unit time.,The number of bytes transmitted per unit time.,The rate at which the signal changes.,None of the above,C,,medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,Start and stop bits are used in serial communication for,Error detection,Error correction,Synchronization,Slowing down the communication,C,,medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,Unmodulated signal coming from a transmitter is know as,Carrier signal,Baseband signal,Primary signal,None of these,B,,medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,"How many Character per sec(7bits + 1parity) can be transmitted over a 2400 bps line if the transfer is synchronous (1 ""Start"" and 1 ""stop"" bit)?",300,240,250,275,A,"Start and stop bits are not needed in synchronous transfer of data. So, it is 2400/8=300.",medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
Computer Networks,networking miscellaneous,Which one of the following network uses dynamic or adaptive routing?,TYMNET,ARPANET,SNA(IBM's System Network Architechture),None of these,B,,medium,web:Examveda.com https://www.examveda.com/networking/practice-mcq-question-on-networking-miscellaneous/,
