subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Software Engineering,SDLC models,Which software process model handles changing requirements best through short iterative cycles with customer feedback?,Agile (e.g. Scrum),Pure Waterfall,Big-bang model,None of these,A,"Agile emphasizes small increments, continuous feedback and adaptation. Waterfall is rigid and linear.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),SDLC;agile;waterfall
Software Engineering,Waterfall model,A key drawback of the classical Waterfall model is that:,"Testing starts only after implementation, making late defect discovery costly",It encourages constant requirement changes,It has no documentation phases,It cannot handle large teams,A,"Waterfall is sequential: requirement -> design -> coding -> testing. Requirements are frozen early, so feedback comes late and rework is expensive.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),waterfall;SDLC;limitation
Software Engineering,Requirements,Which of these is a NON-functional requirement?,The system must respond to a search in under 2 seconds,The system must let users register with email and password,The system must store each order with its items,The admin must be able to delete a user,A,"Non-functional requirements specify quality attributes such as performance, security, usability and reliability. Functional ones describe behaviour/features.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),requirements;non-functional;performance
Software Engineering,SRS,What does SRS stand for in software engineering?,Software Requirements Specification,System Registry Service,Software Release Schedule,Source Reference Standard,A,"The SRS document defines the functional and non-functional requirements, constraints and interfaces that the software must satisfy.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),SRS;documentation;requirements
Software Engineering,Design principles,Information hiding in software design means:,Hiding internal implementation details behind a stable interface,Hiding the code from testers,Encrypting source files,Using only private classes,A,"Information hiding (Parnas) encapsulates volatile implementation details so changes affect only the module's internals, reducing ripple effects.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),design;information hiding;modularity
Software Engineering,Coupling and cohesion,Which combination is generally considered the best design goal?,Low coupling and high cohesion,High coupling and low cohesion,High coupling and high cohesion,Low coupling and low cohesion,A,"Low coupling keeps modules independent (easy change); high cohesion keeps related responsibilities together (understandable, reusable modules).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),coupling;cohesion;design
Software Engineering,Testing levels,Which testing level verifies that individual modules/functions work correctly in isolation?,Unit testing,Integration testing,System testing,Acceptance testing,A,Unit tests target single units (function/class). Integration testing checks interfaces between units; system testing checks the whole product.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),testing;unit testing;levels
Software Engineering,Black box vs white box,Equivalence partitioning and boundary value analysis belong to which testing category?,Black-box (functional) testing,White-box testing,Only performance testing,Debugging,A,Black-box techniques derive test cases from the specification without viewing internal code. White-box uses internal structure/paths.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),testing;black box;equivalence partitioning
Software Engineering,Verification vs validation,"'Are we building the product right?' describes verification, while 'Are we building the right product?' describes:",Validation,Regression testing,Debugging,Refactoring,A,Verification checks conformance to specification/design; validation checks that the product meets real user needs.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),verification;validation;definitions
Software Engineering,Testing vs debugging,The key difference between testing and debugging is:,Testing finds defects; debugging locates and fixes the root cause of a known defect,They are identical,Debugging happens before coding,Testing repairs code,A,Testing reveals the presence of faults (failure detection). Debugging is the diagnostic process of isolating and correcting the cause.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),testing;debugging;difference
Software Engineering,Maintenance,Adding a new feature to existing software (per new requirements) is which type of maintenance?,Perfective maintenance,Corrective maintenance,Adaptive maintenance,Preventive maintenance,A,Perfective maintenance improves/extends functionality per new or changed needs. Corrective fixes defects; adaptive copes with environment changes; preventive avoids future faults.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),maintenance;perfective;types
Software Engineering,Configuration management,Version control tools (Git etc.) support which software engineering activity most directly?,Configuration / version management,Requirements elicitation only,Compilation,Load testing,A,"Configuration management tracks versions of code and documents, supports branching/merging, and records change history.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),configuration management;version control;git
Software Engineering,Scrum,"In Scrum, the person responsible for maximising product value and prioritising the backlog is the:",Product Owner,Scrum Master,Development Team only,QA manager,A,The Product Owner owns the product backlog and priorities. The Scrum Master facilitates the process; the team delivers increments.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),Scrum;product owner;agile
Software Engineering,Spiral model,The Spiral model is notable because it:,Explicitly addresses risk analysis in each iteration,Ignores prototyping,Never revisits earlier phases,Requires no requirements,A,"Each spiral loop covers planning, risk analysis, engineering and evaluation - risk management is its defining feature.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),spiral model;risk analysis
Software Engineering,Software characteristics,Software is said to be different from hardware because it is:,"Logical (developed/engineered), not manufactured; it does not wear out but deteriorates through change",Manufactured in factories,Physical and wears out,Identical in nature to hardware,A,"Software is engineered, not manufactured; it does not physically wear out, but successive changes can degrade it ('software entropy').",easy,PGIMER CP-047 prep bank - original practice (Batch 1),software characteristics;software crisis
Software Engineering,Design concepts,Which design concept lets one interface represent different implementations selected at runtime (runtime polymorphism in OO design)?,Polymorphism,Sequential cohesion only,Data dictionary,Black-box testing,A,"Polymorphism (interface inheritance) lets clients call the same interface while different subclasses supply behaviour, enabling extensible designs.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),design;polymorphism;OO
