subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Compiler & System Software,Compiler vs interpreter,The main difference between a compiler and an interpreter is that a compiler:,Translates the whole source program to machine code in one pass before execution,Executes source statements one by one without producing a standalone object file,Only checks syntax and does nothing else,Is used only for web pages,A,A compiler translates the entire program into machine code (object file) then executes it; an interpreter translates and executes line by line.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),compiler;interpreter;difference
Compiler & System Software,Compiler phases,Which is the correct order of the main phases of a compiler?,"Lexical analysis, syntax analysis, semantic analysis, intermediate code, optimization, code generation","Syntax, lexical, semantic, optimization, code generation","Semantic, lexical, syntax, code generation","Code generation, optimization, parsing, lexing",A,Standard phases: lexical (tokens) -> syntax (parse tree) -> semantic (type checks) -> intermediate code -> optimization -> target code.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),compiler phases;order;phases
Compiler & System Software,Lexical analysis,The output of the lexical analysis phase is a stream of:,Tokens,Parse trees,Assembly instructions,Optimized code,A,"The lexer groups characters into tokens (keywords, identifiers, operators, literals), discarding whitespace and comments.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),lexical analysis;tokens;lexer
Compiler & System Software,Parsing,The phase that checks whether tokens follow the grammar and builds a parse tree is:,Syntax analysis (parsing),Lexical analysis,Code optimization,Linking,A,The parser takes the token stream and the grammar to verify syntax and construct a parse tree.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),parsing;syntax analysis;parse tree
Compiler & System Software,Grammar basics,"A grammar G = (N, T, P, S) - what does P represent?",Production rules,Terminals,Non-terminals,Start symbol,A,"P is the set of production rules (rewriting rules). N are non-terminals, T terminals, S the start symbol.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),grammar;productions;formal language
Compiler & System Software,Top-down vs bottom-up,LL parsing is a top-down method that:,Starts from the start symbol and expands according to lookahead tokens,Reduces the input from right to left,Builds trees from leaves to root by shift-reduce,Only handles ambiguous grammars,A,"LL = Left-to-right scan, Leftmost derivation; it predicts expansions from the start symbol. LR/bottom-up parsing reduces input to the start symbol.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),parsing;LL;top-down
Compiler & System Software,Semantic analysis,Checking that a variable is declared before use and that types are compatible belongs to which phase?,Semantic analysis,Lexical analysis,Preprocessing,Loading,A,"Semantic analysis checks context-sensitive rules (declarations, type compatibility, scope) using the symbol table and type checking.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),semantic analysis;type checking;symbol table
Compiler & System Software,Symbol table,The primary purpose of the symbol table in a compiler is to:,"Store information about identifiers (names, types, scope, addresses)",Hold the parse tree only,Store the source text,Cache machine instructions,A,"The symbol table records each identifier's attributes, supporting declaration checks, type checking and code generation.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),symbol table;identifiers;compiler
Compiler & System Software,Code optimization,Which is an example of a local code optimization?,Constant folding (computing constant expressions at compile time),Adding comments,Renaming the file,Increasing the number of variables,A,"Constant folding, common subexpression elimination, dead code removal and strength reduction optimise generated code; folding evaluates x = 2*3 -> 6 at compile time.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),optimization;constant folding
Compiler & System Software,Assembler,An assembler translates:,Assembly/mnemonic code into machine code,High-level language to assembly only,Machine code to source code,Bytecode to HTML,A,"Assemblers convert mnemonics (MOV, ADD) and labels into executable machine instructions, producing object files for the linker.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),assembler;assembly language;machine code
Compiler & System Software,Linker and loader,The program that combines several object modules into one executable and resolves cross-module references is the:,Linker (linkage editor),Loader only,Preprocessor,Editor,A,"The linker merges object files, resolves symbols, and lays out the final executable; the loader then loads it into memory for execution.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),linker;loader;object modules
Compiler & System Software,Static vs dynamic linking,A key benefit of dynamic linking (shared libraries / DLLs) over static linking is:,Smaller executables and shared library updates without relinking every program,Faster always at compile time,No OS support needed,Eliminates the need for libraries,A,"Dynamic linking shares one library copy across programs, reducing disk/memory use, and allows library upgrades without rebuilding applications.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),linking;dynamic linking;shared libraries
Compiler & System Software,Macro processor,A macro processor operates on the source program to:,Replace macro calls with the corresponding macro body (expansion),Compile the whole program,Optimize registers,Link object files,A,"Macro expansion substitutes each macro invocation with its predefined body, typically before assembly/compilation.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),macro;expansion;preprocessor
Compiler & System Software,Intermediate representation,Three-address code is an example of:,Intermediate code representation,Final machine code,Token stream only,Debugging output,A,Three-address code (e.g. t1 = a + b) is a common intermediate representation that simplifies optimization and porting to new targets.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),intermediate code;three-address code
Compiler & System Software,Loaders,Relocation in a loader refers to:,Adjusting address-dependent parts of a program to load at the chosen memory address,Deleting unused code,Changing the program name,Optimizing loops,A,Relocating loaders modify absolute/relative addresses in the program image so it runs correctly at the address where it is actually loaded.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),loader;relocation;addressing
