subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Java,data types and variables,What is the maximum value that can be stored in a byte variable in Java?,127,255,32767,64,A,"In Java, the byte data type is a signed 8-bit integer type. Being signed means that it can represent both positive and negative values. The maximum value that can be stored in a byte variable is 127. 

The reason is that a byte variable uses 8 bits to represent numbers, and one of those bits is used to represent the sign (positive or negative). Therefore, the remaining 7 bits are available to represent the magnitude of the number.
 
In binary, with 7 bits, you can represent numbers from 0 to 127. The highest bit (leftmost bit) is used for sign, where 0 represents positive and 1 represents negative.
 
So, the maximum value for a byte variable in Java is 2^7 - 1, which equals 127.
 
Therefore, the correct answer is Option A: 127.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,Which data type is used to store a single character in Java?,char,string,letter,ch,A,"The correct answer is Option A: char.
 
In Java, the char data type is used to store a single character. It can hold any single Unicode character, including letters, digits, and special symbols.
 
Using char allows you to store individual characters like 'A', '7', '$', etc., whereas String (Option B) is used to store a sequence of characters (a string of characters).
 
Options C and D are not valid data types in Java.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,What is the default value of an int variable in Java if it's not explicitly initialized?,0,1,-1,Null,A,"The correct answer is Option A: 0. 
 
In Java, if an int variable is not explicitly initialized, it will be assigned the default value of 0. 
 
This default value is used when no initial value is provided for an integer variable. 
 
Option B, Option C, and Option D are not the default values for an uninitialized int variable in Java.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,Which of the following is not a valid identifier for a Java variable?,my_var,_myVar,3rdVar,$var,C,"The correct answer is Option C: 3rdVar. 
 
In Java, variable identifiers (names) must follow certain rules: 
 

 They can only start with a letter (A-Z or a-z), underscore (_), or dollar sign ($). 
 The subsequent characters can be letters, digits (0-9), underscores, or dollar signs. 
 They cannot be a Java keyword (reserved word). 
 

Option A (my_var), Option B (_myVar), and Option D ($var) all follow these rules and are valid variable identifiers. 
 
Option C (3rdVar) is not valid because it starts with a digit, which is not allowed for variable names in Java.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,Which data type is used to store floating-point numbers with single precision in Java?,float,double,decimal,real,A,"The correct answer is Option A: float. 
 
In Java, the float data type is used to store floating-point numbers with single precision. 
 
Here's the breakdown: 
 

 Option A: float - This is the correct data type for single-precision floating-point numbers in Java. 
 
 Option B: double - This data type is used for double-precision floating-point numbers, which can store numbers with greater precision compared to float. 
 
 Option C: decimal - There is no decimal data type in Java for floating-point numbers. 
 
 Option D: real - There is no real data type in Java for floating-point numbers. 
 

So, the correct choice for single-precision floating-point numbers in Java is float.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,"In Java, which data type is used to represent true or false values?",boolean,bit,logic,binary,A,"The correct answer is Option A: boolean. 
 
In Java, the boolean data type is used to represent true or false values. 
 
Here's the breakdown: 
 

 Option A: boolean - This is the correct data type for representing true or false values in Java. 
 
 Option B: bit - While bits are used in computer systems to represent binary values (0 or 1), there is no specific bit data type in Java for representing boolean values. 
 
 Option C: logic - There is no logic data type in Java for representing boolean values. 
 
 Option D: binary - This term refers to binary values, but it is not a data type used to represent boolean values in Java. 
 

So, the correct choice for representing true or false values in Java is boolean.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,What is the size of a long variable in Java?,4 bytes,8 bytes,2 bytes,16 bytes,B,"The correct answer is Option B: 8 bytes. 
 
In Java, a long variable is used to store large integer values, and it occupies 8 bytes of memory. 
 
Here's the breakdown: 
 

 Option A: 4 bytes - This size corresponds to the int data type in Java, not long. 
 
 Option B: 8 bytes - This is the correct size for a long variable in Java. 
 
 Option C: 2 bytes - This size corresponds to the short data type in Java, not long. 
 
 Option D: 16 bytes - There is no standard long data type that occupies 16 bytes in Java. 
 

So, the size of a long variable in Java is 8 bytes.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,Which of the following is a valid way to declare a constant in Java?,final int PI,const float PI,static double PI,final double PI,D,"The correct answer is Option D: final double PI. 
 
In Java, you can declare a constant using the final keyword followed by the data type and the variable name. 
 
Here's the breakdown: 
 

 Option A: final int PI - This is not a valid way to declare a constant because the data type of PI should be a floating-point type (e.g., double) for representing the mathematical constant π. Additionally, there should be an initializer for the constant. 

 Option B: const float PI - In Java, the const keyword is not used to declare constants. Use final instead. Also, the data type should be double for representing π with sufficient precision. 

 Option C: static double PI - While this declaration is valid, it does not indicate that PI is a constant. It declares a static variable that can be modified. To declare a constant, you should use the final keyword. 

 Option D: final double PI - This is the ",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,What is the range of values that can be stored in a short variable in Java?,-128 to 127,"-32,768 to 32,767","0 to 65,535","-1,000,000 to 1,000,000",B,"The correct answer is Option B: -32,768 to 32,767. 
 
In Java, a short variable is a 16-bit signed integer type, which means it can store values in the range of -32,768 to 32,767. 
 
Here's the breakdown: 
 

 Option A: -128 to 127 - This range corresponds to a byte data type, not a short. 
 
 Option B: -32,768 to 32,767 - This is the correct range for a short variable in Java. 
 
 Option C: 0 to 65,535 - This range corresponds to an unsigned short (also known as char) in Java. A regular short is signed and can have both positive and negative values. 
 
 Option D: -1,000,000 to 1,000,000 - This range exceeds the capacity of a short variable, which can only store values up to 32,767. 
 

So, the range of values that can be stored in a short variable in Java is -32,768 to 32,767.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,Which of the following is a primitive data type in Java?,String,Integer,Boolean,Char,D,"The correct answer is Option D: char. 
 
In Java, a primitive data type is a basic data type that is not an object. char is one of the primitive data types in Java, used to store a single character, such as 'A' or '5'. 
 
Here's the breakdown: 
 

 Option A: String - String is not a primitive data type in Java. It is a class for representing sequences of characters. 
 
 Option B: Integer - Integer is not a primitive data type, but int (lowercase) is a primitive data type used to store whole numbers. 
 
 Option C: Boolean - Boolean is not a primitive data type, but boolean (lowercase) is a primitive data type used to represent true or false values. 
 
 Option D: Char - This is the correct answer. char is a primitive data type in Java used to store a single character. 
 

So, the primitive data type in Java among the given options is char. 

 
 
 
 



 
 
 
 
 
 
 
 
 
 
 
 
 1
2
3
4
5
6
",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/,
Java,data types and variables,Which keyword is used to declare a variable that can hold a reference to an object of any class in Java?,object,class,var,generic,C,"The correct answer is Option C: var. 
 
In Java, the var keyword is used to declare a variable that can hold a reference to an object of any class without specifying the exact data type explicitly. It was introduced in Java 10 to support local type inference. 
 
Here's the breakdown: 
 

 Option A: object - There is no object keyword for declaring variables with generic reference types in Java. 
 
 Option B: class - The class keyword is used for defining and declaring classes in Java, not for declaring variables with generic reference types. 
 
 Option C: var - This is the correct answer. The var keyword is used for declaring variables with inferred types, allowing them to hold references to objects of any class. 
 
 Option D: generic - The term generic usually refers to generic types and classes in Java, but it is not a keyword used for declaring variables. 
 

So, the keyword used to d",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/?page=2,
Java,data types and variables,What is the default value of a boolean variable in Java if it's not explicitly initialized?,FALSE,TRUE,0,Null,A,"The correct answer is Option A: FALSE. 
 
In Java, the default value of a boolean variable is FALSE if it's not explicitly initialized. 
 
Here's the breakdown: 
 

 Option A: FALSE - This is the correct default value for an uninitialized boolean variable in Java. It represents a false boolean value. 
 
 Option B: TRUE - This is not the default value. The default value for a boolean is FALSE. 
 
 Option C: 0 - This is not the default value for a boolean in Java. 0 is typically used for integer values. 
 
 Option D: Null - Null is not a valid value for a boolean variable. Java boolean variables can only be true or false. 
 

So, the default value of a boolean variable in Java if it's not explicitly initialized is FALSE.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/?page=2,
Java,data types and variables,Which of the following is the correct way to declare a hexadecimal value in Java?,0x1A,#1A,1A,0b1A,A,"The correct answer is Option A: 0x1A. 
 
In Java, the correct way to declare a hexadecimal value is by using the prefix 0x followed by the hexadecimal digits. 
 
Here's the breakdown: 
 

 Option A: 0x1A - This is the correct way to declare a hexadecimal value in Java. The 0x prefix indicates that the following digits are in hexadecimal format. 
 
 Option B: #1A - This is not the correct way to declare a hexadecimal value in Java. Java uses 0x for hexadecimal notation, not #. 
 
 Option C: 1A - This is not a valid way to represent a hexadecimal value in Java. It lacks the 0x prefix. 
 
 Option D: 0b1A - This is not a valid hexadecimal representation in Java. The 0b prefix is used for binary representation, not hexadecimal. 
 

So, the correct way to declare a hexadecimal value in Java is 0x1A.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/?page=2,
Java,data types and variables,What is the minimum value that can be stored in a char variable in Java?,0,-128,-32768,'a',A,"The correct answer is Option A: 0. 
 
In Java, a char variable is a 16-bit unsigned data type that can represent Unicode characters. The minimum value that can be stored in a char variable is 0, which corresponds to the Unicode character with the code point of zero. 
 
Here's the breakdown: 
 

 Option A: 0 - This is the correct minimum value that can be stored in a char variable in Java. It represents the Unicode character with the code point of zero. 
 
 Option B: -128 - This value is not applicable to char variables in Java. It's more relevant to signed integer types. 
 
 Option C: -32768 - This value is not applicable to char variables. It's a range associated with short or int data types in Java. 
 
 Option D: 'a' - This represents the character 'a', not a numeric value, and it is not the minimum value that can be stored in a char variable. 
 

So, the correct minimum value that can",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/?page=2,
Java,data types and variables,"In Java, which data type is used to store numbers with decimal points?",double,int,float,decimal,A,"The correct answer is Option A: double. 
 
In Java, the double data type is used to store numbers with decimal points, such as real numbers or floating-point numbers. 
 
Here's the breakdown: 
 

 Option A: double - This is the correct data type for storing numbers with decimal points in Java. It provides a high level of precision for floating-point calculations. 
 
 Option B: int - The int data type is used for storing whole numbers (integers) without decimal points. It does not store decimal values. 
 
 Option C: float - The float data type is also used for storing numbers with decimal points, but it provides less precision compared to double. It is a single-precision floating-point type. 
 
 Option D: decimal - There is no decimal data type in standard Java. The term ""decimal"" is often associated with other programming languages, such as C#. 
 

So, in Java, the data type used to stor",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/?page=2,
Java,data types and variables,Which of the following is not a primitive data type in Java?,int,byte,char,string,D,"The correct answer is Option D: string. 
 
In Java, a primitive data type is a basic data type that represents a single value. The primitive data types in Java are int, byte, and char among the options provided. 
 
Here's the breakdown: 
 

 Option A: int - This is a primitive data type in Java used for representing whole numbers (integers). 
 
 Option B: byte - This is also a primitive data type in Java used for representing small integers. 
 
 Option C: char - This is a primitive data type in Java used for representing single characters. 
 
 Option D: string - This is not a primitive data type in Java. Instead, it is a class (String class) used to represent sequences of characters. String objects are not primitives because they are more complex and can have methods and properties. 
 

So, among the provided options, string is not a primitive data type in Java.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/?page=2,
Java,data types and variables,What is the default value of a double variable in Java if it's not explicitly initialized?,0,1,-1,Null,A,"The correct answer is Option A: 0. 
 
In Java, the default value of a double variable is 0.0 if it's not explicitly initialized. 
 
Here's the breakdown: 
 

 Option A: 0 - This is the correct default value for an uninitialized double variable in Java. It represents the numeric value zero. 
 
 Option B: 1 - This is not the default value for a double variable. The default is 0.0, not 1.0. 
 
 Option C: -1 - This is not the default value for a double variable. The default is 0.0, not -1.0. 
 
 Option D: Null - Null is not a valid value for a double variable. Java uses 0.0 as the default value for uninitialized double variables. 
 

So, the default value of a double variable in Java if it's not explicitly initialized is 0.0.",medium,web:Examveda.com https://www.examveda.com/java-program/practice-mcq-question-on-data-types-and-variables/?page=2,
