subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Networks,List of IPv6,IPv4 is ____ long.,16 bits,32 bits,4 bits,8 bits,B,"IPv4 supports about 4,294,967,296 (232) addresses and is 32 bits long.",medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,"In contrast to IPv4, IPv6 uses ____ times more bits to address a device on the Internet.",2,8,4,6,C,"In contrast to IPv4, IPv6 uses 4 times more bits to address a device on the Internet.",medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,IPv6 header is ____ as bigger than IPv4.,2,8,4,6,A,IPv6 header is only twice as bigger as IPv4.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,An IPv6 address is made of ____ bits.,238 bits,160 bits,138 bits,128 bits,D,An IPv6 address is made of 128 bits.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,An IPv6 address is made of 128 bits divided into eight ____-bits blocks.,4,6,12,16,D,An IPv6 address is made of 128 bits divided into eight 16-bit blocks.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,Every block of IPv6 is converted into 4-digit ____ numbers.,Binary,Octal,Hexadecimal,Decimal,C,Every block of IPv6 is converted into 4-digit hexadecimal numbers.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,"According to the rules of IPv6, If two or more blocks contain consecutive zeroes then ____.",We can omit them all and replace with single colon sign :,We can omit them all and replace with double colon sign ::,We can omit them all and replace with double dash sign --,We can omit them all and replace with double underscore sign __,B,"According to the rules of IPv6, If two or more blocks contain consecutive zeroes then we can omit them all and replace them with double colon sign ::",medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,IPv6 has how many different types of Unicast Address schemes?,2,4,5,3,D,There are three distinct Unicast Address Schemes in IPv6.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,The Global Routing Prefix's three most important bits are always set to ___.,000,001,111,110,B,The Global Routing Prefix's three most important bits are always set to 001.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,Link-Local address always starts with ____.,FE80,FE81,AE80,EE82,A,Link-Local address always starts with FE80.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,A ____ is a device that forwards data that is not specifically addressed to it.,Network,Link,Switch,Router,D,A router is a device that forwards data that is not specifically addressed to it.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,How many types of routing protocols are there?,2,3,4,5,A,"There exist two forms of routing protocols:
 Distance Vector Routing Protocol
 Link state routing Protocol",medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,Routing protocols are divided into how many categories?,5,4,3,2,D,"Routing protocols can be divided into two categories:
 Interior Routing Protocol
 Exterior Routing Protocol",medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,What is OSPFv3?,Open Shortest Path First version 3,Open Single Path First version 3,Open Solo Path First version 3,Open Straight Path First version 3,A,OSPFv3 stands for Open Shortest Path First version 3.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,ICMPv6 stands for ____.,Intranet Controller Model Protocol version 6,Internet Controller Message Protocol version 6,Internet Control Model Protocol version 6,Internet Control Message Protocol version 6,D,ICMPv6 stands for Internet Control Message Protocol version 6.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,ICMPv6 is used for which of the following reasons?,Diagnostic functions,Error and information message,statistical purposes,All of the above,D,"ICMPv6 protocol is used for diagnostic functions, error and information messages, and statistical purposes.",medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
Computer Networks,List of IPv6,What is DHCPv6?,Dynamic Host Conformation Protocol version 6,Deactivate Host Configuration Protocol version 6,Deactivate Host Conformation Protocol version 6,Dynamic Host Configuration Protocol version 6,D,DHCPv6 is a Dynamic Host Configuration Protocol version 6.,medium,web:Includehelp.com https://www.includehelp.com/mcq/ipv6-mcqs.aspx,
