subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,basic css,What is css stands for,Color Style Sheets,Cascade Sheets Style,Cascade Style Sheet,Cascading Style Sheets,D,CSS stands for Cascading Style Sheets.,medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/,
Web Technologies & Internet / PHP,basic css,In css what does h1 can be called as,Selector,Attribute,Value,Tag,A,,medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/,
Web Technologies & Internet / PHP,basic css,In css what does “color:red” can be called as,Selector,Rule,Declaration,None of the above,C,,medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/,
Web Technologies & Internet / PHP,basic css,Which of the following attributes is used to specify elements to bind style rules to?,id,class,tag,all of the mentioned,D,,medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/,
Web Technologies & Internet / PHP,basic css,"________ selectors, which are used to specify a rule to bind to a particular unique element",id,class,tag,both (B) and (C),A,,medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/,
Web Technologies & Internet / PHP,basic css,In css what does “font-size” can be called as,Selector,Rule,Property,Property-Name,D,,medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/,
Web Technologies & Internet / PHP,basic css,"_________ selectors, which are used to specify a group of elements",id,class,tag,both (B) and (C),B,,medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/,
Web Technologies & Internet / PHP,basic css,"__________ implementation that introduced text, list, box, margin, border, color, and background properties.",css,html,ajax,php,A,,medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/,
Web Technologies & Internet / PHP,basic css,Which of the following element is used by the filter property to blur the images?,opaque(),scatter(),blur(),all of the mentioned,C,"The filter property in CSS is used to apply various visual effects to an element, such as blurring an image. To blur an image, the blur() function is used in the filter property. Therefore, the correct answer is option C, ""blur()"". 

Let's understand the other options: 

 Option A, ""opaque()"", is not a valid function used with the filter property. It does not apply blurring effects. 
 Option B, ""scatter()"", is also not a valid function used with the filter property. It does not apply blurring effects either. 
 Option D, ""all of the mentioned,"" is incorrect because options A and B are not valid functions used for blurring images with the filter property. 

Therefore, the correct answer is option C, ""blur()"", as it is the function used by the filter property to blur images.",medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/?page=2,
Web Technologies & Internet / PHP,basic css,"Which of the following function adjust the brightness of an element’s color, for use by the filter property?",contrast(),dark(),light(),brightness(),D,"A value of 100% or decimal value of 1 leaves the image as is, while 0 produces black. Increasing the value from 1 or 100% brightens pixels from their original values.",medium,web:Examveda.com https://www.examveda.com/css/practice-mcq-question-on-basic-css/?page=2,
