subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Linux/Unix & Troubleshooting,Filesystem hierarchy,"In a typical Linux system, which directory contains essential system binaries like ls, cp and mv?",/bin,/home,/tmp,/var,A,"/bin (and modern merged /usr/bin) holds essential user binaries. /home holds user files, /tmp temporary files, /var variable data like logs.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),filesystem;/bin;directories
Linux/Unix & Troubleshooting,Paths,What is the difference between an absolute and a relative path?,Absolute starts from the root (/); relative starts from the current working directory,Relative always begins with /,Absolute never contains slashes,There is no difference,A,Absolute paths begin with / (e.g. /etc/hosts). Relative paths resolve from the current directory (e.g. ../docs/file.txt).,easy,PGIMER CP-047 prep bank - original practice (Batch 1),paths;absolute;relative
Linux/Unix & Troubleshooting,Permissions,The numeric permission 640 on file f means:,"Owner rw, group r, others no access","Owner rwx, group rw, others none",All can read and write,Owner only read,A,"6 = rw- (owner), 4 = r-- (group), 0 = --- (others). Read=4, write=2, execute=1.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),permissions;chmod;octal;640
Linux/Unix & Troubleshooting,chmod,chmod u+x script.sh does what?,Adds execute permission for the file owner only,Removes execute for everyone,Gives everyone all permissions,Changes the file owner,A,"u=user(owner), g=group, o=others, a=all. u+x adds execute to the owner's permission bits only.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),chmod;symbolic mode;execute
Linux/Unix & Troubleshooting,Processes,"Which command lists running processes with full details (PID, user, CPU/memory usage)?",ps,pwd,mkdir,cat,A,ps reports process status; 'ps aux' shows all processes. pwd prints the working directory; cat reads files.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),processes;ps;commands
Linux/Unix & Troubleshooting,Process control,Which signal (default sent by kill) terminates a process gracefully?,SIGTERM (signal 15),SIGKILL (signal 9),SIGINT only,SIGHUP,A,"kill defaults to SIGTERM (15), asking the process to exit. SIGKILL (9) cannot be caught/ignored and force-kills. kill -9 kills immediately.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),kill;SIGTERM;SIGKILL;signals
Linux/Unix & Troubleshooting,Shell pipes/redirection,What does the pipeline command 'cat data.txt | grep -c error' do?,Counts the lines of data.txt that contain 'error',Deletes lines with error,Saves output to error file,Errors out because pipes cannot combine,A,"cat outputs the file; the pipe (|) sends its stdout to grep -c, which counts matching lines containing 'error'.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),pipes;grep;count
Linux/Unix & Troubleshooting,Redirection,"In bash, '2>' redirects which stream?",Standard error,Standard input,Standard output,The history file,A,"0=stdin, 1=stdout, 2=stderr. So 'cmd 2>err.log' sends error messages to err.log; '>' alone redirects stdout.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),redirection;stderr;streams
Linux/Unix & Troubleshooting,Text tools,Which command searches files for lines matching a pattern using regular expressions?,grep,ls,chmod,whoami,A,"grep prints lines matching a regex (e.g. grep '^P' names.txt). ls lists files, chmod changes permissions.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),grep;regex;text search
Linux/Unix & Troubleshooting,Environment,"Which command displays the value of an environment variable, e.g. PATH?",echo $PATH,echo PATH,cat PATH,pwd PATH,A,$VAR expands the variable's value in the shell; 'echo $PATH' prints the PATH. 'echo PATH' would print the literal text PATH.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),environment variables;echo;PATH
Linux/Unix & Troubleshooting,Networking commands,Which command tests basic host reachability using ICMP echo packets?,ping,grep,chmod,tar,A,ping sends ICMP echo requests and reports replies/latency. Others are search/permission/archive tools.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),networking;ping;ICMP
Linux/Unix & Troubleshooting,Service/package concepts,"On a systemd-based distribution (e.g. Ubuntu), which command enables a service to start at boot AND starts it now?",systemctl enable --now service,systemctl restart only,systemctl disable,service --enable now,A,systemctl enable registers autostart; '--now' also starts it immediately. restart only restarts a running unit.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),systemd;systemctl;services
Linux/Unix & Troubleshooting,Troubleshooting,Which of these best matches the recommended troubleshooting approach?,Identify symptoms -> isolate the cause -> verify the fix -> monitor recovery,Reboot randomly until it works,Delete logs first always,Skip documentation and guess,A,"Methodical troubleshooting: gather facts, form/test a hypothesis, isolate, apply fix, verify and monitor. Random reboots hide root causes.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),troubleshooting;method;approach
Linux/Unix & Troubleshooting,File ops,Which command copies a file or directory (recursively) in Linux?,cp -r,mv always,rm -rf only,touch,A,"cp copies; -r makes it recursive for directories. mv moves/renames, rm deletes, touch creates empty files/updates timestamps.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),cp;file commands;copy
