subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Operating Systems,General,"An operating system is ____ which performs the entire basic task like file management, process management, etc.",Software,Program,Process,Thread,A,"An operating system is a software that performs all the basic tasks like file management, process management, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,How many types of the operating system are there?,3,8,7,6,C,"Mainly there are 7 types of operating systems: Batch OS, Multitasking OS, Multiprocessing OS, Real-time OS, Distributed OS, Network OS, and mobile OS.",medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,"Which of the following operating system does not interact with the computer directly, in fact in this operating system each user prepares his job in an offline device and submits it to the computer?",Batch Operating system,Multitasking Operating System,Time-sharing Operating System,Distributed Operating System,A,"Batch Operating system does not interact with the computer directly, in fact in this operating system each user prepares his job in an offline device like a punch card and submits it to the computer.",medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,"____ Operating system is a technique that enables many people, located at various terminals, to use a particular computer system at the same time?",Batch Operating system,Multitasking Operating System,Time-sharing Operating System,Distributed Operating System,C,"Time-sharing Operating System is a technique that enables many people, located at various terminals, to use a particular computer system at the same time; it is shared among different users.",medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,Which of the following Operating systems use multiple central processors to serve multiple real-time applications and multiple users?,Batch Operating system,Multitasking Operating System,Time-sharing Operating System,Distributed Operating System,D,Distributed Operating systems use multiple central processors to serve multiple real-time applications and multiple users.,medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,"Which of the following Operating systems runs on a server and provides the server the capability to manage data, users, groups, etc?",Batch Operating system,Network operating system,Mobile Operating system,Real-time Operating system,B,"Network Operating System runs on a server and provides the server the capability to manage data, users, groups, security, applications, and other networking functions.",medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,Which of the following is not a network operating system?,Mac OS X,Novell Netware,BSD,Oracle,D,Oracle is not a network operating system.,medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,In which of the following Operating systems the response time is very less as compared to online processing?,Batch Operating system,Network operating system,Mobile Operating system,Real-time Operating system,D,In a real-time Operating system the response time is very less as compared to online processing.,medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,How many types of real-time Operating systems are there?,3,2,5,6,B,"There are two types of real-time Operating Systems: Hard real-time systems, and soft real-time systems.",medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,____ is the heart of an operating system?,Software,Programs,CPU,Kernel,D,The kernel is the heart of an operating system; it is the kernel of an OS through which the OS controls the computer system.,medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,How many types of kernels are there?,6,7,9,5,D,"In total there are 5 types of kernels: Monolithic kernels, Microkernel kernels, Hybrid Kernels, Nano Kernels, and Exo kernels.",medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,In which type of kernel does the entire operating system run as a single program?,Monolithic kernel,Microkernel kernels,Hybrid Kernels,Nano Kernels,A,"In a Monolithic kernel, the entire operating system runs as a single program.",medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,Which of the following does not use Monolithic Kernel?,Windows 95,Windows 7,Windows 98,Linux,B,Windows 7 uses hybrid kernels.,medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,The function of ____ is to provide a communication facility between the client programs?,Monolithic kernel,Microkernel,Hybrid Kernels,Nano Kernels,B,The function of a microkernel is to provide a communication facility between the client programs; it also provides a facility for various services that are running in user space.,medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
Operating Systems,List of Operating System,Which of the following kernel reduces the level of abstraction provided by operating systems and allows application-level management of hardware resources as much as possible?,Exo Kernels,Hybrid Kernels,Nano Kernels,Monolithic Kernel,A,Exo Kernel reduces the level of abstraction provided by operating systems and allows application-level management of hardware resources as much as possible.,medium,web:Includehelp.com https://www.includehelp.com/mcq/operating-system-mcqs.aspx,
