subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Security,General,Amongst which of the following are the primary goals of cyber security?,"Encryption, authorization, and availability","Confidentiality, integrity, and authentication","Firewalls, intrusion detection, and data backups","Phishing prevention, malware detection, and spam filtering",B,"The primary goal of cybersecurity is to provide confidentiality, integrity, and authentication, which are commonly referred to as the CIA Triad in information security.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,"The term ""Cyber Threats"" in cyber security refers to ____.",Techniques used by cybersecurity professionals to protect systems,Malicious activities are carried out by hackers to breach firewalls,Hardware components that are susceptible to cyber-attacks,The process of encrypting sensitive data for secure transmission,B,"Cyber threats encompass various types of malicious activities carried out by cybercriminals and hackers such as viruses, worms, ransomware), phishing, social engineering, and denial-of-service (DoS) attacks.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,The process of encoding data to protect it from unauthorized access is known as ____.,Encryption,Firewall,Intrusion Detection,Multi-factor Authentication,A,"Encryption is a process of converting plain, readable data (plaintext) into an unreadable form (ciphertext) using an algorithm and a cryptographic key.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,Which of the following options best defines an attack vector in terms of cyber security?,A software tool used by ethical hackers to test system vulnerabilities,A technique to encrypt sensitive data during transmission,A method or avenue used by cyber threats to gain unauthorized access to a system or network,A hardware component that helps prevents denial-of-service attacks,C,"An attack vector in the context of cybersecurity refers to the method or avenue through which cyber threats, such as hackers or malicious actors, gain unauthorized access to a system, network, or application.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,What is the significance of a firewall in cybersecurity?,To prevent unauthorized physical access to a computer,To detect and remove malware from a computer,To protect a computer from unauthorized network access,To encrypt sensitive data on a computer,C,Firewalls are hardware or software-based security barriers that control incoming and outgoing network traffic.,medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,Which of the following options correctly identifies the two primary types of encryption used in cybersecurity?,Symmetric encryption and multi-factor authentication,Asymmetric encryption and Private-key encryption,Single-factor encryption and Decryption,Symmetric encryption and Asymmetric encryption,D,The process of encoding data to protect it from unauthorized access is known as encryption. There are two primary types of encryption: symmetric encryption and asymmetric encryption.,medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,Phishing is a type of cyber threat that involves ____.,Mimicking an authorized user to steal sensitive information,Gaining unauthorized access to a system,Local storage destruction,Sending large amounts of fake traffic to a server,A,"Phishing is a cyber-attack where the attacker attempts to deceive individuals into revealing sensitive information, such as login credentials, credit card numbers, or other personal data.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,"What does the term ""Malware"" stands for?",Malfunctioning Software,Malicious Firmware,Malfunctioning Hardware,Malicious Software,D,"The term ""malware"" stands for ""malicious software."" Malware refers to any type of software or code that is specifically designed to harm, exploit, or gain unauthorized access to computer systems, networks, or user devices.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,Which of the following is an example of a cyber-attack on physical infrastructure?,Phishing attack on employee's email,DDoS attack on the company's server,Stuxnet attack on an irrigation control system,Ransomware attack on company's server,C,The Stuxnet attack is an example of a cyber-attack on physical infrastructure. The worm used in this attack was designed to infiltrate and manipulate Programmable Logic Controllers (PLCs) used in centrifuges to enrich uranium.,medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
Computer Security,List of Cyber Security,"What does the term ""VPN"" stand for?",Virtual Personal Network,Virtual Private Network,Virtual Portable Network,Virtual Public Network,B,"The term ""VPN"" stands for Virtual Private Network. A VPN is a secure and encrypted network connection that allows users to access the Internet or other private networks securely over a public network (usually the Internet).",medium,web:Includehelp.com https://www.includehelp.com/mcq/cyber-security-mcqs.aspx,
