subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
C++ / OOP,General,C++ language was developed by ___.,Dennis Rechard,Dennis M. Ritchie,Bjarne Stroustrup,Anders Hejlsberg,C,C++ programming language was developed by Bjarne Stroustrup at Bell Laboratories (formerly AT&T Bell Laboratories).,medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,"In which year, the name of the language was changed from ""C with Classes"" to C++?",1979,1972,1983,1986,C,"In 1983, the name of the language was changed from ""C with Classes"" to C++.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,C++ language is a successor to which language?,B,C,Java,VB,B,C++ is a successor of C language.,medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,C++ language is a ___.,Object Oriented Language,Procedural Oriented Language,Structural Oriented Language,None of the above,A,C++ is an object-oriented language. It supports the concept of OOPs.,medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,C++ follows ___.,Top-Down Design approach,Bottom-Up Design approach,Both of the above,None of the above.,B,C++ follows a bottom-up design approach for development.,medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,C++ is a ___.,High-level language,Medium level language,Low-level language,None of the above,B,C++ is a medium-level language because it contains the features of low-level language as well as high-level language (Low-level Vs High-level).,medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,How many keywords are in C++?,32,48,99,95,D,"Keywords are also known as reserved words, there are 95 keywords are available in C++. Some of the C++ keywords are not available in the C language.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,Which of the following is not a valid keyword in C++ language?,while,for,switch,do-while,D,"Do-while is a control statement, here ""do"" and ""while"" are different keywords.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,Which of the following statement is correct about identifiers in C++?,Identifiers are the combination of alphanumeric characters that can be used for function and variable names.,Identifiers are a combination of alphanumeric characters that can be used for looping statements.,Both of the above,None of the above,A,The 2nd statement is correct about identifiers in C++.,medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,Which of the following is used for single-line comment in C++?,//,\\,/* */,##,A,"We use ""//"" for single-line comments in C++.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,Which of the following is used for multi-line comments in C++?,//,\\,/* */,##,C,"We use ""/* */"" for multi-line comment in C++.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,In which year C++14 was introduced?,2014,2015,2017,None of the above,A,"C++14 was introduced in 2014. It contains the following features:
 polymorphic lambdas
 digit separators
 generalized lambda capture
 variable templates
 binary integer literals
 quoted strings",medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,Which of the following language translator is used in C++?,Assembler,Interpreter,Compiler,Both Interpreter and Compiler,C,"In C++, a Compiler is used to process C++ source files and generate object files.",medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
C++ / OOP,List of C++ Multiple-choice Questions and Answers,Which of the following whitespace characters can be used in C++?,1 and 2,3 and 4,"1, 3, 4","All 1,2,3,4",D,"In C++, we can use the following whitespace characters:
 Space
 Horizontal tab
 Vertical tab
 Form feed
 New-line",medium,web:Includehelp.com https://www.includehelp.com/mcq/cpp-mcqs.aspx,
