subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
System Analysis & Design,Feasibility,"Which feasibility study asks: 'Can we build it with available technology, skills and hardware at acceptable cost?'",Technical feasibility,Economic feasibility only,Operational feasibility,Schedule feasibility,A,Technical feasibility checks technology/resources; economic checks cost-benefit; operational checks whether users/management will accept it.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),feasibility;technical;systems analysis
System Analysis & Design,Fact finding,Which fact-finding technique gathers broad data from many people cheaply but may suffer from low and biased response rates?,Questionnaire survey,One-on-one interview,Direct observation,Document review,A,Questionnaires reach many respondents at low cost but have poor response rates and limited depth; interviews provide richer detail.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),fact finding;questionnaire;interview
System Analysis & Design,DFD,"In a Data Flow Diagram, a process is represented by a:",Circle or rounded rectangle,Open rectangle (data store),Square (external entity),Straight arrow only,A,"In Gane-Sarson/Yourdon DFDs, processes are circles/rounded rectangles; data stores are open rectangles; external entities are squares; arrows are data flows.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),DFD;process;symbols
System Analysis & Design,DFD levels,The top-level DFD showing the whole system as one process with its external entities and major flows is the:,Context diagram (level 0),Level 1 diagram,Level 2 diagram,Entity relationship diagram,A,"The context diagram is the highest-level view (level 0): one process bubble for the whole system, external entities and boundary flows.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),DFD;context diagram;level 0
System Analysis & Design,Data dictionary,A data dictionary in structured analysis stores:,"Definitions of data elements, data stores, flows and their structure",Only passwords,Source code history,Hardware inventory,A,"The data dictionary centrally defines every data name used in DFDs: elements (e.g. employee_id: 6 numeric digits), structures and aliases.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),data dictionary;structured analysis
System Analysis & Design,Structured English / decision tables,A decision table is most useful for representing:,Complex combinations of conditions and resulting actions,Data storage layouts,Network hardware,Screen colours,A,"Decision tables organise condition stubs, action stubs and rules, making multi-condition business logic clear and complete.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),decision table;conditions;logic
System Analysis & Design,Flowcharts,Which flowchart symbol represents a decision (yes/no or true/false branch)?,Diamond,Rectangle,Oval,Parallelogram,A,"Diamonds denote decisions with two or more exits. Rectangles are processes, ovals are start/end, parallelograms are input/output.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),flowchart;decision;symbols
System Analysis & Design,Input design,A good principle of input design is:,"Capture data at its source with validation, and avoid re-keying wherever possible",Let users type everything manually twice,Store data before validating,Avoid any on-screen help,A,"Capture-once, source data capture with validation (format, range, existence checks) reduces errors and cost.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),input design;validation;principles
System Analysis & Design,Implementation / conversion,In which conversion strategy does the new system run alongside the old one for a period before the old system is removed?,Parallel conversion,Direct (cutover) conversion,Pilot conversion only,Phased conversion,A,"Parallel runs both systems together, comparing outputs for safety; it costs more but offers a rollback path. Direct cutover is riskier.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),conversion;parallel;implementation
System Analysis & Design,System documentation,User documentation is primarily intended to:,Help end users operate the system correctly,Replace the source code,Store passwords,Only satisfy auditors with diagrams,A,User manuals and online help support day-to-day operation; technical documentation serves maintainers.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),documentation;user manual
System Analysis & Design,System concept,"In systems theory, feedback in an information system is:",Output information used to adjust/control future processing,The raw input data,The hardware devices,A programming error,A,Feedback (e.g. exception/status reports) helps managers and the system itself correct or regulate processing toward objectives.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),systems concepts;feedback;information system
System Analysis & Design,Structured design,"In structured design, a 'module' with a single entry and single exit that performs one well-defined function demonstrates:",High cohesion and low coupling with the rest of the system,Maximum coupling,No need for testing,Duplicate functionality,A,"Well-designed modules are cohesive (one purpose) and loosely coupled (few interfaces), making the system easier to build and maintain.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),structured design;module;cohesion
System Analysis & Design,Requirement analysis,"During requirements analysis, the analyst's main objective is to:",Understand and specify what the system must do before design begins,Start coding immediately,Buy hardware,Train the users first,A,"Analysis focuses on the problem and required functions (the 'what'), while design later decides 'how'.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),requirements analysis;analysis phase
System Analysis & Design,Interfaces,"In a system, the point where users interact with software through screens, menus and forms is called the:",User interface,Compiler,Data store,Batch job,A,"The user interface is the boundary between humans and the system; good UI design follows usability principles (consistency, feedback, error prevention).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),user interface;interaction design
