subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Discrete Mathematics for CS,Logic,The truth table of implication p -> q is FALSE in which case?,"p true, q false","p true, q true","p false, q true","p false, q false",A,p -> q is false only when the antecedent is true and the consequent is false. All other cases are true.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),logic;implication;truth table
Discrete Mathematics for CS,Logic equivalence,Which statement is logically equivalent to p -> q?,not p OR q,p AND not q,q -> p,not q -> not p is the contrapositive of p -> q,A,p -> q equals (not p) OR q. Its contrapositive is (not q) -> (not p); q -> p is the converse and is not equivalent.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),logic;implication;equivalence
Discrete Mathematics for CS,Contrapositive,"The contrapositive of 'If it rains, the ground is wet' is:","If the ground is not wet, it did not rain","If the ground is wet, it rained","If it does not rain, the ground is dry",Rain and wet ground are unrelated,A,Contrapositive of P -> Q is (not Q) -> (not P). Option B is the converse; option C is the inverse.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),logic;contrapositive;conditional
Discrete Mathematics for CS,Tautology,Which proposition is a tautology (always true)?,p OR (not p),p AND (not p),p -> p is always true too,p XOR p,A,p OR not p is the law of excluded middle - always true. p AND not p is a contradiction (always false).,easy,PGIMER CP-047 prep bank - original practice (Batch 1),logic;tautology;excluded middle
Discrete Mathematics for CS,Set operations,"If A = {1, 2, 3} and B = {3, 4}, what is A - B (set difference)?","{1, 2}",{3},"{1, 2, 3, 4}",{4},A,"A - B removes elements of B from A, leaving {1, 2}. A union B = {1,2,3,4}; intersection = {3}.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),sets;set difference;union;intersection
Discrete Mathematics for CS,Set operations,"For any set A, A INTERSECT (A UNION B) equals:",A,B,A union B,Empty set,A,Absorption law: A AND (A OR B) = A. Similarly A OR (A AND B) = A.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),sets;absorption;identities
Discrete Mathematics for CS,Relations,A relation R on a set is called an equivalence relation if it is:,"Reflexive, symmetric and transitive",Reflexive only,Antisymmetric and transitive only,Symmetric and irreflexive,A,"Equivalence relations require all three: reflexivity, symmetry, transitivity (they partition the set into equivalence classes).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),relations;equivalence relation;properties
Discrete Mathematics for CS,Functions,A function that is both one-to-one (injective) and onto (surjective) is called:,Bijective,Injective only,Surjective only,Partial function,A,Bijective = injective + surjective; it has an inverse function and maps the domain onto the codomain one-to-one.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),functions;bijective;injective;surjective
Discrete Mathematics for CS,Graph theory,"In an undirected graph, the sum of the degrees of all vertices equals:",Twice the number of edges,The number of edges,Half the number of edges,The number of vertices,A,"Handshaking lemma: every edge contributes 2 to the degree sum, so sum(deg) = 2|E|.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),graph theory;degree;handshaking lemma
Discrete Mathematics for CS,Counting,How many ways can 3 distinct prizes be given to 3 people if each person gets exactly one prize?,6,3,9,27,A,3! = 3 x 2 x 1 = 6 permutations of assigning distinct prizes. If prizes could repeat per person it would be 3^3 = 27.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),counting;permutations;factorial
Discrete Mathematics for CS,Counting,A committee of 2 is chosen from 5 people. How many different committees are possible?,10,20,25,7,A,"Combinations: C(5,2) = 5!/(2!3!) = 10. Order within the committee does not matter.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),combinations;counting;committee
Discrete Mathematics for CS,Posets,"A relation that is reflexive, antisymmetric and transitive is a:",Partial order,Equivalence relation,Function,Permutation,A,"Partial orders (posets) are reflexive, antisymmetric and transitive (e.g. <= on integers). Equivalence relations replace antisymmetry with symmetry.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),partial order;poset;antisymmetric
Discrete Mathematics for CS,Pigeonhole,"In a group of 13 people, by the pigeonhole principle:",At least two share the same birth month,Everyone has a different month,At least two are the same age,No two share anything,A,"With 12 months and 13 people, placing people into months forces at least one month to contain 2+ people (ceil(13/12) = 2).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),pigeonhole;counting;principle
Discrete Mathematics for CS,Predicate logic,The negation of 'All programmers know SQL' is:,At least one programmer does not know SQL,No programmer knows SQL,All programmers do not know SQL,SQL is not used,A,"Negating 'for all x, P(x)' gives 'there exists x such that not P(x)'. Universal statements are falsified by one counterexample.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),predicate logic;negation;quantifiers
