subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,basic and variables,The development environment offers which standard construct for data validation,Super controlled loop constructs,Case sensitivity check,Validation constructs,All of the mentioned,D,"All these facilities are available in JavaScript. Additionally, all development environments provide syntax to create and use memory variables, constants, and functions.",medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,The main purpose of a “Live Wire” in NetScape is to,Create linkage between client side and server side,"Permit server side, JavaScript code, to connect to RDBMS",Support only non relational database,To interpret JavaScript code,B,A Live Wire database driver also supports a number of non-relational databases.,medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,The script tag must be placed in,head,head and body,title and head,all of the mentioned,B,"If the script tag is placed after the body tag, then, it will not be evaluated at all. Also, it is always recommended and effective to use the script snippet in the <head> tag.",medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,A JavaScript program developed on a Unix Machine,will throw errors and exceptions,must be restricted to a Unix Machine only,will work perfectly well on a Windows Machine,will be displayed as a JavaScript text on the browser,C,,medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,JavaScript is ideal to,make computations in HTML simpler,minimize storage requirements on the web server,increase the download time for the client,none of the mentioned,B,"To minimize storage requirements, JavaScript is always a better say.",medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,Which attribute is used to specify that the script is executed when the page has finished parsing ( only for external scripts ),parse,a sync,defer,type,C,"In order to load a page, the browser must parse the contents of all script tags, which adds additional time to the page load) By minimizing the amount of JavaScript needed to render the page, and deferring parsing of unneeded JavaScript until it needs to be executed, you can reduce the initial load time of your page.",medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,JavaScript Code can be called by using,RMI,Triggering Event,Preprocessor,Function/Method,D,,medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,JavaScript can be written,directly into JS file and included into HTML,directly on the server page,directly into HTML pages,all of the mentioned,D,"JavaScript is a versatile programming language that can be written in various ways depending on the context and requirements. The correct answer is all of the mentioned options. 

Let's break down each option: 

 Option A, ""directly into JS file and included into HTML,"" refers to writing JavaScript code in a separate JS file with a .js extension and then linking that file to an HTML page using the script tag. This is a common approach to organize and reuse JavaScript code. 
 Option B, ""directly on the server page,"" implies writing JavaScript code within a server-side scripting language like PHP, ASP, or Node.js. In this case, the JavaScript code is processed on the server before sending the response to the client. 
 Option C, ""directly into HTML pages,"" involves writing JavaScript code directly within the script tags in an HTML file. This allows for inline scripting and is suitable for s",medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,Which of the following Attribute is used to include External JS code inside your HTML Document,src,ext,script,link,A,A ”src” attribute could be used to add any external code into the HTML document.,medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
Web Technologies & Internet / PHP,basic and variables,A proper scripting language is a,High level programming language,Assembly level programming language,Machinen level programming language,Low level programming language,A,,medium,web:Examveda.com https://www.examveda.com/javascript/practice-mcq-question-on-basic-and-variables/,
