subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
C++ / OOP,General,____ is considered to be a partitioned area of computer memory that stores and set of operations that can access the data.,Classes,Objects,Variables,Functions,B,An object is considered to be a partitioned area of computer memory that stores and set of operations that can access the data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,"When a program is executed, the ____ interacted by sending a message to one another.",Objects,Classes,Operating system,Memory,A,"When a program is executed, the objects interact by sending a message to one another. For example, if ""customer"" and ""account"" are two objects in a program, then the customer object may send a message to the account object requesting the back balance.",medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Objects are the variables of the type ____?,String,Boolean,Class,All data types can be included,C,"Objects are the variables of the type Class. Once the class has been defined, we can create any number of objects belonging to that class.",medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,What is the most striking feature of class?,Data encapsulation,Collection of objects of similar type,Inheritance,All of the above,A,Data encapsulation is the most striking feature of the class.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Why classes are known as abstract data types (ADT)?,Because classes are user-defined data types,Because it supports the theory of hierarchical classification,Because it allows dynamic binding,Because it uses the concept of data abstraction,D,Since classes use the concept of data abstraction therefore they are known as Abstract data types (ADT).,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Which is not true about the object-oriented approach?,Emphasis is on data rather than procedure,Data is hidden and cannot be accessed by external functions,Objects communicate through functions,It supports abstract data but not the class,D,"Object-oriented approach supports both abstract data and class, which provide polymorphism and inheritance.",medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Which language among the following support an object-oriented approach?,Modula-3,Ada 95,Modula-2,Both A and B,D,Modula-3 and Ada 95 are the languages that support an object-oriented approach.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Which concept is not supported by object-based programming languages?,Inheritance,Dynamic binding,Only A,Both A and B,D,Inheritance and Dynamic binding are the concepts that object-based programming languages do not support.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,What is procedure-oriented Language?,A procedure-oriented Language is a language that incorporates all object-oriented programming features,A procedure-oriented Language is a language that supports encapsulation and object identity,A procedure-oriented Language is a language that consists of writing a list of instructions,A procedure-oriented Language is a language that does not support Inheritance and Dynamic binding,C,A procedure-oriented Language is a language that consists of writing a list of instructions for the computer.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Which one of the following is the demerit of procedure-oriented languages?,A procedure-oriented language does not model real-world problems,In procedure-oriented Language message parsing is difficult,A procedure-oriented Language works slowly,"In procedure-oriented Language, it is difficult to apply the inheritance concept",A,A procedure-oriented language does not model real-world problems because functions are action-oriented.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Which feature's behavior of OOP depends upon the types of data used in the operation.,Inheritance,Polymorphism,Abstraction,Encapsulation,B,"Polymorphism behavior depends upon the types of data used in the operation. For example, if we have two int type data and we add them, then the result produced will be also of the type int.",medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Which features of OOP are extensively used in implementing inheritance?,Dynamic binding,Abstraction,Operator overloading,Polymorphism,D,Polymorphism means having many forms and it can be used in the same manner with different actions. Therefore it is extensively used in implementing inheritance.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Which language does not follow the concept of OOP?,FORTAN,RUBY,JADE,SCALA,A,"FORTAN, ALGOL, C, etc. are some of the programming languages which do not follow the concept of OOP.",medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,Which functions are declared inside a class have to be defined separately outside the class?,Static functions,Const functions,Inline functions,Member functions,D,Member functions declared inside a class have to be defined separately outside the class. They are much like normal functions.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
C++ / OOP,List of OOPs,The subroutines contained in an object are called _____ methods.,Class Methods,Static Methods,Instance Methods,Interface Methods,C,The subroutines contained in an object are called instance methods.,medium,web:Includehelp.com https://www.includehelp.com/mcq/oops-mcqs.aspx,
