subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Security,CIA triad,Which security goal ensures that information is not altered by unauthorized parties?,Integrity,Confidentiality,Availability,Authentication,A,Integrity guarantees data is not modified unauthorizedly (hashes/checksums verify it). Confidentiality = secrecy; availability = accessible when needed.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),CIA;integrity;security goals
Computer Security,Authentication vs authorization,"Authentication answers 'who are you?', while authorization answers:",What are you allowed to do?,Where are you located?,When did you log in?,Which browser do you use?,A,"Authentication verifies identity (password, OTP, biometrics); authorization grants/denies access rights to resources after identity is proven.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),authentication;authorization;access control
Computer Security,Hashing vs encryption,What is the key difference between hashing and encryption?,Hashing is one-way and non-reversible; encryption is reversible with a key,Hashing can be reversed easily,Encryption has no key,They are identical operations,A,"Hash functions (SHA-256) produce fixed digests and are computationally one-way, used for integrity/verification. Encryption is invertible given the key, used for secrecy.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),hashing;encryption;differences
Computer Security,Password storage,Which is the safest practice for storing user passwords?,"Store a salted, slow cryptographic hash (e.g. bcrypt/argon2), never plain text",Store plain text for convenience,Store passwords in reversible encryption without keys,Store only usernames,A,"Salting + adaptive hashing (bcrypt, scrypt, argon2) resists rainbow tables and brute force. Passwords should never be stored or logged in plain text.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),passwords;hashing;bcrypt;salt
Computer Security,Symmetric encryption,Symmetric (private-key) encryption uses:,The same key for encryption and decryption,Two different public keys,No keys at all,Only a hash function,A,"Symmetric algorithms (AES, DES, ChaCha20) use one shared secret key for both directions; key distribution is their main challenge.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),symmetric;AES;private key
Computer Security,Asymmetric crypto,"In public-key (asymmetric) cryptography, what does a sender use to encrypt a message to a recipient?",The recipient's public key,The recipient's private key,The sender's private key only,A shared session cookie,A,The recipient's public key encrypts; only the recipient's private key can decrypt. Private keys are never shared.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),asymmetric;public key;RSA
Computer Security,Digital signatures,A digital signature provides:,"Authentication, integrity and non-repudiation of a message",Encryption of the whole internet,Password recovery only,Availability of the server,A,Signing with a private key lets anyone verify with the public key that the message came from the signer and was not altered (non-repudiation + integrity).,easy,PGIMER CP-047 prep bank - original practice (Batch 1),digital signature;non-repudiation;integrity
Computer Security,PKI / TLS,"In TLS/HTTPS, a digital certificate from a Certificate Authority (CA) primarily:",Binds a public key to an identity (domain/entity) and is trusted by clients,Stores the user's password,Speeds up the connection only,Blocks all encryption,A,"Certificates let clients verify they are talking to the genuine site by confirming the public key belongs to that identity, within a PKI trust chain.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),certificate;PKI;CA;TLS
Computer Security,Malware,Which malware self-replicates and spreads to other systems without requiring user action to attach to files?,Worm,Trojan,Ransomware,Spyware,A,Worms self-propagate over networks automatically. Trojans disguise themselves as legitimate software; ransomware encrypts files for payment; spyware steals data.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),malware;worm;trojan
Computer Security,Attacks,Which attack overwhelms a service with traffic from many sources to make it unavailable (distributed DoS)?,DDoS (Distributed Denial of Service),Phishing,SQL injection,Session fixation,A,"DDoS floods a target using many machines (botnet), exhausting bandwidth/resources. Phishing tricks users; SQLi attacks databases.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),attacks;DDoS;availability
Computer Security,Attacks,Phishing attacks rely primarily on:,Social engineering - tricking users into revealing credentials or clicking malicious links,Brute forcing CPU chips,Physical theft of servers only,Breaking AES encryption,A,Phishing uses deceptive emails/sites impersonating trusted parties to harvest credentials or install malware.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),phishing;social engineering
Computer Security,Least privilege,The 'principle of least privilege' states that:,Users and processes should have only the minimum permissions needed to perform their tasks,Everyone should be an administrator,Permissions should never be audited,Guests get root access,A,Least privilege limits the blast radius of compromised accounts and accidental damage.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),least privilege;access control;principle
Computer Security,Firewalls,Which technology inspects traffic flows and enforces rules to protect a trusted internal network from an untrusted one?,Firewall,A word processor,A compiler,A database index,A,"Firewalls filter traffic between zones (e.g. LAN vs internet) by policy on IP/port/protocol/state, blocking unwanted connections.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),firewall;network security
Computer Security,CSRF,A CSRF (Cross-Site Request Forgery) attack works by:,Tricking the victim's browser into sending an authenticated request to a site the victim is logged into,Reading the victim's passwords from the server database,Sending raw SQL to the victim,Decrypting TLS traffic,A,CSRF exploits the browser's automatic inclusion of session cookies to forge state-changing requests. Anti-CSRF tokens and SameSite cookies mitigate it.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),CSRF;attacks;web security
