subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Data Structures,introduction to data structures,What is a data structure?,A collection of data values,A programming language,A set of algorithms,A way of organizing and storing data,D,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,Which of the following is a linear data structure?,Graph,Tree,Array,Hash Table,C,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,Which data structure uses LIFO order?,Queue,Stack,Array,Linked List,B,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,Which data structure uses FIFO order?,Stack,Graph,Queue,Tree,C,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,Which of the following is not a data structure?,Linked List,Array,Binary Tree,None of the above,D,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,Which data structure is used to implement recursion?,Array,Stack,Queue,Linked List,B,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,Which of the following data structures allows random access?,Linked List,Array,Stack,Queue,B,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,What is the time complexity of accessing an element in an array?,O(n),O(1),O(log n),O(n log n),B,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,Which data structure is used for breadth-first search (BFS)?,Stack,Queue,Array,Linked List,B,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,Which data structure is used for depth-first search (DFS)?,Stack,Queue,Array,Tree,A,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/,
Data Structures,introduction to data structures,What is a linked list?,A collection of elements stored at contiguous memory locations,A linear collection of data elements,A hierarchical structure of data,"A collection of nodes, each pointing to the next node",D,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,Which of the following operations is faster in a linked list?,Insertion at the beginning,Accessing an element by index,Searching an element,Deleting an element by value,A,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,What does ADT stand for?,Abstract Data Type,Abstract Data Tree,Algorithmic Data Type,Advanced Data Type,A,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,Which of the following is a non-linear data structure?,Stack,Linked List,Graph,Array,C,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,What is the primary advantage of using a linked list over an array?,Constant time access to elements,Dynamic size,Simple memory allocation,None of the above,B,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,Which data structure is used in a depth-first traversal of a graph?,Stack,Queue,Array,Linked List,A,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,What type of data structure is a stack?,FIFO,LIFO,Random Access,Priority Queue,B,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,Which data structure can be used to implement a queue?,Stack,Linked List,Tree,Hash Table,B,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,In which data structure do elements have a hierarchical relationship?,Array,Linked List,Graph,Tree,D,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,What is the main advantage of a hash table over a linked list?,Faster search,Easier to implement,Lower memory usage,Simpler insertion,A,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=2,
Data Structures,introduction to data structures,Which data structure is best for implementing a priority queue?,Stack,Linked List,Heap,Queue,C,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=3,
Data Structures,introduction to data structures,What is the primary operation of a stack?,Enqueue,Dequeue,Push,Traverse,C,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=3,
Data Structures,introduction to data structures,What is the main characteristic of a circular queue?,It has a fixed size,It uses a linked list,The last position is connected to the first position,It can grow dynamically,C,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=3,
Data Structures,introduction to data structures,Which of the following is true about a doubly linked list?,Each node has two pointers,It is a type of tree,It can be traversed in one direction only,It has a circular structure,A,,medium,web:Examveda.com https://www.examveda.com/data-structure/practice-mcq-question-on-introduction-to-data-structures/?page=3,
