subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Programming in C,1) C Basics,C language was developed by ___.,Dennis Rechard,Dennis M. Ritchie,Bjarne Stroustrup,Anders Hejlsberg,B,C programming language was developed by an American computer scientist Dennis M. Ritchie at Bell Laboratories (formerly AT&T Bell Laboratories).,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,In which year was C language developed?,1962,1978,1979,1972,D,C programming language was developed by Dennis Ritchie at Bell Laboratories in 1972.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,C language is a successor to which language?,Basic,Cobol,C++,B,D,C programming language is a successor to the programming language B.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,C is a ___.,Low level language,High level language,Medium level language,None of the above,C,C is a medium-level language because it contains the features of low-level language as well as high-level language.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,How many keywords are there in C language?,32,33,64,18,A,C language has only 32 keywords.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,C language is a ___.,Procedural oriented programming language,General purpose programming language,Structured programming,All of the above,D,"C programming language is a general-purpose, procedural computer programming language that supports structured programming also.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,Which is not a valid keyword in C language?,for,while,do-while,switch,C,"do-while is not a valid keyword in the C programming language. It's a control statement. 'do' and 'while' are the separate keywords. The rest of all 'for', 'while', and 'switch' are the valid keywords in C.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,What is an identifier in C language?,An identifier is a combination of alphanumeric characters used for conditional and control statements,"An identifier is a combination of alphanumeric characters used for any variable, function, label name",Both A and B,None of the above,B,"An identifier is a combination of alphanumeric characters used for any variable, function, label name. An identifier is a name that is used to identify the variables/ constants, functions, arrays, label name, and user-defined data.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,"A C-style comment, simply surround the text with ___.",/* and */,// and //,//,/** and **/,A,"A C-style comment, simply surround the text with /* and */.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,Can we place comments between the statement to comments a part of the code?,Yes,No,,,A,"Yes, we can place comments between the statement to comments a part of the code.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,"___ is an informal name for ISO/IEC 9899:1999, a past version of the C programming language standard?",C,C++,C89,C99,D,"C99 is an informal name for ISO/IEC 9899:1999, a past version of the C programming language standard.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,"In which version of C language, the C++ Style comment (//) are introduced?",C17,C18,C89,C99,D,"C language version C99 introduced C++ style comment (//), they can be used to comment a single line.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,The C source file is processed by the ___.,Interpreter,Compiler,Both Interpreter and Compiler,Assembler,B,The C source file is processed by the compiler.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,How many whitespace characters are allowed in C language?,2,3,4,5,D,"There are 5 whitespace characters are allowed in C language, they are:",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,How many punctuation characters are allowed in C language?,29,30,31,32,A,"There are 29 punctuation characters are allowed in C language, they are:",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,What is the extension of a C language source file?,.c,.cpp,.c99,.h,A,"The extension of a C language source file is "".c"".",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,What is the extension of a C language header file?,.c,.cpp,.c99,.h,D,"The extension of a C language source file is "".h"".",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,"To develop which operating, C language was invented?",Linux,Unix,Android,Mac,B,C language was invented to develop Unix operating system.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,Does C language support object-oriented approach?,Yes,No,,,B,C language does not support object-oriented approach.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,Which is/are the disadvantage(s) of C language?,No Garbage Collection,Inefficient Memory Management,Low level of abstraction,Lack of Object Orientation,E,The main disadvantages of C language are:,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which are the fundamental data types in C?,char,int,float,All of the above,D,The fundamental / basic data types in C language:,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",How many byte(s) does a char type take in C?,1,2,3,4,A,The char data type takes one byte in the memory.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","For which type, the format specifier ""%i"" is used?",int,char,float,double,A,"In C programming language, both of the format specifier %d and %i are used for int type, where %d specifies the type of variable as decimal and %i specifies the type as integer.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",What is the difference between float and double in C?,both are used for the same purpose,double can store just double value as compare to float value,double is an enhanced version of float and was introduced in C99,double is more precise than float and can store 64 bits,D,"In C programming language, the double is more precise than float and can store 64 bits.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which is the correct format specifier for double type value in C?,%d,%f,%lf,%LF,C,The %lf is used to represent a double type value in C programming language.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",The short type represents ___.,int,float,unsigned int,short int,C,The short type represents short int in C language.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",How many byte(s) does a short type take in C?,1,2,3,4,B,"In C programming language, the short or short int takes 2 bytes (16 bits) in memory.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",What is the correct syntax to declare a variable in C?,data_type variable_name;,data_type as variable_name;,variable_name data_type;,variable_name as data_type;,A,"In C language, the correct syntax to declare a variable is:",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",How many types of qualifiers are there in C language?,2,3,4,5,B,"There are 3 types of qualifiers in C language, they are:",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which is/are the size qualifier(s) in C language?,short,long,double,Both A. and B,D,The size qualifiers are short and long.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which is/are the sign qualifier(s) in C language?,signed,unsigned,long,Both A. and B,D,The sign qualifiers are used to specify the signed nature of an integer type. The sign qualifiers are signed and unsigned.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which is/are the type qualifier(s) in C language?,const,volatile,static,Both A. and B,D,"The type qualifiers are const and ""volatile"".",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which is correct with respect to the size of the data types in C?,char > int > float,char < int < float,int < char < float,int < chat > float,B,The correct order of the data types as per the size is: char < int > float.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which operator is used to find the remainder of two numbers in C?,/,\,%,//,C,"The % operator is known as ""Modulus Operator"" and it is used to find the remainder of two numbers.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which of the following is not an arithmetic expression?,x = 10,x /= 10,x %= 10,x != 10,D,x != 10 is not a valid arithmetic expression.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 int x = 20;
 x %= 3;
 printf(""%d"",x);
 return 0;
}
```",2,2.5,Error,Warning,A,"In the above code, the value of x is 20 and then in the next statement, the expression is x %= 3. That will be evaluate as:",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 float x = 21.0;
 x %= 3.0;
 printf(""%f"",x);
 return 0;
}
```",7,7.00,7.000000,Error,D,"In the above code, we are performing modulus operation with float values. Modulus operator doesn't work with float and double operands. Thus, the output will be:",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 float x = 23.456;
 printf(""%.2f"",x);
 return 0;
}
```",23.45600,23.456,23.45,23.46,D,"In the above code, the value of x is 23.456 and we are printing the value of x using the %.2f format specifier. %.2f rounds the value and prints the 2 digits after the decimal point.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What will be the output of the following C code?
```
#include <stdio.h>
void main()
{
 int x = 10;
 int y = x++ + 20;
 printf(""%d,%d"",x,y);
 return 0;
}
```","11,30","11,31","10,30","10,31",A,"In the above code, we are using a post-increment statement (x++), post-increment increases the value after evaluating the current expression. Thus, the value of y will be 30 and then x will be 11.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Increment (++) and decrement (--) are the ___ operators in C?,Unary,Binary,Ternary,None of the above,A,Increment (++) and decrement (--) are the unary operators. They need one operand to perform the operation.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 unsigned char c=290;
 printf(""%d"",c);
 return 0;
}
```",290,256,34,Garbage,C,290 is beyond the range of unsigned char. Its corresponding value printed is: (290 % (UCHAR_MAX +1) where UCHAR_MAX represents highest (maximum) value of unsigned char type of variable. The value of UCHAR_MAX=255. Thus it prints 290 % (UCHAR_MAX+1)=34,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 int a=0;
 a=5||2|1;
 printf(""%d"",a);
 return 0;
}
```",1,7,0,8,A,Bitwise OR operator (|) has precedence over logical OR operator (||). Thus the expression 5 || 2 | 1 is actually 5 || (2 |1).,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 int x =-100;
 -100;
 printf(""%d"",x);
 return 0;
}
```",100,-100,0,Error,B,"The statement ""-100;"" is evaluated and this does not affect the value of ""x"".",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 int a,b,c;
 a=0x10; b=010;
 c=a+b;
 printf(""%d"",c);
 return 0;
}
```",20,24,Garbage,Error,B,"0x10 is hex value it's decimal value is 16 and 010 is an octal value it's decimal value is 8, hence answer will be 24.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions",Which C keyword is used to extend the visibility of variables?,extend,extends,extern,auto,C,"The ""extern: keyword used to define an extern variable, that can be accessed in any source file. i.e., extern is used to extend the visibility of variables in C language.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,"2) C Data Types, Operators and Expressions","What is the name of ""&"" operator in C?",Ampersand,And,Address of,None of the above,C,"The ""&"" operator is known as 'Address Of' operator which is used to access the address of a variable.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,Which of the following are valid decision-making statements in C?,if,switch,nested if,All of these,D,All valid decision-making statements in C program are:,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,Decision making in the C programming language is ___.,Repeating the same statement multiple times,Executing a set of statements based on some condition,Providing a name of the block of code,All of these,B,Decision-making in C programming is executing a block of code to be executed by the program based on some condition.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,Which of the following is a true value in C programming?,1,"""includehelp""",! NULL,All of these,D,All non-zero and non-null values in C programming are true.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,Ternary operator in C programming is ___.,if-else-if,? :,? ; ?,None of these,B,Ternary operator is used to execute expressions based on the given condition.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,"What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 printf((43 > 43) ? ""value 1 is greater!"" : ""value 1 is not greater!"");
 return 0;
}
```",value 1 is not greater,value 1 is greater,Error,None of these,A,,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,What is the correct syntax of if statement in C program?,if(condition){ },if(condition) :,If { [condition] },None of these,A,The correct syntax of if statement in C program is:,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,The if statement is a conditional statement?,True,False,,,A,"The if statement is a conditional statement, i.e., the block is executed based on the given condition.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,"When the condition of if statement is false, the flow of code will ___.",go into the if block,Exit the program,Continue the code after skipping the if block,None of these,C,"When the condition of if statement is false, the code after the if block will be executed and the if block code is skipped.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,"What will be the result of the following condition?
```
(! (25 > 25))
```",True,False,Error,None of these,A,,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,Which statement is required to execute a block of code when the condition is false?,for,if,else,All of these,C,"In the if-else block, the if block is executed when condition is True and else block is executed when condition is false.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,Can the else statement exist without the if statement in C?,Yes,No,,,B,The else statement needs an if statement to execute the block.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,Which of these if...else block syntax is correct?,if(condition){ } else { },if(condition){ } else(condition){ },if{ } else { },None of these,A,The syntax of if...else block of code in C is:,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,The if-elseif-else statement in C programming is used?,Create multiple conditional statements,Return values,Loop in if-else block,All of these,A,The if-elseif-else statement is a statement which contains multiple statements based on conditions.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,"What will be the output of the following C code?
```
#include <stdio.h>
int main()
{
 int marks = 43;
 if (marks > 90)
 printf(""Grade : A "");
 else if (marks > 75)
 printf(""Grade : B "");
 else if (marks > 60)
 printf(""Grade : C "");
 if (marks > 40)
 printf(""Grade : D "");
 else
 printf(""Fail "");
 return 0;
}
```",Grade : A,Grade : B,Grade : C,Grade : D,D,,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,How many expressions can be checked using if...elseif...else statement?,100,1,Infinite,None of these,C,"You can execute any number of expressions using if-elseif-else statements, each elseif statement containing one condition.",easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,C Conditional Statements,Is it possible to nest if-else statements in C programming?,Yes,No,,,A,Nesting of if-else statements in C programming is possible.,easy,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
