subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Operating Systems,Process states,Which of the following is a valid process state transition in an OS?,Running -> Ready (when the running process is preempted by the scheduler),Blocked -> Running directly,New -> Terminated directly,Ready -> Blocked,A,"Preemption moves a process from Running to Ready. A blocked process first becomes Ready (on I/O completion) before Running, so blocked->running is invalid.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),process;states;preemption
Operating Systems,Threads,Which statement correctly contrasts threads and processes?,"Threads in the same process share the address space, while processes have separate address spaces",Processes in the same program always share memory,Threads always run on different cores,A process can never contain more than one thread,A,"Threads of one process share code, data and heap but keep separate stacks/registers. Processes are isolated from each other by the OS.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),threads;process;memory sharing
Operating Systems,Scheduling,"Processes arrive in order P1(5), P2(3), P3(2) at time 0 (burst in brackets). Using non-preemptive FCFS, what is the average waiting time?",(0 + 5 + 8)/3 = 4.33,(0 + 3 + 5)/3 = 2.67,0,5,A,"FCFS: P1 waits 0, P2 waits 5, P3 waits 8. Average = (0+5+8)/3 = 13/3 = 4.33 units.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),scheduling;FCFS;waiting time;calculation
Operating Systems,Scheduling,"For CPU scheduling, which algorithm can suffer from starvation of long processes under continuous short arrivals?",Round Robin,Shortest Job First (non-preemptive) / SRTF,FCFS,Priority with aging removed,B,"SJF/SRTF keeps picking short bursts, so long jobs may starve. Aging (increasing priority with waiting time) is a remedy for priority starvation.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),scheduling;SJF;starvation
Operating Systems,Round Robin,"Time quantum = 4. Processes P1(10), P2(5) arrive at 0. What is the completion order?",P1 completes before P2,"P2 completes first, then P1",Both complete together,P1 never completes,B,"Quantum 4: P1 runs 4 (left 6), P2 runs 4 (left 1), P1 runs 4 (left 2), P2 runs 1 and completes, then P1 runs 2 and completes. P2 finishes first.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),scheduling;round robin;time quantum
Operating Systems,Synchronization,A semaphore that only takes values 0 and 1 and is used for mutual exclusion is called a:,Counting semaphore,Binary semaphore (mutex-like lock),Spinlock only on multi-CPU,Condition variable,B,A binary semaphore restricts value to 0/1. Counting semaphores allow N. Mutexes are the classic binary exclusion primitive.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),semaphore;mutex;synchronization
Operating Systems,Classical problems,"In the producer-consumer problem, the purpose of the 'full' semaphore (initially 0) is to:",Stop consumers when the buffer is empty,Stop producers when the buffer is full,Count the number of producers,Ensure buffer memory is allocated,A,"'full' counts filled slots: consumers wait(full) when empty, producers signal(full) after adding. The 'empty' semaphore blocks producers when full.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),producer-consumer;semaphore;buffer
Operating Systems,Deadlocks,Which are the four necessary conditions (Coffman) for deadlock?,"Mutual exclusion, hold and wait, no preemption, circular wait","Preemption, aging, priority, time slicing","Mutual exclusion, preemption, starvation, race","Hold and wait, priority inversion, spooling, interrupt",A,"Deadlock needs all four: mutual exclusion, hold-and-wait, no preemption, and circular wait. Breaking any one prevents deadlock.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),deadlock;Coffman conditions
Operating Systems,Deadlocks,"In deadlock avoidance, the Banker's algorithm checks each resource request by:",Simulating allocation and testing whether the system remains in a safe state,Detecting cycles after the request,Preempting resources randomly,Killing the requesting process,A,"Banker's algorithm grants a request only if the resulting state is safe, i.e., some ordering of processes lets all complete.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),deadlock;Banker's algorithm;safe state
Operating Systems,Memory management,"In paging, the CPU-generated address is called the ______ and the actual hardware address is the ______.",Logical (virtual) address; physical address,Physical address; logical address,Segment address; offset,Frame; page,A,The CPU produces logical addresses translated by the MMU/page table into physical addresses in RAM.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),paging;logical address;physical address
Operating Systems,Paging / fragmentation,What type of fragmentation does pure paging avoid?,External fragmentation,Internal fragmentation,Neither,Disk fragmentation only,A,"Fixed-size pages fit into fixed frames, eliminating external fragmentation; small internal fragmentation within the last page remains.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),paging;fragmentation
Operating Systems,Page replacement,"With 3 frames and reference string 1,2,3,4,1,2,5,1,2,3,4,5, which replacement algorithm experiences Belady's anomaly?",FIFO,Optimal (MIN),LRU,None can ever,A,FIFO can show Belady's anomaly: increasing frames can increase page faults. LRU and Optimal are stack algorithms and never exhibit it.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),page replacement;FIFO;Belady anomaly
Operating Systems,Virtual memory,A page fault occurs when:,The TLB is full,A referenced page is not present in main memory,The CPU cache misses,The process runs in kernel mode,B,"Page fault = the desired page is on disk, not in RAM. The OS traps, loads the page from disk, updates the page table, and resumes the instruction.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),virtual memory;page fault;demand paging
Operating Systems,Address translation,What does the Translation Lookaside Buffer (TLB) store?,Recently used page-table entries (page number to frame number mappings),The entire program code,Disk blocks,Process priorities,A,"The TLB is a small, fast cache of recent virtual-to-physical page translations that avoids walking the full page table on every access.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),TLB;address translation;cache
Operating Systems,File systems,"In Unix/Linux, which permission bits (octal) set read, write and execute for the owner, and read+execute for group and others?",755,777,644,711,A,"7 = rwx for owner, 5 = r-x for group, 5 = r-x for others => 755, the typical value for directories/executables.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),file system;permissions;chmod;octal
Operating Systems,Disk scheduling,Which disk scheduling algorithm may cause starvation for cylinders far from the current head position?,SCAN (elevator),C-SCAN,FCFS,SSTF (Shortest Seek Time First),D,"SSTF always serves the closest request, so distant requests can starve. SCAN/C-SCAN sweep across the disk giving each region service.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),disk scheduling;SSTF;starvation
Operating Systems,IPC,Which IPC mechanism is fastest and works within one machine without kernel copying of message content between processes?,Message queues,Pipes,Shared memory,Remote procedure calls over the network,C,"Shared memory lets processes map the same physical region into their address spaces, avoiding kernel message copies; it needs explicit synchronization.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),IPC;shared memory
Operating Systems,System calls,Which of these is a system call (not a library or shell command)?,fork(),printf(),ls,strlen(),A,fork() creates a process and is a kernel-provided system call. printf/ls/strlen are libraries or user programs that may internally call syscalls.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),system calls;fork
Operating Systems,OS structure,User mode vs kernel mode: which action requires the kernel (privileged) mode?,Enabling/disabling interrupts,Adding two integers in user code,Calling a user function,Formatting a string,A,"Modifying interrupt state, managing memory tables and I/O devices are privileged operations performed only in kernel mode.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),kernel mode;privileged;interrupts
Operating Systems,CPU / context switch,A context switch between two processes requires the OS to save and restore:,"Registers, program counter and process control block state of the CPU",Only the hard disk contents,Only the process names,"Nothing, the CPU does it automatically",A,"Context switching saves the running process's register set/PC and loads the next process's saved state, an overhead of multitasking.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),context switch;PCB;registers
