subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 1,"There are the following statements that are given below, which of them are correct about the computer network?",A computer network is an interconnection between multiple devices to share hardware resources and information.,A computer network is an interconnection between multiple devices to share hardware resources only.,Computer network is an interconnection between multiple devices to share only information among all devices.,None of the above,A,"In the above statements, the 1st statement is correct about the computer network.",medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-1.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 1,Which of the following is/are network device(s)?,Router,Hub,Switch,All the above,D,All the given devices are network devices.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-1.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 1,Which of the following is/are not network device(s)?,Bridge,Repeater,Mesh,Hub,C,"The mesh is not a network device, it is a network topology.",medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-1.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 1,Which of the following is/are unique identifiers for network device(s)?,Hostname,IP address,Mac address,All the above,D,All the given options are unique identifiers for network devices.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-1.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 1,How many bits are used in IPv6 address?,32 bits,64 bits,128 bits,256 bits,C,The 128 bits are used for an IPv6 address.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-1.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 2,What is a socket in computer networks?,A socket is network topology to manage a network of devices,A socket is the combination of IP address and port,A socket is a network line configuration,None of the above,B,A socket is the combination of IP address and port used to communicate between two devices.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-2.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 2,How many ports can be used in network devices?,1024,32767,65535,65536,D,We can use 65536 ports for communication between devices.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-2.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 2,What is the maximum number for a port number in computer networks?,1024,32767,65535,65536,C,The maximum port number is 65535 in a computer network.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-2.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 2,"What is the correct range of specific well-known ports, like 80 for HTTP in computer networks?",0 – 1023,1024 – 49151,49152 – 65535,All the above,A,The range 0 - 1023 is used for specific well-known ports.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-2.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 2,How can we get a list of active ports in the Windows operating system?,Using netstate –a command from the command line,Using netstat –a command from the command line,Using getports -a command from the command line,None of the above,B,In the given options 2nd option is the correct way to get a list of active ports.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-2.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 3,"There are the following statements that are given below, which of them are correct about DNS in computer networks?",A DNS is a server which is used to convert web address or a URL into the corresponding IP address,A DNS is used to send or upload a data file to the server,A DNS is used to download the data file from the server,A DNS server is used to save data files into computer memory,A,"In the given statements, 1st statement is correct about DNS.",medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-3.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 3,What is the command is used to get an IP address from a URL in the windows operating system?,netstate,getipaddress,nslookup,nsipaddress,C,The nslookup command is used to get an IP address from a URL in the windows operating system.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-3.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 3,"There are the following options that are given below, which of them are correct types of computer networks?",WAN,LAN,MAN,All of the above,D,The all given options are the correct types of a computer network.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-3.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 3,Which of the following is not a type of computer network?,LAN,MAN,PAN,None of the above,D,The all given options are the correct types of a computer network.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-3.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 3,In which area we can expend a LAN network?,We can expend a LAN network within the city,We can expend a LAN within an organization only,We can expend a LAN network within the country,We can expend a LAN network all over the world,B,We can expend a LAN within an organization only.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-3.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 4,How many bytes are used in IPv4 addresses?,4,8,16,32,A,The 4 bytes are used to represent an IP address.,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-4.aspx,
Computer Networks,Networking | Basics Aptitude Questions and Answers | Set 4,"There are following statements that are given below, which of them are correct about VLAN in computer networks?","VLAN is a virtual LAN, it is used to share only files within created LAN",VLAN is a virtual LAN which is used to divide a single broadcast domain into multiple broadcast domains,"VLAN is a virtual LAN, it is used to share only hardware resources within created LAN",None of the above,B,,medium,web:Includehelp.com https://www.includehelp.com/networking/basics-aptitude-questions-and-answers-4.aspx,
