subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Algorithms & Complexity,Big-O basics,Which of the following correctly orders growth rates from slowest to fastest (n > 1)?,O(1) < O(log n) < O(n) < O(n log n) < O(n^2),O(log n) < O(1) < O(n) < O(n^2) < O(n log n),O(n) < O(log n) < O(n log n) < O(n^2),O(n^2) < O(n log n) < O(n) < O(log n) < O(1),A,"Constant grows slowest, then logarithmic, linear, linearithmic, quadratic. Exponential and factorial are even faster growers than all of these.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),big-O;growth rates;complexity
Algorithms & Complexity,Big-O analysis,"What is the time complexity of this loop?
for (i = 1; i <= n; i *= 2) { statement; }",O(log n),O(n),O(n log n),O(2^n),A,"i doubles each iteration: 1, 2, 4, 8, ... The loop runs about log2(n) times, so complexity is O(log n).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),big-O;loop analysis;logarithmic
Algorithms & Complexity,Big-O analysis,"int j;
for (i = 1; i <= n; i++)
  for (j = 1; j <= n; j += i)
    stmt();
What is the running time of this nested loop?",O(n log n),O(n^2),O(n),O(n^3),A,Inner loop runs n/i times. Total = n(1 + 1/2 + 1/3 + ... + 1/n) = n * H(n) = O(n log n) because the harmonic sum H(n) is about ln n.,medium,PGIMER CP-047 prep bank - original practice (Batch 1),big-O;nested loops;harmonic series
Algorithms & Complexity,Searching,Binary search on a sorted array of n elements requires at most how many comparisons in the worst case?,O(log n),O(n),O(n log n),O(1),A,"Each comparison halves the search space, so the worst case needs about log2(n) comparisons.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),binary search;worst case;log n
Algorithms & Complexity,Sorting,Which of these sorting algorithms has a worst-case time complexity of O(n^2) but average case O(n log n)?,Merge sort,Quick sort,Heap sort,Selection sort,B,Quicksort averages O(n log n) but degrades to O(n^2) worst case (e.g. already sorted input with a bad pivot). Merge and heap sort are O(n log n) in all cases.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),sorting;quicksort;complexity
Algorithms & Complexity,Sorting,Which sorting algorithm is NOT an in-place algorithm in its typical implementation?,Merge sort,Heap sort,Quicksort,Selection sort,A,"Typical merge sort needs O(n) auxiliary space for the merge step. Heap, quick and selection sort sort within the input array (O(1) or O(log n) extra).",easy,PGIMER CP-047 prep bank - original practice (Batch 1),sorting;in-place;merge sort;space
Algorithms & Complexity,Sorting stability,A sorting algorithm is called stable when:,It always finishes in O(n log n),It preserves the relative order of equal keys,It never uses extra memory,It sorts numbers only,B,Stability means equal elements keep their original relative order after sorting. Merge sort is stable; quicksort and heapsort are typically not.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),sorting;stability
Algorithms & Complexity,Divide and conquer,Which algorithms are classic examples of the divide-and-conquer strategy?,Merge sort and quick sort,Selection sort and bubble sort,Insertion sort and shell sort,Linear search and hashing,A,"Merge sort and quicksort split the problem into smaller subproblems, solve recursively, then combine.",medium,PGIMER CP-047 prep bank - original practice (Batch 1),divide and conquer;merge sort;quicksort
Algorithms & Complexity,Greedy algorithms,Which of the following is a greedy algorithm?,Kruskal's algorithm for Minimum Spanning Tree,Bellman-Ford algorithm,Floyd-Warshall algorithm,Merge sort,A,Kruskal repeatedly picks the smallest safe edge (greedy choice). Bellman-Ford and Floyd-Warshall are dynamic-programming-based.,easy,PGIMER CP-047 prep bank - original practice (Batch 1),greedy;Kruskal;MST
Algorithms & Complexity,Dynamic programming,What is the time complexity of computing the n-th Fibonacci number using simple memoized recursion (top-down DP)?,O(n),O(2^n),O(n^2),O(log n),A,"With memoization each Fibonacci index 0..n is computed once, so total work is O(n). Plain naive recursion is O(2^n).",medium,PGIMER CP-047 prep bank - original practice (Batch 1),dynamic programming;memoization;fibonacci
Algorithms & Complexity,Graph algorithms,Which of the following algorithms CANNOT be used when edge weights are negative?,Bellman-Ford,Dijkstra's algorithm,Floyd-Warshall,Topological sort based DAG relaxation,B,Dijkstra assumes greedy relaxation that fails with negative edge weights. Bellman-Ford and Floyd-Warshall handle negative weights (as long as no negative cycle).,medium,PGIMER CP-047 prep bank - original practice (Batch 1),Dijkstra;negative weights;shortest path
Algorithms & Complexity,MST,Prim's algorithm builds a Minimum Spanning Tree by:,Adding the cheapest edge that connects a new vertex to the growing tree,Always picking the globally smallest edge overall,Removing edges from a spanning tree,Sorting vertices by degree,A,"Prim grows one tree from a start vertex, repeatedly adding the minimum-weight edge that connects an outside vertex to the tree.",easy,PGIMER CP-047 prep bank - original practice (Batch 1),MST;Prim;greedy
Algorithms & Complexity,Topological sort,A topological ordering exists for a directed graph only if the graph is:,Connected,A Directed Acyclic Graph (DAG),Weighted,Complete,B,A topological sort orders vertices so every edge goes forward. This is possible if and only if the digraph has no directed cycles (a DAG).,medium,PGIMER CP-047 prep bank - original practice (Batch 1),topological sort;DAG
