subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Web Technologies & Internet / PHP,General,What is the internet?,Programming language,Network connecting computers all over the world,Computer program to transfer data,All of these,B,The Internet is a network connecting computers all over the world.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What is e-mail?,Method of exchanging messages via electronic devices,Speed message transfer to location,Musical messaging service,None of these,A,E-mail stands for electronic mail which is a method of exchanging messages via electronic devices.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,E-mail stands for?,Electrical mail,Electronic messaging service,Electronic mail,All of these,C,E-mail stands for electronic mail. It is a method of exchanging messages via electronic devices.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What does WWW stand for?,Working window web,Web window word,World Wide Web,None of these,C,WWW stands for World Wide Web.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What is the URL of a website?,It is the location of website on internet,It is used to create internet,It is location of peripheral on internet,None of these,A,URL stands for Unified resource locator. It is used to locate a website on the internet.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Putting files to the server from the computer is?,Downloading,Uploading,Trashing,Transferring,B,,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What does FTP stand for?,Folder Text Protocol,File Transfer Push,Fixed Terminology Placement,File Transfer Protocol,D,FTP stands for File Transfer Protocol.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,The address of a website is also known as?,Location,Mail id,URL,None of these,C,URL is the address of a website.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these is a non-profit domain?,.com,.in,.org,All of these,C,"The "".org"" is the domain name used for non-profit organizations.",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,The World Wide Web (WWW) was invented by ___.,Steve Jobs,Tim Berners Lee,Ray Tomliners,All of these,B,WWW stands for world wide web which was invented by Tim Berners Lee.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Where are Emails received or sent to users?,Physical Address,E-mail Address,Website Location,None of these,B,The email address of a user is used to send and receive emails.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these is correct email address?,userName@website@com,userName.website.com,userName.website@com,[email protected],D,The correct email address format is [email protected]. Example : [email protected],medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these is an e-mail provider?,G-mail,Hotmail,Yahoo,All of these,A,"An e-mail provider provides e-mail service to users. Some email providers are g-mail, hotmail and yahoo.",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,In which year email was created?,1980,1990,1971,1975,C,E-mail was invented by Ray Tomlinson in 1971.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Who invented email?,Larry Page,Tim Barners,Ray Tomlinson,All of these,C,E-mail was invented by Ray Tomlinson in 1971.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,"The ""S"" in HTTPS stands for?",Selected,Secure,Software,System,B,HTTPS stands for HyperText Transfer Protocol Secure.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,"""@"" in an email address is used to ___.",Separate username from ISP,Create password for email,Add strength to email,None of these,A,@ in email is used to separate the username from ISP. example : [email protected],medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,ISP stands for?,Internet Security Platform,Internet service Provider,Instant service processor,None of these,B,ISP stands for Internet Services Provider.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these can be done using an email?,Share data,Validate accounts,Send or receive email,All of these,D,"Email is like a digital address which can be used to perform many tasks. Like share data on drives, validate accounts, send or receive emails, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these services is owned by Google?,Yahoo mail,G-mail,Facebook,All of these,B,The G-mail platform is owned by Google.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which folder contains Junk emails?,Inbox,Unwanted,Spam,None of these,C,Spam folder of the ISP is used to store junk emails.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these email service providers is free?,Tutanota,Gmail,Mailchimp,All of these,B,G-mail is a free email service provided by Google.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,SMTP stands for?,Simple Mail Text Processing,Secure Mail Transfer Protocol,Simple Mail Transfer Protocol,Secure Message Transfer Process,C,SMTP stands for Simple Mail Transfer Protocol.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,OTP stands for?,One Time Password,Over Time Process,One Time Process,All of these,A,OTP stands for One Time Password is used to verify emails.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these is not required to login to an email?,Email,Physical address,Password,None of these,B,Physical Address is not required to login into an email account.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these is required while signing up to an email?,Phone Number,Name,Password,All of these,D,While signing up to an email account multiple things are needed to be filled up. These are required by the email service provider to check for authentic users.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,A good password must contain?,Capital and small case alphabets,Atleast one number,Atleast one alphanumeric character,All of these,D,"A strong password must contain:
 Capital and small case alphabets
 Atleast one number
 Atleast one alphanumeric character
 It is required in order to enhance the security of the account.",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What is the initial network communication called?,Micronet,ARPANET,Network,APRENET,B,The Advanced Research Projects Agency Network (ARPANET) was the first wide-area packet-switched network with distributed control and one of the first networks to implement the TCP/IP protocol suite.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Why is the IP address of a computer required?,Identify it on internet,Play music,Access e-mail account,None of these,A,IP address stands for Internet Protocol is required to identify the computer on the internet.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What does IP stand for?,Internet Process,Instant processing,Internet Protocol,Information Program,C,IP address stands for Internet Protocol is required to identify the computer on the internet.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Internet can be accessed using which of these software's?,Gaming Program,Music Player,Web Browser,All of these,C,A web browsing software is a program which is used to access the internet.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these are web browsers?,Google Chrome,Internet Explorer,Brave,All of these,D,"A web browser is a software which is used to access the internet. Some web browsing software's are Google Chrome, Mozilla Firefox, Safari, Internet Explorer, Brave, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What does XML stand for?,Extra Multiplicative logic,Extensible markup language,Export markup language,None of these,B,XML stands for Extensible Markup Language.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What will happen if the email does not contain the subject while sending?,Mail will not be sent,Mail will be sent normally,Prompt asking to send mail without subject,None of these,C,An email can be sent to the receiver without any subject. But before sending there is a prompt asking the user to send mail without subject.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these is required to send mail?,Email id,Image,Link,All of these,A,Email id of the receiver is required before sending the mail.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What is BCC in email?,Block content creation,Behind Content Copy,Blind Carbon Copy,None of these,C,BCC stands for Blind Carbon Copy is used to send mail copy to recipients without showing this information to other recipients.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these are jargons in email?,BTW,RSN,TIA,All of these,D,"Some email jargons are BTW, FYI, PTFM, RSN, TTFN, TIA, etc.",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What is an email sent to multiple recipients at once called?,Creator email,Bulk email,Digital marketing,None of these,B,Bulk email is an email which is sent by a brand to multiple recipients at once.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,TCP stands for?,Total communication Platform,Transmission control protocol,Technical communication platform,All of these,B,TCP stands for Transmission Control Protocol.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these are layer of TCP/IP protocol?,Data link layer,Transport layer,Physical layer,All of these,D,"All the layers of TCP/IP protocol:
 Application layer
 Transport layer
 Network layer
 Data link layer
 Physical layer",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What does ARP stand for?,Application resolution protocol,Actual resolution project,Address resolution protocol,None of these,C,ARP stands for Address Resolution Protocol.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,How many layers does the OSI model have?,5,6,7,10,C,"OSI model has 7 layers:
 Physical Layer
 Data Link Layer
 Network Layer
 Transport Layer
 Session Layer
 Presentation Layer
 Application Layer",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,In which year is the OSI model introduced?,1995,1972,1983,1999,C,The OSI model was introduced in 1983.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,What does OSI stand for?,One Standard Interconnection,Open Source Interconnection,One Source Internet,None of these,B,OSI stands for Open-Source Interconnection is a model used to communicate over a network.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which of these is not a layer of the OSI model?,Connection layer,Data link layer,Session layer,Network layer,A,"OSI model has 7 layers:
 Physical Layer
 Data Link Layer
 Network Layer
 Transport Layer
 Session Layer
 Presentation Layer
 Application Layer",medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
Web Technologies & Internet / PHP,List of Internet and Email,Which layer is responsible for encryption of data?,Session layer,Network layer,Data link layer,Presentation layer,D,The presentation layer is responsible for encryption of data.,medium,web:Includehelp.com https://www.includehelp.com/mcq/internet-and-email-mcqs.aspx,
