subject,topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,source,tags
Programming in C,General,C language was developed by ___.,Dennis Rechard,Dennis M. Ritchie,Bjarne Stroustrup,Anders Hejlsberg,B,C programming language was developed by an American computer scientist Dennis M. Ritchie at Bell Laboratories (formerly AT&T Bell Laboratories).,medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,In which year was C language developed?,1962,1978,1979,1972,D,C programming language was developed by Dennis Ritchie at Bell Laboratories in 1972.,medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,C language is a successor to which language?,Basic,Cobol,C++,B,D,C programming language is a successor to the programming language B.,medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,C is a ___.,Low level language,High level language,Medium level language,None of the above,C,C is a medium-level language because it contains the features of low-level language as well as high-level language.,medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,How many keywords are there in C language?,32,33,64,18,A,C language has only 32 keywords.,medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,C language is a ___.,Procedural oriented programming language,General purpose programming language,Structured programming,All of the above,D,"C programming language is a general-purpose, procedural computer programming language that supports structured programming also.",medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,Which is not a valid keyword in C language?,for,while,do-while,switch,C,"do-while is not a valid keyword in the C programming language. It's a control statement. 'do' and 'while' are the separate keywords. The rest of all 'for', 'while', and 'switch' are the valid keywords in C.",medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,What is an identifier in C language?,An identifier is a combination of alphanumeric characters used for conditional and control statements,"An identifier is a combination of alphanumeric characters used for any variable, function, label name",Both A and B,None of the above,B,"An identifier is a combination of alphanumeric characters used for any variable, function, label name. An identifier is a name that is used to identify the variables/ constants, functions, arrays, label name, and user-defined data.",medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,"A C-style comment, simply surround the text with ___.",/* and */,// and //,//,/** and **/,A,"A C-style comment, simply surround the text with /* and */.",medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
Programming in C,1) C Basics,"___ is an informal name for ISO/IEC 9899:1999, a past version of the C programming language standard?",C,C++,C89,C99,D,"C99 is an informal name for ISO/IEC 9899:1999, a past version of the C programming language standard.",medium,web:Includehelp.com https://www.includehelp.com/mcq/c-programming-language-mcqs.aspx,
